Time,gENSAE.delta,gENSAE.PELEC,gENSAE.PMECH,gENSAE.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.158,36.640797,0.4,0.4000000059604645,-4.080681e-10,1.0,0.99199355,1.0,0.9959842
0.16,36.640797,0.4,0.4000000059604645,-4.116666e-10,1.0,0.99199355,1.0,0.9959842
0.162,36.640797,0.4,0.4000000059604645,-4.1521395e-10,1.0,0.99199355,1.0,0.9959842
0.164,36.640797,0.4,0.4000000059604645,-4.1870993e-10,1.0,0.99199355,1.0,0.9959842
0.166,36.640797,0.4,0.4000000059604645,-4.2215417e-10,1.0,0.99199355,1.0,0.9959842
0.168,36.640797,0.4,0.4000000059604645,-4.2554646e-10,1.0,0.99199355,1.0,0.9959842
0.17,36.640797,0.4,0.4000000059604645,-4.2888648e-10,1.0,0.99199355,1.0,0.9959842
0.172,36.640797,0.4,0.4000000059604645,-4.3217396e-10,1.0,0.99199355,1.0,0.9959842
0.174,36.640797,0.4,0.4000000059604645,-4.3540863e-10,1.0,0.99199355,1.0,0.9959842
0.176,36.640797,0.4,0.4000000059604645,-4.3859025e-10,1.0,0.99199355,1.0,0.9959842
0.178,36.640797,0.4,0.4000000059604645,-4.4171858e-10,1.0,0.99199355,1.0,0.9959842
0.18,36.640797,0.4,0.4000000059604645,-4.4479334e-10,1.0,0.99199355,1.0,0.9959842
0.182,36.640797,0.4,0.4000000059604645,-4.478143e-10,1.0,0.99199355,1.0,0.9959842
0.184,36.640797,0.4,0.4000000059604645,-4.5078125e-10,1.0,0.99199355,1.0,0.9959842
0.186,36.640797,0.4,0.4000000059604645,-4.5369394e-10,1.0,0.99199355,1.0,0.9959842
0.188,36.640797,0.4,0.4000000059604645,-4.5655218e-10,1.0,0.99199355,1.0,0.9959842
0.19,36.640797,0.4,0.4000000059604645,-4.5935572e-10,1.0,0.99199355,1.0,0.9959842
0.192,36.640797,0.4,0.4000000059604645,-4.621044e-10,1.0,0.99199355,1.0,0.9959842
0.194,36.640797,0.4,0.4000000059604645,-4.64798e-10,1.0,0.99199355,1.0,0.9959842
0.196,36.640797,0.4,0.4000000059604645,-4.674363e-10,1.0,0.99199355,1.0,0.9959842
