Time,gENSAL.delta,gENSAL.PELEC,gENSAL.SPEED,hYGOV.PMECH,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.23,0.35476267,0.40000552,-1.6531061e-07,0.39999944,1.000002,0.99199647,1.0000035,0.9959874
0.232,0.35476255,0.40000552,-1.6666235e-07,0.39999944,1.000002,0.99199647,1.0000035,0.9959874
0.234,0.35476246,0.40000552,-1.6801246e-07,0.39999944,1.000002,0.99199647,1.0000035,0.9959874
0.236,0.35476235,0.40000552,-1.6936097e-07,0.39999944,1.000002,0.99199647,1.0000035,0.9959874
0.238,0.35476223,0.4000055,-1.7070788e-07,0.39999944,1.000002,0.99199647,1.0000035,0.99598736
0.24,0.35476214,0.4000055,-1.7205318e-07,0.39999944,1.000002,0.99199647,1.0000035,0.99598736
0.242,0.35476202,0.4000055,-1.7339686e-07,0.39999944,1.000002,0.99199647,1.0000035,0.99598736
0.244,0.35476193,0.40000546,-1.7473893e-07,0.39999944,1.000002,0.99199647,1.0000035,0.99598736
0.246,0.3547618,0.40000546,-1.7607938e-07,0.39999944,1.0000019,0.99199647,1.0000035,0.99598736
0.248,0.3547617,0.40000546,-1.7741823e-07,0.39999944,1.0000019,0.99199647,1.0000035,0.99598736
0.25,0.3547616,0.40000543,-1.7875546e-07,0.39999944,1.0000019,0.99199647,1.0000035,0.99598736
0.252,0.35476148,0.40000543,-1.8009109e-07,0.39999944,1.0000019,0.99199647,1.0000035,0.99598736
0.254,0.35476136,0.40000543,-1.814251e-07,0.39999944,1.0000019,0.99199647,1.0000035,0.99598736
0.256,0.35476124,0.4000054,-1.827575e-07,0.39999944,1.0000019,0.99199647,1.0000035,0.99598736
0.258,0.35476112,0.4000054,-1.840883e-07,0.39999944,1.0000019,0.9919964,1.0000035,0.99598736
0.26,0.354761,0.4000054,-1.8541746e-07,0.39999944,1.0000019,0.9919964,1.0000035,0.99598736
0.262,0.3547609,0.40000537,-1.8674504e-07,0.3999994,1.0000019,0.9919964,1.0000035,0.9959873
0.264,0.3547608,0.40000537,-1.880295e-07,0.3999994,1.0000019,0.9919964,1.0000035,0.9959873
0.266,0.35476068,0.40000537,-1.893079e-07,0.3999994,1.0000019,0.9919964,1.0000033,0.9959873
0.268,0.35476056,0.40000534,-1.9058334e-07,0.3999994,1.0000019,0.9919964,1.0000033,0.9959873
0.27,0.35476044,0.40000534,-1.9185583e-07,0.3999994,1.0000019,0.9919964,1.0000033,0.9959873
0.272,0.35476032,0.40000534,-1.9312536e-07,0.3999994,1.0000019,0.9919964,1.0000033,0.9959873
0.274,0.35476023,0.4000053,-1.9439193e-07,0.3999994,1.0000019,0.9919964,1.0000033,0.9959873
0.276,0.3547601,0.4000053,-1.9565555e-07,0.3999994,1.0000019,0.9919964,1.0000033,0.9959873
0.278,0.35476,0.40000528,-1.9691622e-07,0.3999994,1.0000019,0.9919964,1.0000033,0.9959873
0.28,0.35475987,0.40000528,-1.9817392e-07,0.3999994,1.0000019,0.9919964,1.0000033,0.9959873
0.282,0.35475975,0.40000528,-1.9942868e-07,0.3999994,1.0000019,0.9919964,1.0000033,0.9959873
0.284,0.35475963,0.40000525,-2.0068047e-07,0.3999994,1.0000019,0.99199635,1.0000033,0.9959873
0.286,0.3547595,0.40000525,-2.0192932e-07,0.3999994,1.0000019,0.99199635,1.0000033,0.99598724
0.288,0.3547594,0.40000525,-2.0317522e-07,0.3999994,1.0000019,0.99199635,1.0000033,0.99598724
0.29,0.35475928,0.40000522,-2.0441816e-07,0.3999994,1.0000019,0.99199635,1.0000033,0.99598724
0.292,0.35475916,0.40000522,-2.0565813e-07,0.3999994,1.0000019,0.99199635,1.0000033,0.99598724
0.294,0.35475904,0.40000522,-2.0689515e-07,0.3999994,1.0000019,0.99199635,1.0000033,0.99598724
0.296,0.3547589,0.4000052,-2.0812922e-07,0.3999994,1.0000019,0.99199635,1.0000033,0.99598724
0.298,0.35475877,0.4000052,-2.0936034e-07,0.3999994,1.0000019,0.99199635,1.0000033,0.99598724
0.3,0.35475865,0.40000516,-2.105885e-07,0.3999994,1.0000019,0.99199635,1.0000033,0.99598724
0.302,0.35475853,0.40000516,-2.1181371e-07,0.3999994,1.0000019,0.99199635,1.0000033,0.99598724
0.304,0.3547584,0.40000516,-2.1303596e-07,0.3999994,1.0000019,0.99199635,1.0000033,0.99598724
0.306,0.35475826,0.40000513,-2.1425525e-07,0.3999994,1.0000019,0.99199635,1.0000033,0.99598724
0.308,0.35475814,0.40000513,-2.154716e-07,0.3999994,1.0000019,0.9919963,1.0000032,0.9959872
0.31,0.35475802,0.40000513,-2.1668498e-07,0.3999994,1.0000019,0.9919963,1.0000032,0.9959872
0.312,0.35475788,0.4000051,-2.178954e-07,0.3999994,1.0000019,0.9919963,1.0000032,0.9959872
0.314,0.35475776,0.4000051,-2.1910289e-07,0.3999994,1.0000019,0.9919963,1.0000032,0.9959872
0.316,0.35475764,0.40000507,-2.2030741e-07,0.3999994,1.0000019,0.9919963,1.0000032,0.9959872
0.318,0.3547575,0.40000507,-2.2150897e-07,0.3999994,1.0000019,0.9919963,1.0000032,0.9959872
0.32,0.35475737,0.40000507,-2.2270758e-07,0.3999994,1.0000019,0.9919963,1.0000032,0.9959872
0.322,0.35475722,0.40000504,-2.2390324e-07,0.3999994,1.0000019,0.9919963,1.0000032,0.9959872
0.324,0.3547571,0.40000504,-2.2509595e-07,0.3999994,1.0000019,0.9919963,1.0000032,0.9959872
0.326,0.35475698,0.400005,-2.2628569e-07,0.3999994,1.0000019,0.9919963,1.0000032,0.9959872
0.328,0.35475683,0.400005,-2.2747248e-07,0.3999994,1.0000019,0.9919963,1.0000032,0.9959871
0.33,0.35475668,0.400005,-2.2865632e-07,0.3999994,1.0000019,0.9919963,1.0000032,0.9959871
0.332,0.35475656,0.40000498,-2.298372e-07,0.3999994,1.0000018,0.9919962,1.0000032,0.9959871
0.334,0.3547564,0.40000498,-2.3101512e-07,0.3999994,1.0000018,0.9919962,1.0000032,0.9959871
0.336,0.3547563,0.40000495,-2.321901e-07,0.3999994,1.0000018,0.9919962,1.0000032,0.9959871
0.338,0.35475615,0.40000495,-2.3336212e-07,0.3999994,1.0000018,0.9919962,1.0000032,0.9959871
0.34,0.354756,0.40000495,-2.3453117e-07,0.3999994,1.0000018,0.9919962,1.0000032,0.9959871
0.342,0.35475588,0.40000492,-2.3569729e-07,0.3999994,1.0000018,0.9919962,1.0000032,0.9959871
0.344,0.35475573,0.40000492,-2.3686043e-07,0.3999994,1.0000018,0.9919962,1.0000031,0.9959871
0.346,0.35475558,0.4000049,-2.3802063e-07,0.3999994,1.0000018,0.9919962,1.0000031,0.9959871
0.348,0.35475546,0.4000049,-2.3917787e-07,0.3999994,1.0000018,0.9919962,1.0000031,0.99598706
0.35,0.3547553,0.4000049,-2.4033216e-07,0.3999994,1.0000018,0.9919962,1.0000031,0.99598706
0.352,0.35475516,0.40000486,-2.414835e-07,0.3999994,1.0000018,0.9919962,1.0000031,0.99598706
0.354,0.354755,0.40000486,-2.4263187e-07,0.3999994,1.0000018,0.99199617,1.0000031,0.99598706
0.356,0.35475487,0.40000483,-2.437773e-07,0.3999994,1.0000018,0.99199617,1.0000031,0.99598706
0.358,0.35475472,0.40000483,-2.4491976e-07,0.3999994,1.0000018,0.99199617,1.0000031,0.99598706
