Time,gENROE.delta,gENROE.PELEC,gENROE.SPEED,tGOV1.PMECH,GEN1.V,LOAD.V,GEN2.V,FAULT.V
8.916,16178.293,0.00050592545,0.24489862,0.32176453,0.14225864,3.604874e-29,0.012824165,0.0064120824
8.918,16187.11,0.0005059074,0.24495888,0.3217573,0.14225611,1.7968641e-28,0.012824165,0.0064120824
8.92,16195.93,0.0005058895,0.24501915,0.32175004,0.1422536,6.7501895e-29,0.012824165,0.0064120824
8.922,16204.751,0.0005058715,0.24507941,0.32174277,0.14225106,1.4545179e-17,0.012824165,0.0064120824
8.924,16213.576,0.00050585356,0.24513966,0.32173553,0.14224854,1.6515786e-17,0.012824165,0.0064120824
8.926,16222.402,0.0005058357,0.24519992,0.3217283,0.14224602,9.887033e-29,0.012824165,0.0064120824
8.928,16231.231,0.00050581776,0.24526016,0.32172105,0.14224352,4.27029e-17,0.012824165,0.0064120824
8.93,16240.062,0.00050579995,0.24532041,0.3217138,0.142241,1.0486612e-17,0.012824165,0.0064120824
8.932,16248.893,0.0005057821,0.24538064,0.3217066,0.1422385,1.9284143e-17,0.012824165,0.0064120824
8.934,16257.729,0.00050576427,0.24544089,0.32169935,0.142236,2.9589038e-17,0.012824165,0.0064120824
8.936,16266.565,0.0005057465,0.24550112,0.3216921,0.14223349,1.9710883e-29,0.012824165,0.0064120824
8.938,16275.404,0.00050572876,0.24556133,0.3216849,0.14223099,6.623186e-29,0.012824165,0.0064120824
8.94,16284.245,0.000505711,0.24562156,0.32167765,0.1422285,8.4814675e-29,0.012824165,0.0064120824
8.942,16293.089,0.00050569326,0.24568178,0.32167044,0.14222601,1.3134148e-28,0.012824165,0.0064120824
8.944,16301.935,0.0005056756,0.245742,0.3216632,0.14222352,5.842361e-29,0.012824165,0.0064120824
8.946,16310.782,0.0005056579,0.2458022,0.321656,0.14222103,9.318896e-18,0.012824165,0.0064120824
8.948,16319.633,0.0005056403,0.24586241,0.32164878,0.14221856,1.865352e-17,0.012824165,0.0064120824
8.95,16328.484,0.00050562265,0.24592261,0.32164156,0.14221607,5.2484006e-30,0.012824165,0.0064120824
8.952,16337.339,0.0005056051,0.2459828,0.32163435,0.1422136,1.2890275e-29,0.012824165,0.0064120824
8.954,16346.195,0.0005055875,0.246043,0.32162714,0.14221112,1.0758148e-29,0.012824165,0.0064120824
8.956,16355.053,0.00050557,0.24610318,0.32161993,0.14220867,5.543925e-30,0.012824165,0.0064120824
8.958,16363.915,0.0005055524,0.24616337,0.32161272,0.14220619,4.3528514e-30,0.012824165,0.0064120824
8.96,16372.778,0.00050553493,0.24622354,0.3216055,0.14220373,4.5496476e-30,0.012824165,0.0064120824
8.962,16381.643,0.0005055174,0.24628372,0.32159832,0.14220127,1.1089237e-29,0.012824165,0.0064120824
8.964,16390.51,0.0005055,0.2463439,0.3215911,0.14219882,8.697857e-30,0.012824165,0.0064120824
8.966,16399.38,0.00050548255,0.24640405,0.32158393,0.14219637,2.7929828e-18,0.012824165,0.0064120824
8.968,16408.25,0.00050546514,0.24646422,0.3215767,0.14219391,1.1642776e-18,0.012824165,0.0064120824
8.97,16417.125,0.00050544774,0.24652438,0.32156953,0.14219147,6.947937e-30,0.012824165,0.0064120824
8.972,16426.002,0.0005054304,0.24658453,0.32156235,0.14218903,2.9925968e-30,0.012824165,0.0064120824
8.974,16434.879,0.00050541305,0.24664468,0.32155517,0.1421866,1.6425104e-30,0.012824165,0.0064120824
8.976,16443.76,0.0005053957,0.24670483,0.32154799,0.14218415,8.7852017e-29,0.012824165,0.0064120824
8.978,16452.643,0.0005053784,0.24676497,0.3215408,0.14218172,2.2850734e-29,0.012824165,0.0064120824
8.98,16461.525,0.0005053612,0.2468251,0.32153362,0.1421793,1.3723117e-17,0.012824165,0.0064120824
8.982,16470.414,0.0005053439,0.24688524,0.32152644,0.14217687,1.8099359e-17,0.012824165,0.0064120824
8.984,16479.303,0.00050532667,0.24694537,0.32151926,0.14217444,1.03379285e-29,0.012824165,0.0064120824
8.986,16488.193,0.0005053095,0.24700549,0.3215121,0.14217202,2.0799402e-29,0.012824165,0.0064120824
8.988,16497.086,0.0005052923,0.2470656,0.32150492,0.14216961,5.893198e-29,0.012824165,0.0064120824
8.99,16505.982,0.00050527515,0.24712573,0.32149777,0.1421672,1.3386703e-28,0.012824165,0.0064120824
8.992,16514.879,0.00050525804,0.24718584,0.3214906,0.14216478,1.8959529e-17,0.012824165,0.0064120824
8.994,16523.78,0.0005052409,0.24724594,0.32148343,0.14216238,6.798478e-29,0.012824165,0.0064120824
8.996,16532.682,0.0005052238,0.24730605,0.32147628,0.14215997,1.0128282e-17,0.012824165,0.0064120824
8.998,16541.586,0.00050520676,0.24736615,0.32146913,0.14215757,1.2673903e-28,0.012824165,0.0064120824
9.0,16550.492,0.0005051897,0.24742624,0.32146195,0.14215517,1.0120858e-28,0.012824165,0.0064120824
9.002,16559.4,0.0005051727,0.24748632,0.3214548,0.14215277,2.7815535e-28,0.012824165,0.0064120824
9.004,16568.31,0.0005051557,0.24754642,0.32144767,0.14215039,3.9924952e-29,0.012824165,0.0064120824
9.006,16577.223,0.0005051387,0.2476065,0.32144052,0.142148,8.851336e-18,0.012824165,0.0064120824
9.008,16586.139,0.0005051218,0.24766657,0.32143337,0.14214562,1.0627608e-28,0.012824165,0.0064120824
9.01,16595.057,0.00050510484,0.24772665,0.3214262,0.14214323,3.6894466e-17,0.012824165,0.0064120824
9.012,16603.975,0.0005050879,0.24778672,0.3214191,0.14214085,4.7460167e-28,0.012824165,0.0064120824
9.014,16612.896,0.000505071,0.24784678,0.32141194,0.14213848,1.12218e-30,0.012824165,0.0064120824
9.016,16621.818,0.0005050542,0.24790683,0.3214048,0.1421361,4.0288133e-17,0.012824165,0.0064120824
9.018,16630.746,0.0005050373,0.2479669,0.32139766,0.14213373,1.8128914e-29,0.012824165,0.0064120824
9.02,16639.674,0.0005050205,0.24802695,0.32139054,0.14213137,9.827209e-29,0.012824165,0.0064120824
9.022,16648.604,0.0005050037,0.248087,0.32138342,0.142129,9.906272e-18,0.012824165,0.0064120824
9.024,16657.537,0.00050498697,0.24814704,0.3213763,0.14212665,7.103732e-30,0.012824165,0.0064120824
9.026,16666.469,0.0005049702,0.24820708,0.32136917,0.14212428,2.581028e-29,0.012824165,0.0064120824
9.028,16675.406,0.00050495344,0.24826711,0.32136205,0.14212193,2.4162121e-29,0.012824165,0.0064120824
9.03,16684.346,0.00050493673,0.24832715,0.32135493,0.14211959,8.819783e-30,0.012824165,0.0064120824
9.032,16693.287,0.0005049201,0.24838717,0.3213478,0.14211723,9.422467e-18,0.012824165,0.0064120824
9.034,16702.229,0.0005049034,0.2484472,0.32134068,0.1421149,1.6157442e-29,0.012824165,0.0064120824
9.036,16711.174,0.00050488673,0.24850722,0.3213336,0.14211254,8.5173407e-19,0.012824165,0.0064120824
9.038,16720.121,0.00050487014,0.24856722,0.32132646,0.1421102,2.2684407e-18,0.012824165,0.0064120824
9.04,16729.07,0.00050485355,0.24862723,0.32131934,0.14210787,4.7345023e-30,0.012824165,0.0064120824
9.042,16738.023,0.00050483696,0.24868724,0.32131225,0.14210553,3.001304e-31,0.012824165,0.0064120824
9.044,16746.977,0.00050482043,0.24874724,0.32130516,0.14210321,2.1435937e-30,0.012824165,0.0064120824
9.046,16755.934,0.0005048039,0.24880724,0.32129803,0.14210089,8.814155e-31,0.012824165,0.0064120824
9.048,16764.89,0.0005047874,0.24886723,0.32129094,0.14209856,3.1572055e-30,0.012824165,0.0064120824
9.05,16773.85,0.0005047709,0.24892722,0.32128385,0.14209624,1.7342894e-30,0.012824165,0.0064120824
9.052,16782.812,0.0005047544,0.24898721,0.32127675,0.14209391,2.4346722e-29,0.012824165,0.0064120824
9.054,16791.777,0.00050473795,0.24904719,0.32126966,0.1420916,2.7470229e-30,0.012824165,0.0064120824
9.056,16800.744,0.00050472154,0.24910717,0.32126257,0.14208929,1.3407727e-17,0.012824165,0.0064120824
9.058,16809.715,0.0005047051,0.24916714,0.3212555,0.14208698,6.850332e-30,0.012824165,0.0064120824
9.06,16818.684,0.00050468877,0.2492271,0.3212484,0.14208467,3.7066047e-29,0.012824165,0.0064120824
9.062,16827.658,0.0005046724,0.24928707,0.32124132,0.14208238,3.282977e-29,0.012824165,0.0064120824
9.064,16836.633,0.00050465605,0.24934703,0.32123426,0.14208007,7.32555e-29,0.012824165,0.0064120824
9.066,16845.611,0.00050463976,0.24940698,0.32122716,0.14207777,1.2445912e-28,0.012824165,0.0064120824
