Time,gENCLS2.delta,gENCLS2.P,gENCLS2.omega,GEN1.V,LOAD.V,GEN2.V,FAULT.V
2.814,-3.2596246842013064,0.10440293653748058,-0.0011037198347575116,1.003525651957582,0.9933837086129337,0.9995645692632157,0.9962758766223148
2.816,-3.2984708214226126,0.1034284497056533,-0.0010543718310360875,1.0035228432069152,0.99337105897136,0.9995487615758861,0.9962606683042216
2.818,-3.3355375516715053,0.10249861988408948,-0.0010048651323022028,1.003520075523204,0.9933588837637425,0.9995335902115028,0.9962460579584831
2.82,-3.3708192960378494,0.10161358468891048,-0.0009552071929523392,1.0035173616634017,0.9933471996138112,0.9995190698173868,0.996232061682698
2.822,-3.4043107443759357,0.10077347500818454,-0.0009054054897583588,1.0035147138173315,0.9933360224017839,0.9995052143832182,0.9962186948529278
2.824,-3.4360068560897448,0.09997841499673854,-0.0008554675207458112,1.0035121435988492,0.9933253672535161,0.9994920372318504,0.9962059721134218
2.826,-3.465902860877932,0.09922852207140188,-0.0008054008040712363,1.0035096620374269,0.9933152485301731,0.9994795510105676,0.9961939073668356
2.828,-3.4939942594382707,0.09852390690666567,-0.000755212876898886,1.00350727957017,0.993305679818429,0.999467767682786,0.9961825137649495
2.83,-3.5202768241317517,0.0978646734307244,-0.0007049112942765772,1.0035050060342676,0.9932966739211996,0.9994566985202105,0.9961718036998927
2.832,-3.5447465996060976,0.09725091882188458,-0.000654503628011094,1.0035028506598809,0.9932882428489123,0.9994463540954446,0.9961617887958756
2.834,-3.567399903378881,0.0966827335053092,-0.0006039974655428413,1.0035008220634773,0.9932803978113225,0.9994367442750641,0.9961524799014406
2.836,-3.5882333263800272,0.09616020115008596,-0.0005534004088201612,1.0034989282416096,0.9932731492098764,0.9994278782131532,0.9961438870822297
2.838,-3.6072437334538714,0.09568339866659112,-0.0005027200731730079,1.0034971765651475,0.9932665066306287,0.9994197643453094,0.9961360196142779
2.84,-3.6244282638205805,0.09525239620413828,-0.0004519640861863854,1.0034955737739615,0.9932604788377163,0.999412410383123,0.9961288859778341
2.842,-3.6397843314970806,0.09486725714888797,-0.000401140086573236,1.0034941259720667,0.9932550737673954,0.9994058233091282,0.9961224938517138
2.844,-3.6533096256773456,0.09452803812200901,-0.00035025572304718197,1.003492838623225,0.9932502985226419,0.9994000093722354,0.9961168501081868
2.846,-3.6650021110721474,0.09423478897807108,-0.0002993186531947991,1.0034917165470099,0.9932461593683205,0.9993949740836423,0.9961119608084027
2.848,-3.674860028208162,0.09398755280366217,-0.0002483365423478228,1.0034907639153392,0.9932426617269248,0.9993907222132307,0.9961078311983573
2.85,-3.682881893686506,0.09378636591621314,-0.00019731706245495957,1.0034899842494693,0.9932398101748912,0.9993872577864459,0.9961044657054021
2.852,-3.6890665004006262,0.09363125786302626,-0.0001462678909537012,1.0034893804174667,0.9932376084394879,0.9993845840816653,0.9961018679352999
2.854,-3.6934129177135944,0.09352225142049324,-9.519670964181146e-05,1.0034889546321402,0.9932360593962823,0.9993827036280553,0.9961000406698242
2.856,-3.6959204915947566,0.09345936259350104,-4.411120354887973e-05,1.0034887084494528,0.9932351650671863,0.9993816182039168,0.9960989858649112
2.858,-3.696588844715768,0.09344260061501632,6.980940192391007e-06,1.003488642767402,0.9932349266190826,0.9993813288355244,0.9960987046493576
2.86,-3.6954178765059886,0.09347196794584828,5.807203347476899e-05,1.0034887578253722,0.9932353443630323,0.9993818357964543,0.99609919732407
2.862,-3.692407763167247,0.09354746027458503,0.00010915438834528505,1.0034890532039669,0.9932364177540633,0.9993831386074064,0.9961004633618661
2.864,-3.6875589576479757,0.09366906651770432,0.00016022031813383856,1.003489527825306,0.9932381453915409,0.9993852360365166,0.9961025014078236
2.866,-3.6808721895767023,0.09383676881986004,0.0002112621385819518,1.0034901799538027,0.993240525020118,0.999388126100163,0.9961053092801821
2.868,-3.672348465154929,0.09405054255434522,0.0002622721689712805,1.003491007197412,0.99324355353127,0.999391806064262,0.9961088839717944
2.87,-3.661989067009361,0.09431035632373751,0.00031324273325221343,1.003492006509349,0.9932472269654051,0.9993962724460553,0.9961132216521256
2.872,-3.649795554003534,0.0946161719607316,0.0003641661611721676,1.003493174190284,0.9932515405145569,0.9994015210163884,0.9961183176698025
