Time,wT4G1.P,wT4G1.Q,GEN1.V,FAULT.V,GEN2.V
0.788333, 0.015, -0.0566568, 1, 1.0001, 1
0.793333, 0.015, -0.0566568, 1, 1.0001, 1
0.798333, 0.015, -0.0566568, 1, 1.0001, 1
0.803333, 0.015, -0.0566568, 1, 1.0001, 1
0.808333, 0.015, -0.0566568, 1, 1.0001, 1
0.813333, 0.015, -0.0566568, 1, 1.0001, 1
0.818333, 0.015, -0.0566568, 1, 1.0001, 1
0.823333, 0.015, -0.0566568, 1, 1.0001, 1
0.828333, 0.015, -0.0566568, 1, 1.0001, 1
0.833333, 0.015, -0.0566568, 1, 1.0001, 1
0.838333, 0.015, -0.0566568, 1, 1.0001, 1
0.843333, 0.015, -0.0566568, 1, 1.0001, 1
0.848333, 0.015, -0.0566568, 1, 1.0001, 1
0.853333, 0.015, -0.0566568, 1, 1.0001, 1
0.858333, 0.015, -0.0566568, 1, 1.0001, 1
0.863333, 0.015, -0.0566568, 1, 1.0001, 1
0.868333, 0.015, -0.0566568, 1, 1.0001, 1
0.873333, 0.015, -0.0566568, 1, 1.0001, 1
0.878333, 0.015, -0.0566568, 1, 1.0001, 1
0.883333, 0.015, -0.0566568, 1, 1.0001, 1
0.888333, 0.015, -0.0566568, 1, 1.0001, 1
0.893333, 0.015, -0.0566568, 1, 1.0001, 1
0.898333, 0.015, -0.0566568, 1, 1.0001, 1
0.903333, 0.015, -0.0566568, 1, 1.0001, 1
0.908333, 0.015, -0.0566568, 1, 1.0001, 1
0.913333, 0.015, -0.0566568, 1, 1.0001, 1
0.918333, 0.015, -0.0566568, 1, 1.0001, 1
0.923333, 0.015, -0.0566568, 1, 1.0001, 1
0.928333, 0.015, -0.0566568, 1, 1.0001, 1
0.933333, 0.015, -0.0566568, 1, 1.0001, 1
0.938333, 0.015, -0.0566568, 1, 1.0001, 1
0.943333, 0.015, -0.0566568, 1, 1.0001, 1
0.948333, 0.015, -0.0566568, 1, 1.0001, 1
0.953333, 0.015, -0.0566568, 1, 1.0001, 1
0.958333, 0.015, -0.0566568, 1, 1.0001, 1
