Time(s), generator.delta, generator.PELEC, generator.PMECH, generator.SPEED, GEN1.V, LOAD.V, GEN2.V, FAULT.V
0.505, 20.323, 0.4, 0.4, 3.49721e-09, 0.0206667, 1, 1, 0.991993
0.51, 20.323, 0.4, 0.4, 3.531e-09, 0.0206667, 1, 1, 0.991993
0.515, 20.323, 0.4, 0.4, 3.56479e-09, 0.0206667, 1, 1, 0.991993
0.52, 20.323, 0.4, 0.4, 3.59858e-09, 0.0206667, 1, 1, 0.991993
0.525, 20.323, 0.4, 0.4, 3.63237e-09, 0.0206667, 1, 1, 0.991993
0.53, 20.323, 0.4, 0.4, 3.66616e-09, 0.0206667, 1, 1, 0.991993
0.535, 20.323, 0.4, 0.4, 3.69995e-09, 0.0206667, 1, 1, 0.991993
0.54, 20.323, 0.4, 0.4, 3.73374e-09, 0.0206667, 1, 1, 0.991993
0.545, 20.323, 0.4, 0.4, 3.76752e-09, 0.0206667, 1, 1, 0.991993
0.55, 20.323, 0.4, 0.4, 3.80131e-09, 0.0206667, 1, 1, 0.991993
0.555, 20.323, 0.4, 0.4, 3.8351e-09, 0.0206667, 1, 1, 0.991993
0.56, 20.323, 0.4, 0.4, 3.86889e-09, 0.0206667, 1, 1, 0.991993
0.565, 20.323, 0.4, 0.4, 3.90268e-09, 0.0206667, 1, 1, 0.991993
0.57, 20.323, 0.4, 0.4, 3.93647e-09, 0.0206667, 1, 1, 0.991993
0.575, 20.323, 0.4, 0.4, 3.97026e-09, 0.0206667, 1, 1, 0.991993
0.58, 20.323, 0.4, 0.4, 4.00405e-09, 0.0206667, 1, 1, 0.991993
0.585, 20.323, 0.4, 0.4, 4.03784e-09, 0.0206667, 1, 1, 0.991993
0.59, 20.323, 0.4, 0.4, 4.07163e-09, 0.0206667, 1, 1, 0.991993
0.595, 20.323, 0.4, 0.4, 4.10542e-09, 0.0206667, 1, 1, 0.991993
0.6, 20.323, 0.4, 0.4, 4.13921e-09, 0.0206667, 1, 1, 0.991993
0.605, 20.323, 0.4, 0.4, 4.173e-09, 0.0206667, 1, 1, 0.991993
0.61, 20.323, 0.4, 0.4, 4.20679e-09, 0.0206667, 1, 1, 0.991993
0.615, 20.323, 0.4, 0.4, 4.24058e-09, 0.0206667, 1, 1, 0.991993
0.62, 20.323, 0.4, 0.4, 4.27437e-09, 0.0206667, 1, 1, 0.991993
0.625, 20.323, 0.4, 0.4, 4.30816e-09, 0.0206667, 1, 1, 0.991993
0.63, 20.323, 0.4, 0.4, 4.34195e-09, 0.0206667, 1, 1, 0.991993
0.635, 20.323, 0.4, 0.4, 4.37573e-09, 0.0206667, 1, 1, 0.991993
0.64, 20.323, 0.4, 0.4, 4.40952e-09, 0.0206667, 1, 1, 0.991993
0.645, 20.323, 0.4, 0.4, 4.44331e-09, 0.0206667, 1, 1, 0.991993
0.65, 20.323, 0.4, 0.4, 4.4771e-09, 0.0206667, 1, 1, 0.991993
0.655, 20.323, 0.4, 0.4, 4.51089e-09, 0.0206667, 1, 1, 0.991993
0.66, 20.323, 0.4, 0.4, 4.54468e-09, 0.0206667, 1, 1, 0.991993
0.665, 20.323, 0.4, 0.4, 4.57847e-09, 0.0206667, 1, 1, 0.991993
0.67, 20.323, 0.4, 0.4, 4.61226e-09, 0.0206667, 1, 1, 0.991993
0.675, 20.323, 0.4, 0.4, 4.64605e-09, 0.0206667, 1, 1, 0.991993
0.68, 20.323, 0.4, 0.4, 4.67984e-09, 0.0206667, 1, 1, 0.991993
0.685, 20.323, 0.4, 0.4, 4.71363e-09, 0.0206667, 1, 1, 0.991993
0.69, 20.323, 0.4, 0.4, 4.74742e-09, 0.0206667, 1, 1, 0.991993
0.695, 20.323, 0.4, 0.4, 4.78121e-09, 0.0206667, 1, 1, 0.991993
0.7, 20.323, 0.4, 0.4, 4.815e-09, 0.0206667, 1, 1, 0.991993
0.705, 20.323, 0.4, 0.4, 4.84879e-09, 0.0206667, 1, 1, 0.991993
0.71, 20.323, 0.4, 0.4, 4.88258e-09, 0.0206667, 1, 1, 0.991993
0.714999, 20.323, 0.4, 0.4, 4.91637e-09, 0.0206667, 1, 1, 0.991993
0.719999, 20.323, 0.4, 0.4, 4.95015e-09, 0.0206667, 1, 1, 0.991993
0.724999, 20.323, 0.4, 0.4, 4.98394e-09, 0.0206667, 1, 1, 0.991993
0.729999, 20.323, 0.4, 0.4, 5.01773e-09, 0.0206667, 1, 1, 0.991993
0.734999, 20.323, 0.4, 0.4, 5.05152e-09, 0.0206667, 1, 1, 0.991993
0.739999, 20.323, 0.4, 0.4, 5.08531e-09, 0.0206667, 1, 1, 0.991993
0.744999, 20.323, 0.4, 0.4, 5.1191e-09, 0.0206667, 1, 1, 0.991993
0.749999, 20.323, 0.4, 0.4, 5.15289e-09, 0.0206667, 1, 1, 0.991993
0.754999, 20.323, 0.4, 0.4, 5.18668e-09, 0.0206667, 1, 1, 0.991993
0.759999, 20.323, 0.4, 0.4, 5.22047e-09, 0.0206667, 1, 1, 0.991993
0.764999, 20.323, 0.4, 0.4, 5.25426e-09, 0.0206667, 1, 1, 0.991993
0.769999, 20.323, 0.4, 0.4, 5.28805e-09, 0.0206667, 1, 1, 0.991993
0.774999, 20.323, 0.4, 0.4, 5.32184e-09, 0.0206667, 1, 1, 0.991993
0.779999, 20.323, 0.4, 0.4, 5.35563e-09, 0.0206667, 1, 1, 0.991993
0.784999, 20.323, 0.4, 0.4, 5.38942e-09, 0.0206667, 1, 1, 0.991993
0.789999, 20.323, 0.4, 0.4, 5.42321e-09, 0.0206667, 1, 1, 0.991993
0.794999, 20.323, 0.4, 0.4, 5.457e-09, 0.0206667, 1, 1, 0.991993
0.799999, 20.323, 0.4, 0.4, 5.49079e-09, 0.0206667, 1, 1, 0.991993
0.804999, 20.323, 0.4, 0.4, 5.52457e-09, 0.0206667, 1, 1, 0.991993
0.809999, 20.323, 0.4, 0.4, 5.55836e-09, 0.0206667, 1, 1, 0.991993
0.814999, 20.323, 0.4, 0.4, 5.59215e-09, 0.0206667, 1, 1, 0.991993
0.819999, 20.323, 0.4, 0.4, 5.62594e-09, 0.0206667, 1, 1, 0.991993
0.824999, 20.323, 0.4, 0.4, 5.65973e-09, 0.0206667, 1, 1, 0.991993
0.829999, 20.323, 0.4, 0.4, 5.69352e-09, 0.0206667, 1, 1, 0.991993
0.834999, 20.323, 0.4, 0.4, 5.72731e-09, 0.0206667, 1, 1, 0.991993
0.839999, 20.323, 0.4, 0.4, 5.7611e-09, 0.0206667, 1, 1, 0.991993
0.844999, 20.323, 0.4, 0.4, 5.79489e-09, 0.0206667, 1, 1, 0.991993
0.849999, 20.323, 0.4, 0.4, 5.82868e-09, 0.0206667, 1, 1, 0.991993
0.854999, 20.323, 0.4, 0.4, 5.86247e-09, 0.0206667, 1, 1, 0.991993
0.859999, 20.323, 0.4, 0.4, 5.89626e-09, 0.0206667, 1, 1, 0.991993
0.864999, 20.323, 0.4, 0.4, 5.93005e-09, 0.0206667, 1, 1, 0.991993
0.869999, 20.323, 0.4, 0.4, 5.96384e-09, 0.0206667, 1, 1, 0.991993
0.874999, 20.323, 0.4, 0.4, 5.99763e-09, 0.0206667, 1, 1, 0.991993
0.879999, 20.323, 0.4, 0.4, 6.03142e-09, 0.0206667, 1, 1, 0.991993
0.884999, 20.323, 0.4, 0.4, 6.06521e-09, 0.0206667, 1, 1, 0.991993
0.889999, 20.323, 0.4, 0.4, 6.09899e-09, 0.0206667, 1, 1, 0.991993
0.894999, 20.323, 0.4, 0.4, 6.13278e-09, 0.0206667, 1, 1, 0.991993
0.899999, 20.323, 0.4, 0.4, 6.16657e-09, 0.0206667, 1, 1, 0.991993
0.904999, 20.323, 0.4, 0.4, 6.20036e-09, 0.0206667, 1, 1, 0.991993
0.909999, 20.323, 0.4, 0.4, 6.23415e-09, 0.0206667, 1, 1, 0.991993
0.914999, 20.323, 0.4, 0.4, 6.26794e-09, 0.0206667, 1, 1, 0.991993
0.919999, 20.323, 0.4, 0.4, 6.30173e-09, 0.0206667, 1, 1, 0.991993
0.924999, 20.323, 0.4, 0.4, 6.33552e-09, 0.0206667, 1, 1, 0.991993
0.929999, 20.323, 0.4, 0.4, 6.36931e-09, 0.0206667, 1, 1, 0.991993
0.934999, 20.323, 0.4, 0.4, 6.4031e-09, 0.0206667, 1, 1, 0.991993
0.939999, 20.323, 0.4, 0.4, 6.43689e-09, 0.0206667, 1, 1, 0.991993
0.944999, 20.323, 0.4, 0.4, 6.47068e-09, 0.0206667, 1, 1, 0.991993
0.949999, 20.323, 0.4, 0.4, 6.50447e-09, 0.0206667, 1, 1, 0.991993
0.954999, 20.323, 0.4, 0.4, 6.53826e-09, 0.0206667, 1, 1, 0.991993
0.959999, 20.323, 0.4, 0.4, 6.57205e-09, 0.0206667, 1, 1, 0.991993
0.964999, 20.323, 0.4, 0.4, 6.60584e-09, 0.0206667, 1, 1, 0.991993
0.969999, 20.323, 0.4, 0.4, 6.63963e-09, 0.0206667, 1, 1, 0.991993
0.974999, 20.323, 0.4, 0.4, 6.67341e-09, 0.0206667, 1, 1, 0.991993
0.979999, 20.323, 0.4, 0.4, 6.7072e-09, 0.0206667, 1, 1, 0.991993
0.984999, 20.323, 0.4, 0.4, 6.74099e-09, 0.0206667, 1, 1, 0.991993
0.989999, 20.323, 0.4, 0.4, 6.77478e-09, 0.0206667, 1, 1, 0.991993
0.994999, 20.323, 0.4, 0.4, 6.80857e-09, 0.0206667, 1, 1, 0.991993
0.999999, 20.323, 0.4, 0.4, 6.84236e-09, 0.0206667, 1, 1, 0.991993
1.005, 20.323, 0.4, 0.4, 6.87615e-09, 0.0206667, 1, 1, 0.991993
1.01, 20.323, 0.4, 0.4, 6.90994e-09, 0.0206667, 1, 1, 0.991993
1.015, 20.323, 0.4, 0.4, 6.94373e-09, 0.0206667, 1, 1, 0.991993
1.02, 20.323, 0.4, 0.4, 6.97752e-09, 0.0206667, 1, 1, 0.991993
1.025, 20.323, 0.4, 0.4, 7.01131e-09, 0.0206667, 1, 1, 0.991993
1.03, 20.323, 0.4, 0.4, 7.0451e-09, 0.0206667, 1, 1, 0.991993
1.035, 20.323, 0.4, 0.4, 7.07889e-09, 0.0206667, 1, 1, 0.991993
1.04, 20.323, 0.4, 0.4, 7.11268e-09, 0.0206667, 1, 1, 0.991993
1.045, 20.323, 0.4, 0.4, 7.14647e-09, 0.0206667, 1, 1, 0.991993
1.05, 20.323, 0.4, 0.4, 7.18026e-09, 0.0206667, 1, 1, 0.991993
1.055, 20.323, 0.4, 0.4, 7.21405e-09, 0.0206667, 1, 1, 0.991993
1.06, 20.323, 0.4, 0.4, 7.24783e-09, 0.0206667, 1, 1, 0.991993
1.065, 20.323, 0.4, 0.4, 7.28162e-09, 0.0206667, 1, 1, 0.991993
1.07, 20.323, 0.4, 0.4, 7.31541e-09, 0.0206667, 1, 1, 0.991993
1.075, 20.323, 0.4, 0.4, 7.3492e-09, 0.0206667, 1, 1, 0.991993
1.08, 20.323, 0.4, 0.4, 7.38299e-09, 0.0206667, 1, 1, 0.991993
1.085, 20.323, 0.4, 0.4, 7.41678e-09, 0.0206667, 1, 1, 0.991993
1.09, 20.323, 0.4, 0.4, 7.45057e-09, 0.0206667, 1, 1, 0.991993
1.095, 20.323, 0.4, 0.4, 7.48436e-09, 0.0206667, 1, 1, 0.991993
1.1, 20.323, 0.4, 0.4, 7.51815e-09, 0.0206667, 1, 1, 0.991993
1.105, 20.323, 0.4, 0.4, 7.55194e-09, 0.0206667, 1, 1, 0.991993
1.11, 20.323, 0.4, 0.4, 7.58573e-09, 0.0206667, 1, 1, 0.991993
1.115, 20.323, 0.4, 0.4, 7.61952e-09, 0.0206667, 1, 1, 0.991993
1.12, 20.323, 0.4, 0.4, 7.65331e-09, 0.0206667, 1, 1, 0.991993
1.125, 20.323, 0.4, 0.4, 7.6871e-09, 0.0206667, 1, 1, 0.991993
1.13, 20.323, 0.4, 0.4, 7.72089e-09, 0.0206667, 1, 1, 0.991993
1.135, 20.323, 0.4, 0.4, 7.75468e-09, 0.0206667, 1, 1, 0.991993
1.14, 20.323, 0.4, 0.4, 7.78847e-09, 0.0206667, 1, 1, 0.991993
1.145, 20.323, 0.4, 0.4, 7.82226e-09, 0.0206667, 1, 1, 0.991993
1.15, 20.323, 0.4, 0.4, 7.85605e-09, 0.0206667, 1, 1, 0.991993
1.155, 20.323, 0.4, 0.4, 7.88984e-09, 0.0206667, 1, 1, 0.991993
1.16, 20.323, 0.4, 0.4, 7.92363e-09, 0.0206667, 1, 1, 0.991993
1.165, 20.323, 0.4, 0.4, 7.95742e-09, 0.0206667, 1, 1, 0.991993
1.17, 20.323, 0.4, 0.4, 7.99121e-09, 0.0206667, 1, 1, 0.991993
1.175, 20.323, 0.4, 0.4, 8.025e-09, 0.0206667, 1, 1, 0.991993
1.18, 20.323, 0.4, 0.4, 8.05879e-09, 0.0206667, 1, 1, 0.991993
1.185, 20.323, 0.4, 0.4, 8.09258e-09, 0.0206667, 1, 1, 0.991993
1.19, 20.323, 0.4, 0.4, 8.12637e-09, 0.0206667, 1, 1, 0.991993
1.195, 20.323, 0.4, 0.4, 8.16016e-09, 0.0206667, 1, 1, 0.991993
1.2, 20.323, 0.4, 0.4, 8.19395e-09, 0.0206667, 1, 1, 0.991993
1.205, 20.323, 0.4, 0.4, 8.22774e-09, 0.0206667, 1, 1, 0.991993
1.21, 20.323, 0.4, 0.4, 8.26153e-09, 0.0206667, 1, 1, 0.991993
1.215, 20.323, 0.4, 0.4, 8.29532e-09, 0.0206667, 1, 1, 0.991993
1.22, 20.323, 0.4, 0.4, 8.32911e-09, 0.0206667, 1, 1, 0.991993
1.225, 20.323, 0.4, 0.4, 8.3629e-09, 0.0206667, 1, 1, 0.991993
1.23, 20.323, 0.4, 0.4, 8.39669e-09, 0.0206667, 1, 1, 0.991993
1.235, 20.323, 0.4, 0.4, 8.43048e-09, 0.0206667, 1, 1, 0.991993
1.24, 20.323, 0.4, 0.4, 8.46427e-09, 0.0206667, 1, 1, 0.991993
1.245, 20.323, 0.4, 0.4, 8.49806e-09, 0.0206667, 1, 1, 0.991993
1.25, 20.323, 0.4, 0.4, 8.53185e-09, 0.0206667, 1, 1, 0.991993
1.255, 20.323, 0.4, 0.4, 8.56564e-09, 0.0206667, 1, 1, 0.991993
1.26, 20.323, 0.4, 0.4, 8.59943e-09, 0.0206667, 1, 1, 0.991993
1.265, 20.323, 0.4, 0.4, 8.63322e-09, 0.0206667, 1, 1, 0.991993
1.27, 20.323, 0.4, 0.4, 8.66701e-09, 0.0206667, 1, 1, 0.991993
1.275, 20.323, 0.4, 0.4, 8.7008e-09, 0.0206667, 1, 1, 0.991993
1.28, 20.323, 0.4, 0.4, 8.73459e-09, 0.0206667, 1, 1, 0.991993
1.285, 20.323, 0.4, 0.4, 8.76838e-09, 0.0206667, 1, 1, 0.991993
1.29, 20.323, 0.4, 0.4, 8.80217e-09, 0.0206667, 1, 1, 0.991993
1.295, 20.323, 0.4, 0.4, 8.83596e-09, 0.0206667, 1, 1, 0.991993
1.3, 20.323, 0.4, 0.4, 8.86974e-09, 0.0206667, 1, 1, 0.991993
1.305, 20.323, 0.4, 0.4, 8.90353e-09, 0.0206667, 1, 1, 0.991993
1.31, 20.323, 0.4, 0.4, 8.93732e-09, 0.0206667, 1, 1, 0.991993
1.315, 20.323, 0.4, 0.4, 8.97111e-09, 0.0206667, 1, 1, 0.991993
1.32, 20.323, 0.4, 0.4, 9.0049e-09, 0.0206667, 1, 1, 0.991993
1.325, 20.323, 0.4, 0.4, 9.03869e-09, 0.0206667, 1, 1, 0.991993
1.33, 20.323, 0.4, 0.4, 9.07248e-09, 0.0206667, 1, 1, 0.991993
1.335, 20.323, 0.4, 0.4, 9.10627e-09, 0.0206667, 1, 1, 0.991993
1.34, 20.323, 0.4, 0.4, 9.14006e-09, 0.0206667, 1, 1, 0.991993
1.345, 20.323, 0.4, 0.4, 9.17385e-09, 0.0206667, 1, 1, 0.991993
1.35, 20.323, 0.4, 0.4, 9.20764e-09, 0.0206667, 1, 1, 0.991993
1.355, 20.323, 0.4, 0.4, 9.24143e-09, 0.0206667, 1, 1, 0.991993
1.36, 20.323, 0.4, 0.4, 9.27522e-09, 0.0206667, 1, 1, 0.991993
1.365, 20.323, 0.4, 0.4, 9.30901e-09, 0.0206667, 1, 1, 0.991993
1.37, 20.323, 0.4, 0.4, 9.3428e-09, 0.0206667, 1, 1, 0.991993
1.375, 20.323, 0.4, 0.4, 9.37659e-09, 0.0206667, 1, 1, 0.991993
1.38, 20.323, 0.4, 0.4, 9.41038e-09, 0.0206667, 1, 1, 0.991993
1.385, 20.323, 0.4, 0.4, 9.44417e-09, 0.0206667, 1, 1, 0.991993
1.39, 20.323, 0.4, 0.4, 9.47796e-09, 0.0206667, 1, 1, 0.991993
1.395, 20.323, 0.4, 0.4, 9.51175e-09, 0.0206667, 1, 1, 0.991993
1.4, 20.323, 0.4, 0.4, 9.54554e-09, 0.0206667, 1, 1, 0.991993
1.405, 20.323, 0.4, 0.4, 9.55399e-09, 0.0206667, 1, 1, 0.991993
1.41, 20.3231, 0.4, 0.4, 9.54554e-09, 0.0206667, 1, 1, 0.991993
1.415, 20.3231, 0.4, 0.4, 9.49486e-09, 0.0206667, 1, 1, 0.991993
1.42, 20.3231, 0.4, 0.4, 9.43573e-09, 0.0206667, 1, 1, 0.991993
1.425, 20.3231, 0.4, 0.4, 9.38504e-09, 0.0206667, 1, 1, 0.991993
1.43, 20.3231, 0.4, 0.4, 9.33436e-09, 0.0206667, 1, 1, 0.991993
1.435, 20.3231, 0.4, 0.4, 9.28367e-09, 0.0206667, 1, 1, 0.991993
1.44, 20.3231, 0.4, 0.4, 9.23299e-09, 0.0206667, 1, 1, 0.991993
1.445, 20.3231, 0.4, 0.4, 9.18231e-09, 0.0206667, 1, 1, 0.991993
