Time,gENROE.delta,gENROE.PELEC,gENROE.SPEED,eXST1.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
8.838,17883.203,6.92133e-05,0.27935165,0.31497404,0.0526175,5.8491624e-29,0.012824165,0.0064120824
8.84,17893.264,6.913877e-05,0.27942467,0.3148044,0.05258916,2.7160382e-29,0.012824165,0.0064120824
8.842,17903.324,6.906431e-05,0.27949768,0.31463483,0.052560832,2.022974e-29,0.012824165,0.0064120824
8.844,17913.387,6.8989924e-05,0.27957073,0.31446537,0.052532524,3.3004536e-17,0.012824165,0.0064120824
8.846,17923.453,6.891562e-05,0.27964374,0.31429598,0.052504227,3.199384e-29,0.012824165,0.0064120824
8.848,17933.521,6.88414e-05,0.27971676,0.3141267,0.052475948,7.3256934e-29,0.012824165,0.0064120824
8.85,17943.594,6.876726e-05,0.27978978,0.31395748,0.05244768,2.3585924e-30,0.012824165,0.0064120824
8.852,17953.666,6.8693196e-05,0.27986276,0.31378838,0.05241943,1.6735856e-17,0.012824165,0.0064120824
8.854,17963.742,6.8619214e-05,0.27993578,0.31361935,0.052391194,2.1836036e-29,0.012824165,0.0064120824
8.856,17973.824,6.854531e-05,0.28000876,0.31345043,0.05236297,2.8578766e-17,0.012824165,0.0064120824
8.858,17983.904,6.847148e-05,0.28008178,0.31328157,0.052334767,9.596855e-18,0.012824165,0.0064120824
8.86,17993.988,6.8397734e-05,0.28015476,0.31311283,0.052306574,2.8085316e-17,0.012824165,0.0064120824
8.862,18004.076,6.8324065e-05,0.28022775,0.31294414,0.0522784,1.30497155e-17,0.012824165,0.0064120824
8.864,18014.166,6.8250476e-05,0.28030074,0.31277558,0.052250236,2.3525647e-17,0.012824165,0.0064120824
8.866,18024.258,6.817697e-05,0.2803737,0.31260708,0.05222209,3.1556263e-29,0.012824165,0.0064120824
8.868,18034.352,6.810353e-05,0.28044668,0.3124387,0.05219396,5.288797e-18,0.012824165,0.0064120824
8.87,18044.45,6.803018e-05,0.28051963,0.31227037,0.052165844,5.9732943e-30,0.012824165,0.0064120824
8.872,18054.55,6.7956906e-05,0.28059262,0.31210217,0.05213774,5.5465977e-30,0.012824165,0.0064120824
8.874,18064.652,6.78837e-05,0.28066558,0.31193402,0.052109655,5.9083e-18,0.012824165,0.0064120824
8.876,18074.76,6.7810586e-05,0.28073853,0.311766,0.05208158,9.3986495e-18,0.012824165,0.0064120824
8.878,18084.867,6.773754e-05,0.2808115,0.31159803,0.052053526,1.1425786e-17,0.012824165,0.0064120824
8.88,18094.977,6.766458e-05,0.28088444,0.31143016,0.052025482,5.186089e-18,0.012824165,0.0064120824
8.882,18105.09,6.7591696e-05,0.28095737,0.3112624,0.051997457,1.864013e-18,0.012824165,0.0064120824
8.884,18115.205,6.7518886e-05,0.28103033,0.3110947,0.051969443,3.536498e-30,0.012824165,0.0064120824
8.886,18125.324,6.7446155e-05,0.28110325,0.3109271,0.051941443,9.144995e-18,0.012824165,0.0064120824
8.888,18135.447,6.7373505e-05,0.28117618,0.3107596,0.051913463,4.879642e-31,0.012824165,0.0064120824
8.89,18145.57,6.730093e-05,0.2812491,0.31059217,0.051885493,4.9536695e-18,0.012824165,0.0064120824
8.892,18155.697,6.722843e-05,0.28132203,0.31042483,0.05185754,4.1684745e-30,0.012824165,0.0064120824
8.894,18165.826,6.7156005e-05,0.28139496,0.31025758,0.0518296,2.344066e-18,0.012824165,0.0064120824
8.896,18175.957,6.708367e-05,0.28146788,0.31009045,0.051801674,1.5481387e-17,0.012824165,0.0064120824
