Time,gENROE.delta,gENROE.PELEC,gENROE.SPEED,iEEET2.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.2,34.4037,0.4,-3.5026307e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.202,34.4037,0.4,-3.5077055e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.204,34.4037,0.4,-3.51278e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.206,34.4037,0.4,-3.517855e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.208,34.4037,0.4,-3.5229294e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.21,34.4037,0.4,-3.5280043e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.212,34.4037,0.4,-3.533079e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.214,34.4037,0.4,-3.5381537e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.216,34.4037,0.4,-3.5432285e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.218,34.4037,0.4,-3.548303e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.22,34.4037,0.4,-3.553378e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.222,34.4037,0.4,-3.5584524e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.224,34.4037,0.4,-3.5635273e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.226,34.4037,0.4,-3.5686018e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.228,34.4037,0.4,-3.5736766e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.23,34.4037,0.4,-3.5787515e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.232,34.4037,0.4,-3.583826e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.234,34.4037,0.4,-3.5889008e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.236,34.4037,0.4,-3.5939754e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.238,34.4037,0.4,-3.5990502e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.24,34.4037,0.4,-3.6041248e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.242,34.4037,0.4,-3.6091996e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.244,34.4037,0.4,-3.6142744e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.246,34.4037,0.4,-3.619349e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.248,34.4037,0.4,-3.6244238e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.25,34.403698,0.4,-3.6294984e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.252,34.403698,0.4,-3.6345732e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.254,34.403698,0.4,-3.6396477e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.256,34.403698,0.4,-3.6447226e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.258,34.403698,0.4,-3.649797e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.26,34.403698,0.4,-3.654872e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.262,34.403698,0.4,-3.6599468e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.264,34.403698,0.4,-3.6459108e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.266,34.403698,0.4,-3.6304146e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.268,34.403698,0.4,-3.6149184e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.27,34.403698,0.4,-3.5994221e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.272,34.403698,0.4,-3.5839257e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.274,34.403698,0.4,-3.5684294e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.276,34.403698,0.4,-3.5529332e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.278,34.403698,0.4,-3.537437e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.28,34.403698,0.4,-3.5219408e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.282,34.403698,0.4,-3.5064443e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.284,34.403698,0.4,-3.490948e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.286,34.403698,0.4,-3.475452e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.288,34.403698,0.4,-3.4599557e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.29,34.403698,0.4,-3.4444594e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.292,34.403698,0.4,-3.4289632e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.294,34.403698,0.4,-3.4134667e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.296,34.403698,0.4,-3.3979705e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.298,34.403698,0.4,-3.3824743e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.3,34.403698,0.4,-3.366978e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.302,34.403698,0.4,-3.351482e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
