Time,gENROU.delta,gENROU.PELEC,gENROU.SPEED,sCRX.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.152,0.5992455,0.40000004,-8.226484e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.154,0.5992455,0.40000004,-8.3304275e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.156,0.5992455,0.40000004,-8.4342333e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.158,0.5992455,0.40000004,-8.5379015e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.16,0.5992455,0.40000004,-8.6414326e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.162,0.5992455,0.40000004,-8.7448265e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.164,0.5992455,0.40000004,-8.848082e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.166,0.5992455,0.40000004,-8.951201e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.168,0.5992455,0.40000004,-9.054182e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.17,0.5992455,0.40000004,-9.1570257e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.172,0.5992455,0.40000004,-9.259732e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.174,0.5992455,0.40000004,-9.362301e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.176,0.5992455,0.40000004,-9.464731e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.178,0.5992455,0.40000004,-9.567025e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.18,0.5992455,0.40000004,-9.669182e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.182,0.5992455,0.40000004,-9.7712e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.184,0.5992455,0.40000004,-9.873081e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.186,0.5992455,0.40000004,-9.974825e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.188,0.5992455,0.40000004,-1.0076432e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.19,0.5992455,0.40000004,-1.0177901e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.192,0.5992455,0.40000004,-1.0279232e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.194,0.5992455,0.40000004,-1.0380427e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.196,0.5992455,0.40000004,-1.0481482e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.198,0.5992455,0.40000004,-1.0582402e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.2,0.5992455,0.40000004,-1.0683183e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.202,0.5992455,0.40000004,-1.0783827e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.204,0.5992455,0.40000004,-1.0884333e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.206,0.5992455,0.40000004,-1.0984703e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.208,0.5992455,0.40000004,-1.1084934e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.21,0.5992455,0.40000004,-1.1185028e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.212,0.5992455,0.40000004,-1.1284985e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.214,0.5992455,0.40000004,-1.1384804e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.216,0.5992455,0.40000004,-1.1484486e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
