Time,gENROU.delta,gENROU.PELEC,gENROU.SPEED,sEXS.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.274,0.5992454,0.40000004,-1.4290505e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.276,0.5992454,0.40000004,-1.4382385e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.278,0.5992454,0.40000004,-1.4474036e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.28,0.5992454,0.40000004,-1.4565458e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.282,0.5992454,0.40000004,-1.4656649e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.284,0.5992454,0.40000004,-1.4747612e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.286,0.5992454,0.40000004,-1.4838345e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.288,0.5992454,0.40000004,-1.4928848e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.29,0.5992454,0.40000004,-1.5019123e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.292,0.5992454,0.40000004,-1.5109167e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.294,0.5992454,0.40000004,-1.5198982e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.296,0.5992454,0.40000004,-1.5288568e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.298,0.5992454,0.40000004,-1.5377924e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.3,0.5992454,0.40000004,-1.5467051e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.302,0.5992454,0.40000004,-1.5555949e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.304,0.5992454,0.40000004,-1.5644617e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.306,0.5992454,0.40000004,-1.5733056e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.308,0.5992454,0.40000004,-1.5821264e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.31,0.5992454,0.40000004,-1.5909244e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.312,0.5992454,0.40000004,-1.5996995e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.314,0.5992454,0.40000004,-1.6084516e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.316,0.5992454,0.40000004,-1.6171807e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.318,0.5992454,0.40000004,-1.6258869e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.32,0.5992454,0.40000004,-1.6345701e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
