Time,gENROE.delta,gENROE.PELEC,gENROE.SPEED,eSDC1A.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.154,0.60045785,0.40000004,-7.7796286e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.156,0.60045785,0.40000004,-7.87651e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.158,0.60045785,0.40000004,-7.973261e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.16,0.60045785,0.40000004,-8.0698814e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.162,0.6004578,0.40000004,-8.166371e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.164,0.6004578,0.40000004,-8.2627294e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.166,0.6004578,0.40000004,-8.358958e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.168,0.6004578,0.40000004,-8.4550555e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.17,0.6004578,0.40000004,-8.5510227e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.172,0.6004578,0.40000004,-8.646859e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.174,0.6004578,0.40000004,-8.7425645e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.176,0.6004578,0.40000004,-8.8381397e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.178,0.6004578,0.40000004,-8.9335844e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.18,0.6004578,0.40000004,-9.028898e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.182,0.6004578,0.40000004,-9.1240815e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.184,0.6004578,0.40000004,-9.219134e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.186,0.6004578,0.40000004,-9.314056e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.188,0.6004578,0.40000004,-9.408847e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.19,0.6004578,0.40000004,-9.503508e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
