Time,gENROU.delta,gENROU.PELEC,gENROU.SPEED,eSST4B.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.244,0.01353511,0.74897796,-0.012288439,8.41,1.9239527,1.8968155,1.9036136,1.9002068
0.246,0.005786989,0.74788105,-0.012374284,8.41,1.9237523,1.8964612,1.9031769,1.8998113
0.248,-0.002014925,0.74678785,-0.012459901,8.41,1.9235492,1.8961023,1.9027348,1.8994106
0.25,-0.009870585,0.74569863,-0.012545236,8.41,1.9233433,1.8957387,1.9022869,1.8990048
0.252,-0.017779812,0.7446138,-0.01263029,8.41,1.9231347,1.8953704,1.9018334,1.8985938
0.254,-0.025742423,0.74353373,-0.012715064,8.41,1.9229231,1.8949974,1.9013741,1.8981776
0.256,-0.033758238,0.74245864,-0.012799558,8.41,1.9227089,1.8946196,1.9009092,1.8977562
0.258,-0.04182708,0.741389,-0.012883774,8.41,1.9224917,1.8942372,1.9004387,1.8973296
0.26,-0.04994876,0.740325,-0.012967713,8.41,1.9222717,1.89385,1.8999622,1.8968977
0.262,-0.0581231,0.73926705,-0.013051376,8.41,1.9220489,1.8934579,1.8994801,1.8964605
0.264,-0.06634992,0.73821545,-0.013134764,8.41,1.9218233,1.8930612,1.8989922,1.8960181
0.266,-0.07462904,0.73717064,-0.0132178785,8.41,1.9215947,1.8926597,1.8984985,1.8955705
0.268,-0.08296027,0.7361329,-0.013300721,8.41,1.9213634,1.8922533,1.8979992,1.8951175
0.27,-0.09134344,0.73510265,-0.0133832935,8.41,1.9211291,1.8918421,1.8974938,1.8946593
0.272,-0.09977836,0.73408014,-0.013465596,8.41,1.9208919,1.8914262,1.8969829,1.8941957
0.274,-0.10826485,0.7330658,-0.013547633,8.41,1.9206518,1.8910054,1.896466,1.8937268
0.276,-0.11680272,0.7320599,-0.013629403,8.41,1.9204088,1.8905798,1.8959433,1.8932526
0.278,-0.12539181,0.7310629,-0.01371091,8.41,1.9201629,1.8901494,1.8954148,1.892773
0.28,-0.1340325,0.730075,-0.013792171,8.41,1.9199141,1.8897141,1.8948805,1.8922882
0.282,-0.14272441,0.7290967,-0.013873183,8.41,1.9196624,1.889274,1.8943404,1.891798
0.284,-0.15146717,0.7281284,-0.013953942,8.41,1.9194078,1.8888291,1.8937944,1.8913025
0.286,-0.16026063,0.7271703,-0.014034451,8.41,1.9191502,1.8883793,1.8932427,1.8908017
0.288,-0.1691046,0.7262229,-0.014114711,8.41,1.9188898,1.8879247,1.892685,1.8902955
0.29,-0.17799895,0.7252865,-0.014194728,8.41,1.9186264,1.8874652,1.8921217,1.889784
0.292,-0.18694349,0.7243615,-0.014274502,8.41,1.9183601,1.8870009,1.8915524,1.8892672
0.294,-0.19593805,0.7234483,-0.014354037,8.41,1.9180908,1.8865318,1.8909774,1.888745
0.296,-0.2049825,0.72254723,-0.0144333355,8.41,1.9178185,1.8860579,1.8903965,1.8882176
0.298,-0.21407665,0.72165865,-0.0145124,8.41,1.9175434,1.885579,1.8898098,1.8876847
0.3,-0.22322035,0.720783,-0.014591235,8.41,1.9172654,1.8850954,1.8892175,1.8871466
0.302,-0.23241344,0.71992064,-0.014669843,8.41,1.9169843,1.884607,1.8886193,1.8866032
0.304,-0.24165575,0.71907187,-0.014748227,8.41,1.9167004,1.8841137,1.8880153,1.8860546
0.306,-0.25094715,0.71823716,-0.01482639,8.41,1.9164135,1.8836156,1.8874056,1.8855007
0.308,-0.26028743,0.7174169,-0.014904336,8.41,1.9161237,1.8831129,1.8867902,1.8849415
0.31,-0.26967648,0.7166114,-0.014982069,8.41,1.915831,1.8826053,1.886169,1.8843771
0.312,-0.2791145,0.715821,-0.015059596,8.41,1.9155353,1.882093,1.8855422,1.8838074
0.314,-0.28860185,0.71504617,-0.015136924,8.41,1.9152368,1.8815758,1.8849097,1.8832326
0.316,-0.29813772,0.7142873,-0.015214051,8.41,1.9149355,1.881054,1.8842715,1.8826526
0.318,-0.307722,0.71354467,-0.015290983,8.41,1.9146311,1.8805276,1.8836278,1.8820674
0.32,-0.31735456,0.7128188,-0.015367722,8.41,1.9143239,1.8799964,1.8829784,1.8814771
0.322,-0.32703528,0.71211,-0.015444274,8.41,1.9140139,1.8794606,1.8823235,1.8808817
0.324,-0.33676404,0.7114186,-0.015520643,8.41,1.9137009,1.8789202,1.8816631,1.8802812
0.326,-0.3465407,0.7107452,-0.015596833,8.41,1.9133852,1.878375,1.8809971,1.8796756
0.328,-0.3563651,0.71009,-0.01567285,8.41,1.9130665,1.8778254,1.8803257,1.879065
0.33,-0.3662372,0.7094534,-0.015748695,8.41,1.9127451,1.8772712,1.8796488,1.8784494
0.332,-0.3761568,0.70883584,-0.015824376,8.41,1.9124207,1.8767124,1.8789666,1.8778288
0.334,-0.38612384,0.7082377,-0.015899898,8.41,1.9120938,1.8761492,1.8782789,1.8772033
0.336,-0.3961382,0.7076594,-0.015975263,8.41,1.9117638,1.8755814,1.8775859,1.876573
0.338,-0.4061997,0.7071013,-0.01605048,8.41,1.9114312,1.8750092,1.8768877,1.8759377
0.34,-0.41630825,0.7065637,-0.01612555,8.41,1.9110957,1.8744326,1.8761842,1.8752977
0.342,-0.42646378,0.7060471,-0.016200481,8.41,1.9107575,1.8738517,1.8754755,1.8746527
0.344,-0.43666616,0.7055519,-0.016275277,8.41,1.9104167,1.8732663,1.8747617,1.8740032
0.346,-0.44691646,0.7050784,-0.016349945,8.41,1.9100732,1.8726767,1.8740427,1.8733488
0.348,-0.45721367,0.70462704,-0.016424492,8.41,1.9097269,1.8720828,1.8733188,1.87269
0.35,-0.4675577,0.7041982,-0.01649892,8.41,1.9093779,1.8714848,1.8725898,1.8720264
0.352,-0.47794846,0.7037922,-0.016573235,8.41,1.9090264,1.8708825,1.871856,1.8713583
0.354,-0.48838586,0.70340955,-0.016647445,8.41,1.9086722,1.8702761,1.8711172,1.8706857
0.356,-0.49886987,0.70305055,-0.016721554,8.41,1.9083155,1.8696657,1.8703736,1.8700087
0.358,-0.50940037,0.70271564,-0.016795568,8.41,1.9079561,1.8690512,1.8696252,1.8693273
0.36,-0.51997733,0.7024052,-0.016869495,8.41,1.9075943,1.8684328,1.8688722,1.8686415
0.362,-0.53060067,0.7021195,-0.01694334,8.41,1.9072299,1.8678104,1.8681146,1.8679514
0.364,-0.54127026,0.7018591,-0.017017107,8.41,1.9068631,1.867184,1.8673522,1.8672572
0.366,-0.55198616,0.7016243,-0.017090807,8.41,1.9064937,1.866554,1.8665856,1.8665588
0.368,-0.56274825,0.7014154,-0.017164443,8.41,1.906122,1.8659202,1.8658144,1.8658563
0.37,-0.5735564,0.7012329,-0.01723802,8.41,1.9057478,1.8652825,1.8650389,1.8651497
0.372,-0.5844107,0.70107716,-0.01731155,8.41,1.9053712,1.8646414,1.8642591,1.8644392
0.374,-0.59531105,0.7009485,-0.017385038,8.41,1.9049923,1.8639966,1.8634752,1.8637248
0.376,-0.6062573,0.7008473,-0.017458487,8.41,1.9046111,1.8633482,1.8626871,1.8630067
0.378,-0.6172502,0.70077395,-0.017531907,8.41,1.9042277,1.8626965,1.861895,1.8622848
0.38,-0.62828964,0.7007289,-0.017605305,8.41,1.9038421,1.8620414,1.861099,1.8615592
0.382,-0.6393752,0.7007124,-0.017678685,8.41,1.9034542,1.8613828,1.860299,1.86083
0.384,-0.6505069,0.7007249,-0.01775206,8.41,1.9030641,1.8607211,1.8594954,1.8600973
0.386,-0.6616847,0.7007667,-0.017825432,8.41,1.902672,1.8600563,1.858688,1.8593612
0.388,-0.67290854,0.7008382,-0.017898813,8.41,1.9022778,1.8593882,1.857877,1.8586217
0.39,-0.68417853,0.70093983,-0.017972207,8.41,1.9018816,1.8587172,1.8570626,1.857879
0.392,-0.6954946,0.70107186,-0.018045621,8.41,1.9014833,1.8580433,1.8562448,1.8571332
0.394,-0.7068568,0.70123464,-0.018119065,8.41,1.9010831,1.8573664,1.8554236,1.8563843
0.396,-0.71826506,0.7014286,-0.018192546,8.41,1.900681,1.8566868,1.8545994,1.8556323
0.398,-0.7297194,0.701654,-0.018266072,8.41,1.900277,1.8560046,1.8537719,1.8548775
0.4,-0.74121994,0.7019113,-0.01833965,8.41,1.8998712,1.8553196,1.8529415,1.8541199
0.402,-0.75276655,0.7022007,-0.01841329,8.41,1.8994637,1.8546323,1.8521084,1.8533596
0.404,-0.7643594,0.70252275,-0.018486999,8.41,1.8990544,1.8539424,1.8512723,1.8525968
