Time,gENROU.delta,gENROU.PELEC,gENROU.SPEED,sEXS.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.192,34.334236,0.40000004,-1.0277449e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.194,34.334236,0.40000004,-1.0378572e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.196,34.334236,0.40000004,-1.0479557e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.198,34.334236,0.40000004,-1.0580403e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.2,34.334236,0.40000004,-1.068111e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.202,34.334236,0.40000004,-1.0781679e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.204,34.334236,0.40000004,-1.0882109e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.206,34.334236,0.40000004,-1.0982399e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.208,34.334236,0.40000004,-1.1082552e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.21,34.334236,0.40000004,-1.1182565e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.212,34.334236,0.40000004,-1.1282439e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.214,34.334236,0.40000004,-1.1382175e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.216,34.334236,0.40000004,-1.1481772e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.218,34.334236,0.40000004,-1.158123e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.22,34.334236,0.40000004,-1.168055e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.222,34.334236,0.40000004,-1.177973e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.224,34.334236,0.40000004,-1.1878772e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.226,34.334236,0.40000004,-1.1977676e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.228,34.334236,0.40000004,-1.2076439e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.23,34.334236,0.40000004,-1.2175064e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.232,34.334236,0.40000004,-1.2273551e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.234,34.334236,0.40000004,-1.2371899e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.236,34.334236,0.40000004,-1.2470108e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.238,34.334236,0.40000004,-1.2568179e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.24,34.334236,0.40000004,-1.266611e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.242,34.334236,0.40000004,-1.2763902e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.244,34.334236,0.40000004,-1.2861556e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.246,34.334236,0.40000004,-1.2959072e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.248,34.334236,0.40000004,-1.3056448e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.25,34.334236,0.40000004,-1.3153686e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.252,34.334236,0.40000004,-1.3250784e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.254,34.334236,0.40000004,-1.3347744e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.256,34.334236,0.40000004,-1.3444565e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.258,34.334236,0.40000004,-1.3541248e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.26,34.334236,0.40000004,-1.3637791e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.262,34.334236,0.40000004,-1.3734196e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.264,34.334236,0.40000004,-1.3827663e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.266,34.334236,0.40000004,-1.392069e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.268,34.334236,0.40000004,-1.4013488e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.27,34.334236,0.40000004,-1.4106057e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.272,34.334236,0.40000004,-1.4198396e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.274,34.334236,0.40000004,-1.4290505e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.276,34.334236,0.40000004,-1.4382385e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.278,34.334236,0.40000004,-1.4474036e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.28,34.334236,0.40000004,-1.4565458e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.282,34.334236,0.40000004,-1.4656649e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.284,34.334236,0.40000004,-1.4747612e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.286,34.334236,0.40000004,-1.4838345e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.288,34.334236,0.40000004,-1.4928848e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.29,34.334236,0.40000004,-1.5019123e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.292,34.334236,0.40000004,-1.5109167e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.294,34.334236,0.40000004,-1.5198982e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.296,34.334236,0.40000004,-1.5288568e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.298,34.334236,0.40000004,-1.5377924e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.3,34.334236,0.40000004,-1.5467051e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.302,34.334236,0.40000004,-1.5555949e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.304,34.334236,0.40000004,-1.5644617e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.306,34.334236,0.40000004,-1.5733056e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.308,34.334236,0.40000004,-1.5821264e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.31,34.334236,0.40000004,-1.5909244e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.312,34.334236,0.40000004,-1.5996995e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.314,34.334236,0.40000004,-1.6084516e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.316,34.334236,0.40000004,-1.6171807e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.318,34.334236,0.40000004,-1.6258869e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.32,34.334236,0.40000004,-1.6345701e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.322,34.334236,0.40000004,-1.6432304e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.324,34.334236,0.40000004,-1.6518679e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.326,34.334236,0.40000004,-1.6604822e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.328,34.334236,0.40000004,-1.6690737e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.33,34.334236,0.40000004,-1.6776422e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.332,34.334236,0.40000004,-1.6861879e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.334,34.334236,0.40000004,-1.6947105e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.336,34.334236,0.40000004,-1.7032101e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.338,34.334236,0.40000004,-1.7116869e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.34,34.334236,0.40000004,-1.7201408e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.342,34.334236,0.40000004,-1.7285716e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.344,34.334236,0.40000004,-1.7369796e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.346,34.334236,0.40000004,-1.7453645e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.348,34.334236,0.40000004,-1.7537266e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
