Time,gENROU.delta,gENROU.PELEC,gENROU.SPEED,eSAC2A.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.14,28.845938,0.39999992,-6.721561e-09,1.3274747,0.99999976,0.9919933,0.9999997,0.9959839
0.142,28.845938,0.39999992,-6.8143e-09,1.3274747,0.99999976,0.9919933,0.9999997,0.9959839
0.144,28.845938,0.39999992,-6.906922e-09,1.3274747,0.99999976,0.9919933,0.9999997,0.9959839
0.146,28.845938,0.39999992,-6.9994286e-09,1.3274747,0.99999976,0.9919933,0.9999997,0.9959839
0.148,28.845938,0.39999992,-7.091819e-09,1.3274747,0.99999976,0.9919933,0.9999997,0.9959839
0.15,28.845938,0.39999992,-7.1840938e-09,1.3274747,0.99999976,0.9919933,0.9999997,0.9959839
0.152,28.845938,0.39999992,-7.2762525e-09,1.3274747,0.99999976,0.9919933,0.9999997,0.9959839
0.154,28.845938,0.39999992,-7.368295e-09,1.3274747,0.99999976,0.9919933,0.9999997,0.9959839
0.156,28.845938,0.39999992,-7.460222e-09,1.3274747,0.99999976,0.9919933,0.9999997,0.9959839
0.158,28.845938,0.39999992,-7.552032e-09,1.3274748,0.99999976,0.9919933,0.9999997,0.9959839
0.16,28.845938,0.39999992,-7.6437265e-09,1.3274748,0.99999976,0.9919933,0.9999997,0.9959839
0.162,28.845938,0.39999992,-7.735305e-09,1.3274748,0.99999976,0.9919933,0.9999997,0.9959839
0.164,28.845934,0.39999992,-7.826768e-09,1.3274748,0.99999976,0.9919933,0.9999997,0.9959839
0.166,28.845934,0.39999992,-7.918114e-09,1.3274748,0.99999976,0.9919933,0.9999997,0.9959839
0.168,28.845934,0.39999992,-8.009344e-09,1.3274748,0.99999976,0.9919933,0.9999997,0.9959839
0.17,28.845934,0.3999999,-8.100459e-09,1.3274748,0.99999976,0.9919933,0.9999997,0.9959839
0.172,28.845934,0.3999999,-8.191458e-09,1.3274748,0.99999976,0.9919933,0.9999997,0.9959839
0.174,28.845934,0.3999999,-8.28234e-09,1.3274748,0.99999976,0.9919933,0.9999997,0.9959839
0.176,28.845934,0.3999999,-8.373107e-09,1.3274748,0.99999976,0.9919933,0.9999997,0.9959839
0.178,28.845934,0.3999999,-8.463758e-09,1.3274748,0.99999976,0.9919933,0.9999997,0.9959839
0.18,28.845934,0.3999999,-8.5542915e-09,1.3274748,0.99999976,0.9919933,0.9999997,0.9959839
0.182,28.845934,0.3999999,-8.644711e-09,1.3274748,0.99999976,0.9919933,0.9999997,0.9959839
0.184,28.845934,0.3999999,-8.735013e-09,1.3274748,0.99999976,0.9919933,0.9999997,0.9959839
0.186,28.845932,0.3999999,-8.825199e-09,1.327475,0.99999976,0.9919933,0.9999997,0.9959839
0.188,28.845932,0.3999999,-8.915269e-09,1.327475,0.99999976,0.9919933,0.9999997,0.9959839
0.19,28.845932,0.3999999,-9.005224e-09,1.327475,0.99999976,0.9919933,0.9999997,0.9959839
0.192,28.845932,0.3999999,-9.0950625e-09,1.327475,0.99999976,0.9919933,0.9999997,0.9959839
0.194,28.845932,0.3999999,-9.184785e-09,1.327475,0.99999976,0.9919933,0.9999997,0.9959839
0.196,28.845932,0.3999999,-9.274392e-09,1.327475,0.99999976,0.9919933,0.9999997,0.9959839
0.198,28.845932,0.3999999,-9.363882e-09,1.327475,0.99999976,0.9919933,0.9999997,0.9959839
0.2,28.845932,0.3999999,-9.453257e-09,1.327475,0.99999976,0.9919933,0.9999997,0.9959839
0.202,28.845932,0.3999999,-9.542515e-09,1.327475,0.99999976,0.9919933,0.9999997,0.9959839
0.204,28.845932,0.3999999,-9.631658e-09,1.327475,0.99999976,0.9919933,0.9999997,0.9959839
0.206,28.845932,0.3999999,-9.720684e-09,1.327475,0.99999976,0.9919933,0.9999997,0.9959839
0.208,28.845928,0.3999999,-9.809595e-09,1.327475,0.99999976,0.9919933,0.9999997,0.9959839
0.21,28.845928,0.3999999,-9.898389e-09,1.3274751,0.99999976,0.9919933,0.9999997,0.9959839
0.212,28.845928,0.3999999,-9.987068e-09,1.3274751,0.99999976,0.9919933,0.9999997,0.9959839
0.214,28.845928,0.3999999,-1.007563e-08,1.3274751,0.99999976,0.9919933,0.9999997,0.9959839
0.216,28.845928,0.3999999,-1.0164077e-08,1.3274751,0.99999976,0.9919933,0.9999997,0.9959839
0.218,28.845928,0.3999999,-1.0252407e-08,1.3274751,0.99999976,0.9919933,0.9999997,0.9959839
0.22,28.845928,0.3999999,-1.0340622e-08,1.3274751,0.99999976,0.9919933,0.9999997,0.9959839
0.222,28.845928,0.3999999,-1.042872e-08,1.3274751,0.99999976,0.9919933,0.9999997,0.9959839
0.224,28.845928,0.3999999,-1.0516702e-08,1.3274751,0.99999976,0.9919933,0.9999997,0.9959839
