Time,gENROU.delta,gENROU.PELEC,gENROU.SPEED,eSST4B.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.094,24.530035,0.82216644,-0.005069245,8.41,1.9324154,1.9121356,1.9226477,1.9173882
0.096,24.345772,0.8215043,-0.0051741516,8.41,1.9323694,1.912048,1.9225373,1.9172891
0.098,24.157736,0.8208298,-0.005278886,8.41,1.9323219,1.9119581,1.9224238,1.9171873
0.1,23.965927,0.8201431,-0.005383444,8.41,1.9322731,1.9118657,1.9223074,1.917083
0.102,23.770353,0.81944436,-0.005487824,8.41,1.9322231,1.9117709,1.9221879,1.9169759
0.104,23.571016,0.81873363,-0.005592022,8.41,1.9321716,1.9116738,1.9220655,1.916866
0.106,23.367928,0.81801105,-0.0056960364,8.41,1.9321188,1.911574,1.92194,1.9167533
0.108,23.161085,0.81727666,-0.005799863,8.41,1.9320645,1.9114718,1.9218112,1.9166378
0.11,22.950499,0.81653064,-0.005903499,8.41,1.9320089,1.9113669,1.9216794,1.9165194
0.112,22.73617,0.8157731,-0.0060069426,8.41,1.9319516,1.9112597,1.9215443,1.9163982
0.114,22.518106,0.81500417,-0.00611019,8.41,1.9318931,1.9111496,1.921406,1.916274
0.116,22.296381,0.8142242,-0.0062132324,8.41,1.9318329,1.911037,1.9212644,1.9161468
0.118,22.070984,0.8134332,-0.006316069,8.41,1.9317713,1.9109217,1.9211196,1.9160167
0.12,21.84189,0.81263113,-0.006418699,8.41,1.9317081,1.9108036,1.9209713,1.9158835
0.122,21.609106,0.8118183,-0.006521119,8.41,1.9316435,1.9106828,1.9208198,1.9157473
0.124,21.372635,0.8109948,-0.0066233263,8.41,1.9315772,1.9105593,1.9206647,1.9156079
0.126,21.132486,0.8101607,-0.0067253183,8.41,1.9315093,1.9104329,1.9205062,1.9154655
0.128,20.888666,0.80931616,-0.006827091,8.41,1.9314398,1.9103037,1.9203442,1.9153198
0.13,20.64118,0.8084613,-0.0069286423,8.41,1.9313687,1.9101716,1.9201787,1.9151709
0.132,20.390038,0.8075964,-0.0070299683,8.41,1.931296,1.9100367,1.9200096,1.9150189
0.134,20.13524,0.80672145,-0.007131067,8.41,1.9312215,1.9098988,1.9198369,1.9148635
0.136,19.876799,0.8058367,-0.0072319345,8.41,1.9311454,1.9097579,1.9196604,1.9147048
0.138,19.614717,0.8049422,-0.007332568,8.41,1.9310676,1.909614,1.9194803,1.9145428
0.14,19.349005,0.8040382,-0.0074329646,8.41,1.930988,1.909467,1.9192965,1.9143773
0.142,19.079664,0.80312485,-0.007533121,8.41,1.9309067,1.9093169,1.9191089,1.9142084
0.144,18.806704,0.8022023,-0.0076330346,8.41,1.9308236,1.9091638,1.9189174,1.9140362
0.146,18.530132,0.80127066,-0.007732702,8.41,1.9307387,1.9090075,1.9187222,1.9138603
0.148,18.24999,0.8003303,-0.007832132,8.41,1.930652,1.908848,1.918523,1.9136809
0.15,17.966364,0.7993815,-0.007931346,8.41,1.9305634,1.9086854,1.9183198,1.913498
0.152,17.679169,0.79842424,-0.008030314,8.41,1.9304731,1.9085196,1.9181128,1.9133115
0.154,17.388414,0.7974587,-0.008129031,8.41,1.9303808,1.9083505,1.9179018,1.9131213
0.156,17.09411,0.79648507,-0.008227497,8.41,1.9302868,1.908178,1.9176866,1.9129275
0.158,16.796263,0.7955035,-0.008325709,8.41,1.9301907,1.9080023,1.9174674,1.9127299
0.16,16.494879,0.7945142,-0.008423663,8.41,1.9300927,1.9078231,1.917244,1.9125285
0.162,16.189968,0.79351735,-0.008521358,8.41,1.9299927,1.9076405,1.9170164,1.9123235
0.164,15.881537,0.7925132,-0.00861879,8.41,1.9298908,1.9074545,1.9167846,1.9121145
0.166,15.569595,0.7915018,-0.0087159565,8.41,1.9297868,1.907265,1.9165486,1.9119016
0.168,15.254152,0.79048353,-0.008812856,8.41,1.9296808,1.907072,1.9163082,1.9116849
0.17,14.935213,0.7894586,-0.008909486,8.41,1.9295727,1.9068754,1.9160635,1.9114642
0.172,14.612785,0.788427,-0.009005844,8.41,1.9294627,1.9066752,1.9158144,1.9112395
0.174,14.286879,0.7873891,-0.009101925,8.41,1.9293505,1.9064714,1.915561,1.9110109
0.176,13.957501,0.7863451,-0.00919773,8.41,1.9292362,1.906264,1.915303,1.910778
0.178,13.6246605,0.7852952,-0.0092932535,8.41,1.9291198,1.9060528,1.9150405,1.9105412
0.18,13.288364,0.78423965,-0.009388495,8.41,1.9290012,1.905838,1.9147735,1.9103003
0.182,12.948735,0.7831788,-0.009483519,8.41,1.9288805,1.9056195,1.9145019,1.910055
0.184,12.605702,0.7821129,-0.0095782755,8.41,1.9287575,1.9053972,1.9142257,1.9098058
0.186,12.259262,0.781042,-0.009672756,8.41,1.9286324,1.905171,1.9139448,1.9095522
0.188,11.909426,0.7799663,-0.00976696,8.41,1.9285051,1.904941,1.9136593,1.9092944
0.19,11.556199,0.7788862,-0.009860883,8.41,1.9283754,1.9047071,1.913369,1.9090322
0.192,11.1995945,0.7778018,-0.009954524,8.41,1.9282435,1.9044693,1.913074,1.9087658
0.194,10.83962,0.77671343,-0.010047882,8.41,1.9281093,1.9042276,1.9127742,1.908495
0.196,10.476284,0.7756213,-0.010140955,8.41,1.9279728,1.9039818,1.9124695,1.9082196
0.198,10.109599,0.7745256,-0.010233742,8.41,1.9278339,1.9037322,1.9121599,1.9079399
0.2,9.739571,0.77342665,-0.010326239,8.41,1.9276928,1.9034784,1.9118454,1.9076557
0.202,9.36621,0.77232474,-0.010418447,8.41,1.9275491,1.9032205,1.911526,1.907367
0.204,8.989526,0.7712201,-0.010510362,8.41,1.9274032,1.9029586,1.9112015,1.9070737
0.206,8.6095295,0.7701129,-0.010601983,8.41,1.9272548,1.9026926,1.910872,1.9067758
0.208,8.226228,0.7690035,-0.010693309,8.41,1.927104,1.9024223,1.9105375,1.9064734
0.21,7.8396306,0.7678922,-0.010784336,8.41,1.9269507,1.9021479,1.9101979,1.9061663
0.212,7.449748,0.7667791,-0.010875065,8.41,1.926795,1.9018693,1.909853,1.9058546
0.214,7.0566263,0.76566476,-0.010965539,8.41,1.9266367,1.9015864,1.9095031,1.9055381
0.216,6.660284,0.76454926,-0.011055768,8.41,1.926476,1.9012992,1.909148,1.9052168
0.218,6.2606983,0.763433,-0.011145708,8.41,1.9263128,1.9010078,1.9087876,1.9048909
0.22,5.8578787,0.76231617,-0.011235361,8.41,1.926147,1.900712,1.908422,1.9045601
0.222,5.451835,0.76119906,-0.011324726,8.41,1.9259787,1.9004118,1.9080511,1.9042245
0.224,5.0425787,0.76008195,-0.0114138005,8.41,1.9258077,1.9001074,1.9076749,1.903884
0.226,4.6301193,0.7589652,-0.011502584,8.41,1.9256341,1.8997984,1.9072933,1.9035387
0.228,4.2144666,0.757849,-0.011591078,8.41,1.925458,1.899485,1.9069064,1.9031885
0.23,3.7956305,0.7567337,-0.011679279,8.41,1.9252791,1.8991672,1.9065139,1.9028333
0.232,3.373622,0.7556197,-0.011767186,8.41,1.9250978,1.898845,1.9061161,1.9024732
0.234,2.9484503,0.7545071,-0.0118548,8.41,1.9249136,1.8985181,1.9057128,1.9021081
0.236,2.520126,0.75339645,-0.01194212,8.41,1.924727,1.8981867,1.9053041,1.9017379
0.238,2.0886593,0.75228786,-0.012029145,8.41,1.9245374,1.8978509,1.9048898,1.9013628
0.24,1.6540601,0.7511817,-0.012115873,8.41,1.9243453,1.8975104,1.90447,1.9009825
0.242,1.2163385,0.7500783,-0.012202305,8.41,1.9241503,1.8971653,1.9040445,1.9005972
0.244,0.7755047,0.74897796,-0.012288439,8.41,1.9239527,1.8968155,1.9036136,1.9002068
0.246,0.33157003,0.74788105,-0.012374284,8.41,1.9237523,1.8964612,1.9031769,1.8998113
0.248,-0.1154467,0.74678785,-0.012459901,8.41,1.9235492,1.8961023,1.9027348,1.8994106
0.25,-0.5655429,0.74569863,-0.012545236,8.41,1.9233433,1.8957387,1.9022869,1.8990048
0.252,-1.0187082,0.7446138,-0.01263029,8.41,1.9231347,1.8953704,1.9018334,1.8985938
0.254,-1.4749322,0.74353373,-0.012715064,8.41,1.9229231,1.8949974,1.9013741,1.8981776
0.256,-1.9342046,0.74245864,-0.012799558,8.41,1.9227089,1.8946196,1.9009092,1.8977562
0.258,-2.3965151,0.741389,-0.012883774,8.41,1.9224917,1.8942372,1.9004387,1.8973296
0.26,-2.8618531,0.740325,-0.012967713,8.41,1.9222717,1.89385,1.8999622,1.8968977
0.262,-3.3302083,0.73926705,-0.013051376,8.41,1.9220489,1.8934579,1.8994801,1.8964605
0.264,-3.8015707,0.73821545,-0.013134764,8.41,1.9218233,1.8930612,1.8989922,1.8960181
0.266,-4.275929,0.73717064,-0.0132178785,8.41,1.9215947,1.8926597,1.8984985,1.8955705
0.268,-4.7532735,0.7361329,-0.013300721,8.41,1.9213634,1.8922533,1.8979992,1.8951175
0.27,-5.2335935,0.73510265,-0.0133832935,8.41,1.9211291,1.8918421,1.8974938,1.8946593
0.272,-5.716879,0.73408014,-0.013465596,8.41,1.9208919,1.8914262,1.8969829,1.8941957
0.274,-6.203119,0.7330658,-0.013547633,8.41,1.9206518,1.8910054,1.896466,1.8937268
0.276,-6.692303,0.7320599,-0.013629403,8.41,1.9204088,1.8905798,1.8959433,1.8932526
0.278,-7.1844215,0.7310629,-0.01371091,8.41,1.9201629,1.8901494,1.8954148,1.892773
0.28,-7.679497,0.730075,-0.013792171,8.41,1.9199141,1.8897141,1.8948805,1.8922882
0.282,-8.177506,0.7290967,-0.013873183,8.41,1.9196624,1.889274,1.8943404,1.891798
0.284,-8.67843,0.7281284,-0.013953942,8.41,1.9194078,1.8888291,1.8937944,1.8913025
0.286,-9.182258,0.7271703,-0.014034451,8.41,1.9191502,1.8883793,1.8932427,1.8908017
0.288,-9.68898,0.7262229,-0.014114711,8.41,1.9188898,1.8879247,1.892685,1.8902955
0.29,-10.198588,0.7252865,-0.014194728,8.41,1.9186264,1.8874652,1.8921217,1.889784
0.292,-10.711073,0.7243615,-0.014274502,8.41,1.9183601,1.8870009,1.8915524,1.8892672
0.294,-11.226423,0.7234483,-0.014354037,8.41,1.9180908,1.8865318,1.8909774,1.888745
0.296,-11.744633,0.72254723,-0.0144333355,8.41,1.9178185,1.8860579,1.8903965,1.8882176
0.298,-12.265689,0.72165865,-0.0145124,8.41,1.9175434,1.885579,1.8898098,1.8876847
0.3,-12.789584,0.720783,-0.014591235,8.41,1.9172654,1.8850954,1.8892175,1.8871466
0.302,-13.316309,0.71992064,-0.014669843,8.41,1.9169843,1.884607,1.8886193,1.8866032
0.304,-13.845855,0.71907187,-0.014748227,8.41,1.9167004,1.8841137,1.8880153,1.8860546
0.306,-14.378213,0.71823716,-0.01482639,8.41,1.9164135,1.8836156,1.8874056,1.8855007
0.308,-14.913372,0.7174169,-0.014904336,8.41,1.9161237,1.8831129,1.8867902,1.8849415
0.31,-15.451324,0.7166114,-0.014982069,8.41,1.915831,1.8826053,1.886169,1.8843771
0.312,-15.992084,0.715821,-0.015059596,8.41,1.9155353,1.882093,1.8855422,1.8838074
0.314,-16.535667,0.71504617,-0.015136924,8.41,1.9152368,1.8815758,1.8849097,1.8832326
0.316,-17.082033,0.7142873,-0.015214051,8.41,1.9149355,1.881054,1.8842715,1.8826526
0.318,-17.631172,0.71354467,-0.015290983,8.41,1.9146311,1.8805276,1.8836278,1.8820674
0.32,-18.183077,0.7128188,-0.015367722,8.41,1.9143239,1.8799964,1.8829784,1.8814771
0.322,-18.737741,0.71211,-0.015444274,8.41,1.9140139,1.8794606,1.8823235,1.8808817
0.324,-19.295158,0.7114186,-0.015520643,8.41,1.9137009,1.8789202,1.8816631,1.8802812
0.326,-19.85532,0.7107452,-0.015596833,8.41,1.9133852,1.878375,1.8809971,1.8796756
0.328,-20.418217,0.71009,-0.01567285,8.41,1.9130665,1.8778254,1.8803257,1.879065
0.33,-20.983847,0.7094534,-0.015748695,8.41,1.9127451,1.8772712,1.8796488,1.8784494
0.332,-21.552198,0.70883584,-0.015824376,8.41,1.9124207,1.8767124,1.8789666,1.8778288
0.334,-22.123266,0.7082377,-0.015899898,8.41,1.9120938,1.8761492,1.8782789,1.8772033
0.336,-22.697046,0.7076594,-0.015975263,8.41,1.9117638,1.8755814,1.8775859,1.876573
0.338,-23.27353,0.7071013,-0.01605048,8.41,1.9114312,1.8750092,1.8768877,1.8759377
0.34,-23.852707,0.7065637,-0.01612555,8.41,1.9110957,1.8744326,1.8761842,1.8752977
0.342,-24.434576,0.7060471,-0.016200481,8.41,1.9107575,1.8738517,1.8754755,1.8746527
0.344,-25.019129,0.7055519,-0.016275277,8.41,1.9104167,1.8732663,1.8747617,1.8740032
0.346,-25.606428,0.7050784,-0.016349945,8.41,1.9100732,1.8726767,1.8740427,1.8733488
0.348,-26.196413,0.70462704,-0.016424492,8.41,1.9097269,1.8720828,1.8733188,1.87269
0.35,-26.789083,0.7041982,-0.01649892,8.41,1.9093779,1.8714848,1.8725898,1.8720264
0.352,-27.38443,0.7037922,-0.016573235,8.41,1.9090264,1.8708825,1.871856,1.8713583
0.354,-27.982449,0.70340955,-0.016647445,8.41,1.9086722,1.8702761,1.8711172,1.8706857
0.356,-28.583138,0.70305055,-0.016721554,8.41,1.9083155,1.8696657,1.8703736,1.8700087
0.358,-29.186491,0.70271564,-0.016795568,8.41,1.9079561,1.8690512,1.8696252,1.8693273
0.36,-29.792507,0.7024052,-0.016869495,8.41,1.9075943,1.8684328,1.8688722,1.8686415
0.362,-30.401178,0.7021195,-0.01694334,8.41,1.9072299,1.8678104,1.8681146,1.8679514
0.364,-31.0125,0.7018591,-0.017017107,8.41,1.9068631,1.867184,1.8673522,1.8672572
0.366,-31.626478,0.7016243,-0.017090807,8.41,1.9064937,1.866554,1.8665856,1.8665588
0.368,-32.2431,0.7014154,-0.017164443,8.41,1.906122,1.8659202,1.8658144,1.8658563
0.37,-32.862362,0.7012329,-0.01723802,8.41,1.9057478,1.8652825,1.8650389,1.8651497
0.372,-33.48427,0.70107716,-0.01731155,8.41,1.9053712,1.8646414,1.8642591,1.8644392
0.374,-34.10881,0.7009485,-0.017385038,8.41,1.9049923,1.8639966,1.8634752,1.8637248
0.376,-34.735985,0.7008473,-0.017458487,8.41,1.9046111,1.8633482,1.8626871,1.8630067
0.378,-35.365833,0.70077395,-0.017531907,8.41,1.9042277,1.8626965,1.861895,1.8622848
0.38,-35.998344,0.7007289,-0.017605305,8.41,1.9038421,1.8620414,1.861099,1.8615592
0.382,-36.633503,0.7007124,-0.017678685,8.41,1.9034542,1.8613828,1.860299,1.86083
0.384,-37.2713,0.7007249,-0.01775206,8.41,1.9030641,1.8607211,1.8594954,1.8600973
0.386,-37.91174,0.7007667,-0.017825432,8.41,1.902672,1.8600563,1.858688,1.8593612
0.388,-38.55482,0.7008382,-0.017898813,8.41,1.9022778,1.8593882,1.857877,1.8586217
0.39,-39.200542,0.70093983,-0.017972207,8.41,1.9018816,1.8587172,1.8570626,1.857879
0.392,-39.848904,0.70107186,-0.018045621,8.41,1.9014833,1.8580433,1.8562448,1.8571332
0.394,-40.499912,0.70123464,-0.018119065,8.41,1.9010831,1.8573664,1.8554236,1.8563843
0.396,-41.153557,0.7014286,-0.018192546,8.41,1.900681,1.8566868,1.8545994,1.8556323
0.398,-41.80984,0.701654,-0.018266072,8.41,1.900277,1.8560046,1.8537719,1.8548775
0.4,-42.468773,0.7019113,-0.01833965,8.41,1.8998712,1.8553196,1.8529415,1.8541199
0.402,-43.13035,0.7022007,-0.01841329,8.41,1.8994637,1.8546323,1.8521084,1.8533596
0.404,-43.794567,0.70252275,-0.018486999,8.41,1.8990544,1.8539424,1.8512723,1.8525968
0.406,-44.461433,0.7028776,-0.018560784,8.41,1.8986434,1.8532501,1.8504337,1.8518314
0.408,-45.13095,0.70326567,-0.018634655,8.41,1.8982309,1.8525556,1.8495927,1.8510636
0.41,-45.803127,0.7036873,-0.018708618,8.41,1.8978167,1.8518591,1.8487492,1.8502936
0.412,-46.478012,0.70414287,-0.018782683,8.41,1.8974011,1.8511604,1.8479034,1.8495215
0.414,-47.155563,0.7046327,-0.018856855,8.41,1.896984,1.8504598,1.8470553,1.8487473
0.416,-47.835793,0.70515704,-0.018931147,8.41,1.8965654,1.8497574,1.8462054,1.8479711
0.418,-48.518696,0.70571625,-0.019005567,8.41,1.8961457,1.8490531,1.8453535,1.8471931
0.42,-49.204285,0.7063107,-0.019080121,8.41,1.8957245,1.8483473,1.8445,1.8464135
0.422,-49.892555,0.7069406,-0.019154822,8.41,1.8953022,1.84764,1.8436446,1.8456323
0.424,-50.58352,0.7076064,-0.019229677,8.41,1.8948786,1.8469312,1.842788,1.8448496
0.426,-51.277176,0.7083083,-0.019304695,8.41,1.894454,1.8462212,1.8419299,1.8440657
0.428,-51.973534,0.7090466,-0.019379884,8.41,1.8940284,1.8455099,1.8410707,1.8432804
0.43,-52.6726,0.70982164,-0.019455256,8.41,1.8936018,1.8447976,1.8402103,1.8424942
0.432,-53.37438,0.71063375,-0.01953082,8.41,1.8931743,1.8440844,1.8393492,1.8417071
0.434,-54.078873,0.7114832,-0.019606583,8.41,1.8927459,1.8433702,1.8384871,1.8409191
0.436,-54.786095,0.71237016,-0.019682555,8.41,1.8923167,1.8426554,1.8376247,1.8401306
0.438,-55.496048,0.7132951,-0.019758746,8.41,1.8918868,1.84194,1.8367616,1.8393415
0.44,-56.20874,0.71425813,-0.019835168,8.41,1.8914564,1.8412243,1.8358984,1.8385521
0.442,-56.924175,0.7152596,-0.019911828,8.41,1.8910253,1.8405081,1.8350351,1.8377625
0.444,-57.642406,0.7162999,-0.019988727,8.41,1.8905938,1.8397919,1.8341718,1.8369727
0.446,-58.363407,0.7173791,-0.020065878,8.41,1.8901619,1.8390754,1.8333086,1.8361832
0.448,-59.08719,0.7184976,-0.020143295,8.41,1.8897296,1.8383592,1.832446,1.8353938
0.45,-59.813763,0.7196555,-0.020220986,8.41,1.8892971,1.8376433,1.8315839,1.8346049
0.452,-60.54314,0.7208532,-0.020298962,8.41,1.8888644,1.8369277,1.8307225,1.8338164
0.454,-61.275322,0.72209084,-0.020377234,8.41,1.8884317,1.8362125,1.829862,1.8330288
0.456,-62.01033,0.72336864,-0.020455807,8.41,1.8879989,1.8354981,1.8290027,1.8322421
0.458,-62.74817,0.7246869,-0.020534696,8.41,1.8875662,1.8347845,1.8281447,1.8314564
0.46,-63.48885,0.72604585,-0.020613909,8.41,1.8871336,1.8340719,1.8272882,1.8306719
0.462,-64.23239,0.7274456,-0.020693457,8.41,1.8867013,1.8333604,1.8264334,1.8298889
0.464,-64.97879,0.7288864,-0.020773347,8.41,1.8862695,1.8326502,1.8255805,1.8291075
0.466,-65.72808,0.7303685,-0.020853594,8.41,1.8858379,1.8319415,1.8247296,1.8283279
0.468,-66.480255,0.73189205,-0.020934206,8.41,1.8854069,1.8312343,1.823881,1.8275502
0.47,-67.23534,0.73345727,-0.021015191,8.41,1.8849764,1.830529,1.8230349,1.8267746
0.472,-67.99334,0.7350643,-0.021096563,8.41,1.8845468,1.8298256,1.8221915,1.8260013
0.474,-68.75428,0.73671335,-0.02117833,8.41,1.8841178,1.8291245,1.821351,1.8252306
0.476,-69.51816,0.7384045,-0.021260504,8.41,1.8836899,1.8284254,1.8205137,1.8244625
0.478,-70.285,0.740138,-0.021343093,8.41,1.8832629,1.827729,1.8196796,1.8236974
0.48,-71.054825,0.7419139,-0.021426111,8.41,1.8828369,1.8270351,1.8188492,1.8229355
0.482,-71.827644,0.74373245,-0.021509565,8.41,1.8824122,1.8263441,1.8180226,1.8221768
0.484,-72.60347,0.7455937,-0.021593468,8.41,1.8819888,1.8256562,1.8172,1.8214216
0.486,-73.38232,0.7474978,-0.021677831,8.41,1.8815668,1.8249713,1.8163816,1.8206702
0.488,-74.16421,0.74944484,-0.021762663,8.41,1.8811463,1.8242899,1.8155676,1.8199227
0.49,-74.949165,0.751435,-0.021847976,8.41,1.8807274,1.8236121,1.8147584,1.8191794
0.492,-75.73719,0.7534682,-0.021933781,8.41,1.8803103,1.8229381,1.8139542,1.8184404
0.494,-76.52831,0.75554466,-0.022020089,8.41,1.879895,1.8222681,1.8131552,1.817706
0.496,-77.32255,0.75766444,-0.022106908,8.41,1.8794817,1.8216022,1.8123616,1.8169764
0.498,-78.11991,0.75982755,-0.022194251,8.41,1.8790704,1.8209407,1.8115737,1.816252
0.5,-78.92043,0.76203406,-0.022282131,8.41,1.8786613,1.8202838,1.8107919,1.8155327
0.502,-79.72412,0.764284,-0.022370556,8.41,1.8782545,1.8196317,1.8100162,1.814819
0.504,-80.531,0.7665775,-0.022459539,8.41,1.8778502,1.8189846,1.8092469,1.814111
0.506,-81.34109,0.7689144,-0.02254909,8.41,1.8774483,1.8183427,1.8084844,1.8134089
0.508,-82.154396,0.77129483,-0.022639219,8.41,1.8770492,1.8177062,1.8077289,1.812713
0.51,-82.970955,0.77371866,-0.022729913,8.41,1.8766528,1.8170754,1.8069807,1.8120238
0.512,-83.79077,0.7761859,-0.022821205,8.41,1.8762594,1.8164505,1.8062401,1.8113412
0.514,-84.613884,0.7786966,-0.022913106,8.41,1.875869,1.8158317,1.8055072,1.8106655
0.516,-85.44032,0.78125066,-0.023005625,8.41,1.8754818,1.8152193,1.8047825,1.8099971
0.518,-86.27009,0.783848,-0.023098776,8.41,1.875098,1.8146133,1.8040662,1.8093361
0.52,-87.10322,0.78648853,-0.023192568,8.41,1.8747176,1.8140142,1.8033586,1.8086828
0.522,-87.939735,0.7891723,-0.023287011,8.41,1.8743407,1.8134221,1.8026597,1.8080375
0.524,-88.779655,0.791899,-0.023382118,8.41,1.8739675,1.8128372,1.8019704,1.8074006
0.526,-89.623,0.7946687,-0.023477899,8.41,1.8735982,1.8122599,1.8012904,1.8067721
0.528,-90.46982,0.7974811,-0.023574367,8.41,1.873233,1.8116903,1.8006203,1.8061525
0.53,-91.320114,0.8003362,-0.02367153,8.41,1.8728718,1.8111287,1.7999605,1.8055419
0.532,-92.17392,0.8032337,-0.0237694,8.41,1.8725148,1.8105754,1.799311,1.8049406
0.534,-93.031265,0.8061735,-0.023867989,8.41,1.8721623,1.8100305,1.7986723,1.804349
0.536,-93.89216,0.8091554,-0.023967307,8.41,1.8718145,1.8094943,1.7980447,1.8037672
0.538,-94.75665,0.81217915,-0.024067366,8.41,1.8714713,1.8089671,1.7974284,1.8031956
0.54,-95.62476,0.81524456,-0.024168177,8.41,1.8711329,1.8084493,1.7968239,1.8026345
0.542,-96.49651,0.8183513,-0.02426975,8.41,1.8707995,1.8079408,1.7962313,1.8020842
0.544,-97.37193,0.82149917,-0.024372097,8.41,1.8704714,1.8074423,1.7956511,1.8015449
