Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,eXST1.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
7.366,9.480388502203578,0.3989495577001115,0.4,5.953370138286007e-05,1.8514203772151603,0.9949358914862152,0.9399371080483607,0.9527393027864629,0.9446265500151738
7.368,9.482535977836475,0.39898886690131835,0.4,5.976896606849723e-05,1.851425190925588,0.9949352536475471,0.9399381286168639,0.9527409671194637,0.9446280239969512
7.37,9.48469175721366,0.39902822789693737,0.4,5.9995018636549204e-05,1.8514299527231117,0.9949346226385551,0.9399391552588969,0.952742636805253,0.9446295038731726
7.372,9.486855508505188,0.3990676345466885,0.4,6.021184856437092e-05,1.8514346628045497,0.9949339983730809,0.9399401876968942,0.9527443115036124,0.9446309893140298
7.374,9.489026899528122,0.39910708071976847,0.4,6.04194467637878e-05,1.8514393213740918,0.9949333807646085,0.939941225653488,0.9527459908747207,0.9446324799900484
7.376,9.491205597798137,0.3991465602957623,0.4,6.061780557864132e-05,1.8514439286432258,0.9949327697262782,0.9399422688515502,0.9527476745792041,0.9446339755721354
7.378,9.49339127058102,0.39918606716554417,0.4,6.080691878212246e-05,1.8514484848306627,0.9949321651709029,0.9399433170142347,0.9527493622781876,0.9446354757316299
7.38,9.495583584944084,0.39922559523218015,0.4,6.0986781573895706e-05,1.851452990162262,0.9949315670109834,0.9399443698650208,0.9527510536333472,0.9446369801403534
7.382,9.497782207807456,0.399265138411821,0.4,6.11573905770127e-05,1.851457444870956,0.9949309751587232,0.9399454271277541,0.9527527483069592,0.9446384884706588
7.384,9.499986805995265,0.39930469063459595,0.4,6.131874383461777e-05,1.8514618491966726,0.9949303895260428,0.9399464885266877,0.9527544459619497,0.9446400003954781
7.386,9.502197046286705,0.39934424584549827,0.4,6.147084080644573e-05,1.8514662033862588,0.9949298100245961,0.9399475537865253,0.9527561462619467,0.9446415155883731
7.388,9.504412595466961,0.399383798005268,0.4,6.161368236511402e-05,1.851470507693403,0.9949292365657841,0.9399486226324604,0.9527578488713276,0.9446430337235822
7.39,9.506633120378007,0.3994233410912688,0.4,6.174727079220888e-05,1.8514747623785568,0.9949286690607702,0.9399496947902188,0.9527595534552706,0.9446445544760697
7.392,9.508858287969256,0.399462869098362,0.4,6.187160977416785e-05,1.851478967708855,0.994928107420494,0.9399507699860983,0.9527612596798012,0.9446460775215719
7.394,9.511087765348051,0.3995023760397719,0.4,6.19867043979591e-05,1.8514831239580378,0.9949275515556876,0.939951847947009,0.9527629672118433,0.9446476025366468
7.396,9.513321219830011,0.39954185594795205,0.4,6.209256114655931e-05,1.8514872314063695,0.9949270013768886,0.9399529284005137,0.9527646757192659,0.9446491291987188
7.398,9.515558318989203,0.39958130287544014,0.4,6.21891878942309e-05,1.8514912903405585,0.9949264567944549,0.9399540110748674,0.9527663848709316,0.9446506571861273
7.4,9.51779873070813,0.39962071089570966,0.4,6.227659390159972e-05,1.8514953010536765,0.9949259177185785,0.9399550956990561,0.9527680943367443,0.9446521861781715
7.402,9.520042123227558,0.3996600741040191,0.4,6.235478981053499e-05,1.8514992638450767,0.9949253840593015,0.9399561820028376,0.952769803787696,0.9446537158551582
7.404,9.522288165196146,0.39969938661825155,0.4,6.242378763883274e-05,1.8515031790203118,0.9949248557265276,0.939957269716778,0.9527715128959147,0.9446552458984459
