Time,gENSAL.delta,gENSAL.PELEC,gENSAL.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
5.112,3891.609,0.00063359557,0.13531847,0.15919943,1.3087492e-28,0.012824165,0.0064120824
5.114,3896.482,0.0006333463,0.13540064,0.15916811,2.1980432e-29,0.012824165,0.0064120824
5.116,3901.3577,0.0006330975,0.1354828,0.15913683,2.4758552e-28,0.012824165,0.0064120824
5.118,3906.2366,0.000632849,0.13556495,0.1591056,9.8406835e-30,0.012824165,0.0064120824
5.12,3911.1184,0.00063260086,0.1356471,0.15907441,3.206295e-17,0.012824165,0.0064120824
5.122,3916.003,0.0006323531,0.13572925,0.15904325,5.479212e-29,0.012824165,0.0064120824
5.124,3920.891,0.00063210574,0.13581139,0.15901214,1.7688298e-17,0.012824165,0.0064120824
5.126,3925.7817,0.0006318587,0.13589352,0.15898107,8.945097e-18,0.012824165,0.0064120824
5.128,3930.6753,0.0006316121,0.13597564,0.15895005,3.6857464e-17,0.012824165,0.0064120824
5.13,3935.5718,0.0006313658,0.13605776,0.15891905,7.658295e-29,0.012824165,0.0064120824
5.132,3940.4714,0.00063111994,0.13613988,0.1588881,3.2666655e-29,0.012824165,0.0064120824
5.134,3945.374,0.00063087436,0.13622199,0.15885718,5.8942514e-29,0.012824165,0.0064120824
5.136,3950.2793,0.0006306292,0.1363041,0.15882632,1.3768673e-28,0.012824165,0.0064120824
5.138,3955.1875,0.0006303844,0.1363862,0.15879549,8.1148366e-29,0.012824165,0.0064120824
5.14,3960.099,0.00063013996,0.13646829,0.1587647,5.1915386e-29,0.012824165,0.0064120824
5.142,3965.0134,0.0006298959,0.13655037,0.15873395,7.702942e-29,0.012824165,0.0064120824
5.144,3969.9307,0.00062965223,0.13663246,0.15870324,1.7991241e-28,0.012824165,0.0064120824
5.146,3974.851,0.00062940887,0.13671452,0.15867257,4.295739e-29,0.012824165,0.0064120824
5.148,3979.774,0.0006291659,0.1367966,0.15864193,4.5278245e-17,0.012824165,0.0064120824
5.15,3984.7,0.0006289233,0.13687865,0.15861134,3.2779614e-28,0.012824165,0.0064120824
5.152,3989.6292,0.00062868104,0.13696072,0.1585808,8.316191e-29,0.012824165,0.0064120824
5.154,3994.5613,0.0006284391,0.13704276,0.15855029,3.6944545e-29,0.012824165,0.0064120824
5.156,3999.4966,0.0006281976,0.1371248,0.15851982,2.7645566e-17,0.012824165,0.0064120824
5.158,4004.4343,0.00062795647,0.13720684,0.15848939,6.657194e-18,0.012824165,0.0064120824
5.16,4009.3752,0.00062771566,0.13728887,0.158459,1.2744054e-29,0.012824165,0.0064120824
5.162,4014.3193,0.0006274752,0.1373709,0.15842864,2.7009503e-17,0.012824165,0.0064120824
5.164,4019.2659,0.0006272351,0.13745292,0.15839833,2.2173471e-17,0.012824165,0.0064120824
5.166,4024.2156,0.0006269954,0.13753493,0.15836807,6.850016e-30,0.012824165,0.0064120824
5.168,4029.1687,0.000626756,0.13761695,0.15833783,6.4096784e-29,0.012824165,0.0064120824
5.17,4034.124,0.000626517,0.13769895,0.15830763,7.450378e-29,0.012824165,0.0064120824
5.172,4039.0828,0.00062627834,0.13778095,0.15827748,6.191465e-18,0.012824165,0.0064120824
5.174,4044.0442,0.00062604004,0.13786294,0.15824737,2.8573717e-29,0.012824165,0.0064120824
5.176,4049.0088,0.0006258021,0.13794492,0.15821728,9.914789e-29,0.012824165,0.0064120824
5.178,4053.9763,0.0006255645,0.1380269,0.15818724,8.831104e-18,0.012824165,0.0064120824
