Time,gENROE.delta,gENROE.PELEC,gENROE.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.212,34.403698,0.40000004,-1.0534639e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.214,34.403698,0.40000004,-1.0627675e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.216,34.403698,0.40000004,-1.0720582e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.218,34.403698,0.40000004,-1.0813356e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.22,34.403698,0.40000004,-1.0905999e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.222,34.403698,0.40000004,-1.099851e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.224,34.403698,0.40000004,-1.1090889e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.226,34.403698,0.40000004,-1.1183138e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.228,34.403698,0.40000004,-1.1275254e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.23,34.403698,0.40000004,-1.1367239e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.232,34.403698,0.40000004,-1.1459093e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.234,34.403698,0.40000004,-1.1550815e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.236,34.403698,0.40000004,-1.1642405e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.238,34.403698,0.40000004,-1.1733863e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.24,34.403698,0.40000004,-1.182519e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.242,34.403698,0.40000004,-1.1916386e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.244,34.403698,0.40000004,-1.200745e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.246,34.403698,0.40000004,-1.2098382e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.248,34.403698,0.40000004,-1.2189183e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.25,34.403698,0.40000004,-1.2279852e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.252,34.403698,0.40000004,-1.2370389e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.254,34.403698,0.40000004,-1.2460796e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.256,34.403698,0.40000004,-1.255107e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.258,34.403698,0.40000004,-1.2641213e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.26,34.403698,0.40000004,-1.2731224e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.262,34.403698,0.40000004,-1.2821104e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.264,34.403698,0.40000004,-1.2907918e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.266,34.403698,0.40000004,-1.2994283e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.268,34.403698,0.40000004,-1.3080423e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.27,34.403698,0.40000004,-1.3166336e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.272,34.403698,0.40000004,-1.3252023e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.274,34.403698,0.40000004,-1.3337482e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.276,34.403698,0.40000004,-1.3422715e-09,0.99999994,0.9919935,0.99999994,0.9959841
