Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
8.716,20.166839276142873,0.3986844735955441,0.4,-1.6157022981968535e-06,0.8990700518625113,0.8788203734627635,0.9112614963901947,0.8931321136157201
8.718,20.166786647885797,0.39868316735789716,0.4,-1.308043686850948e-06,0.8990681612486539,0.8788191085697807,0.9112606015784191,0.8931310243813284
8.72,20.166745100069477,0.3986820358622082,0.4,-1.0001290649044429e-06,0.8990662727084624,0.878817851857313,0.9112597170477347,0.8931299450649334
8.722,20.16671464117541,0.39868107879801346,0.4,-6.919992460717693e-07,0.8990643862686327,0.8788166033304211,0.9112588427932369,0.8931288756654706
8.724,20.166695278217222,0.3986802958332172,0.4,-3.836949651883867e-07,0.8990625019556215,0.8788153629931559,0.9112579788087469,0.893127816180647
8.726,20.166687016743566,0.3986796866141894,0.4,-7.5256873177351e-08,0.8990606197956437,0.8788141308485583,0.9112571250868141,0.8931267666069445
8.728,20.16668986084125,0.39867925076586835,0.4,2.3327446796289787e-07,0.8990587398146693,0.8788129068986629,0.911256281618722,0.8931257269396233
8.73,20.166703813138533,0.3986789878918654,0.4,5.418585901459722e-07,0.8990568620384213,0.8788116911444998,0.9112554483944917,0.8931246971727266
8.732,20.16672887480858,0.39867889757457103,0.4,8.504551241572993e-07,0.8990549864923715,0.878810483586097,0.9112546254028869,0.8931236772990834
8.734,20.166765045573126,0.3986789793752644,0.4,1.1590238045921345e-06,0.8990531132017394,0.8788092842224834,0.9112538126314182,0.8931226673103128
8.736,20.166812323706278,0.39867923283422596,0.4,1.4675244747630966e-06,0.899051242191488,0.8788080930516904,0.9112530100663481,0.8931216671968285
8.738,20.166870706038548,0.39867965747084977,0.4,1.7759170915839306e-06,0.8990493734863216,0.8788069100707561,0.911252217692696,0.8931206769478433
8.74,20.166940187961014,0.3986802527837617,0.4,2.0841617304255428e-06,0.8990475071106844,0.8788057352757273,0.9112514354942441,0.8931196965513734
8.742,20.16702076342966,0.3986810182509375,0.4,2.3922185899417564e-06,0.8990456430887557,0.8788045686616635,0.9112506634535416,0.8931187259942428
8.744,20.16711242496993,0.39868195332982437,0.4,2.700047996869088e-06,0.8990437814444492,0.8788034102226389,0.9112499015519111,0.8931177652620891
8.746,20.167215163681387,0.3986830574574638,0.4,3.007610410797263e-06,0.8990419222014101,0.8788022599517465,0.9112491497694535,0.8931168143393671
8.748,20.167328969242615,0.3986843300506183,0.4,3.3148664289077487e-06,0.8990400653830118,0.8788011178411027,0.9112484080850546,0.8931158732093551
8.75,20.167453829916244,0.39868577050589876,0.4,3.621776790686067e-06,0.8990382110123553,0.8787999838818481,0.9112476764763904,0.8931149418541596
8.752,20.167589732554156,0.39868737819989525,0.4,3.928302382599386e-06,0.8990363591122649,0.8787988580641543,0.9112469549199338,0.8931140202547213
8.754,20.167736662602856,0.3986891524893098,0.4,4.234404242745666e-06,0.8990345097052881,0.8787977403772252,0.9112462433909599,0.8931131083908195
8.756,20.167894604109026,0.3986910927110901,0.4,4.540043565471339e-06,0.8990326628136911,0.8787966308093036,0.911245541863554,0.8931122062410796
8.758,20.16806353972522,0.3986931981825676,0.4,4.845181705953886e-06,0.8990308184594592,0.8787955293476727,0.9112448503106162,0.8931113137829771
8.76,20.168243450715746,0.3986954682015965,0.4,5.1497801847558426e-06,0.8990289766642923,0.8787944359786625,0.9112441687038696,0.8931104309928453
8.762,20.168434316962696,0.39869790204669436,0.4,5.453800692341611e-06,0.899027137449604,0.8787933506876523,0.9112434970138662,0.8931095578458796
8.764,20.16863611697214,0.398700498977186,0.4,5.757205093563309e-06,0.8990253008365209,0.8787922734590772,0.9112428352099949,0.8931086943161461
8.766,20.1688488278805,0.39870325823334857,0.4,6.059955432112284e-06,0.8990234668458779,0.8787912042764311,0.9112421832604873,0.8931078403765863
8.768,20.16907242546104,0.39870617903656,0.4,6.362013934933979e-06,0.8990216354982187,0.8787901431222719,0.9112415411324261,0.8931069959990238
8.77,20.16930688413057,0.39870926058944756,0.4,6.663343016609562e-06,0.899019806813793,0.8787890899782272,0.9112409087917518,0.8931061611541719
8.772,20.169552176956266,0.3987125020760392,0.4,6.963905283702319e-06,0.8990179808125546,0.8787880448249974,0.9112402862032704,0.893105335811639
8.774,20.169808275662657,0.3987159026619187,0.4,7.263663539065273e-06,0.8990161575141606,0.8787870076423632,0.9112396733306611,0.893104519939938
8.776,20.170075150638777,0.3987194614943794,0.4,7.5625807861162085e-06,0.8990143369379687,0.8787859784091884,0.9112390701364844,0.8931037135064909
8.778,20.17035277094545,0.39872317770258314,0.4,7.860620233071807e-06,0.8990125191030359,0.8787849571034271,0.9112384765821891,0.8931029164776367
8.78,20.17064110432275,0.39872705039771844,0.4,8.157745297146955e-06,0.8990107040281173,0.8787839437021276,0.9112378926281215,0.8931021288186399
8.782,20.1709401171976,0.39873107867316254,0.4,8.453919608716293e-06,0.8990088917316652,0.8787829381814402,0.9112373182335326,0.8931013504936972
8.784,20.1712497746915,0.3987352616046444,0.4,8.749107015435044e-06,0.8990070822318256,0.8787819405166194,0.9112367533565875,0.8931005814659443
8.786,20.171570040628453,0.3987395982504097,0.4,9.043271586323424e-06,0.8990052755464388,0.8787809506820332,0.9112361979543724,0.8930998216974653
8.788,20.17190087754299,0.3987440876513872,0.4,9.33637761581211e-06,0.899003471693038,0.8787799686511667,0.9112356519829042,0.8930990711492993
8.79,20.17224224668835,0.39874872883135803,0.4,9.62838962774531e-06,0.8990016706888461,0.8787789943966288,0.911235115397139,0.8930983297814488
8.792,20.172594108044827,0.39875352079712545,0.4,9.919272379348053e-06,0.8989998725507768,0.8787780278901586,0.9112345881509809,0.893097597552888
8.794,20.172956420328234,0.3987584625386872,0.4,1.020899086514882e-05,0.8989980772954327,0.8787770691026308,0.9112340701972905,0.893096874421571
8.796,20.173329140998515,0.39876355302940925,0.4,1.0497510320864413e-05,0.8989962849391028,0.8787761180040624,0.9112335614878943,0.8930961603444395
8.798,20.1737122262685,0.39876879122620096,0.4,1.0784796227243393e-05,0.8989944954977634,0.87877517456362,0.9112330619735939,0.8930954552774325
8.8,20.174105631112788,0.39877417606969284,0.4,1.1070814313865737e-05,0.8989927089870765,0.878774238749624,0.9112325716041754,0.8930947591754932
8.802,20.17450930927679,0.39877970648441446,0.4,1.1355530562902906e-05,0.8989909254223876,0.8787733105295578,0.9112320903284176,0.8930940719925794
8.804,20.174923213285872,0.3987853813789758,0.4,1.1638911212835583e-05,0.8989891448187268,0.8787723898700727,0.9112316180941034,0.8930933936816711
8.806,20.17534729445465,0.39879119964624765,0.4,1.1920922762126253e-05,0.8989873671908065,0.8787714767369953,0.9112311548480279,0.89309272419478
8.808,20.175781502896417,0.3987971601635472,0.4,1.2201531972852376e-05,0.898985592553021,0.8787705710953345,0.9112307005360084,0.8930920634829581
8.81,20.17622578753271,0.39880326179282016,0.4,1.2480705874292808e-05,0.8989838209194458,0.8787696729092881,0.9112302551028949,0.8930914114963077
