Time,gENROE.delta,gENROE.PELEC,gENROE.SPEED,pSS2B.VOTHSG,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.194,34.403698,0.40000004,-9.319203e-10,-2.2819613e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.196,34.403698,0.40000004,-9.406178e-10,-2.2773323e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.198,34.403698,0.40000004,-9.493152e-10,-2.2727034e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.2,34.403698,0.40000004,-9.580127e-10,-2.2680744e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.202,34.403698,0.40000004,-9.667102e-10,-2.2634454e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.204,34.403698,0.40000004,-9.754075e-10,-2.2588164e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.206,34.403698,0.40000004,-9.84105e-10,-2.2541874e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.208,34.403698,0.40000004,-9.928025e-10,-2.2495584e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.21,34.403698,0.40000004,-1.0014999e-09,-2.2449294e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.212,34.403698,0.40000004,-1.0101974e-09,-2.2403006e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.214,34.403698,0.40000004,-1.0188949e-09,-2.2356716e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.216,34.403698,0.40000004,-1.0275923e-09,-2.2310426e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.218,34.403698,0.40000004,-1.0362897e-09,-2.2264135e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.22,34.403698,0.40000004,-1.0449872e-09,-2.2217845e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.222,34.403698,0.40000004,-1.0536847e-09,-2.2171555e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.224,34.403698,0.40000004,-1.0623821e-09,-2.2125265e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.226,34.403698,0.40000004,-1.0710796e-09,-2.2078975e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.228,34.403698,0.40000004,-1.079777e-09,-2.2032687e-08,0.99999994,0.9919935,0.99999994,0.9959841
