Time,gENROE.delta,gENROE.PELEC,gENROE.SPEED,pSS2A.VOTHSG,GEN1.V,LOAD.V,GEN2.V,FAULT.V
2.192,0.8480283,0.0024859854,0.008357431,0.1,0.3153441,2.604903e-32,0.012824165,0.0064120824
2.194,0.8533083,0.0024738065,0.00844953,0.1,0.31457072,3.089315e-21,0.012824165,0.0064120824
2.196,0.8586463,0.0024619768,0.008541624,0.1,0.31381768,2.4311688e-33,0.012824165,0.0064120824
2.198,0.86404204,0.002450409,0.008633712,0.1,0.31307957,1.7506527e-32,0.012824165,0.0064120824
2.2,0.8694957,0.002439108,0.008725794,0.1,0.31235677,5.155811e-21,0.012824165,0.0064120824
2.202,0.87500715,0.002428099,0.00881787,0.1,0.31165108,2.270532e-32,0.012824165,0.0064120824
2.204,0.8805765,0.0024173802,0.008909941,0.1,0.3109624,2.779595e-32,0.012824165,0.0064120824
2.206,0.8862037,0.002406913,0.009002006,0.1,0.31028846,4.1484844e-21,0.012824165,0.0064120824
2.208,0.89188874,0.0023966748,0.009094064,0.1,0.30962783,1.8165261e-32,0.012824165,0.0064120824
2.21,0.8976316,0.0023866717,0.009186117,0.1,0.308981,4.9427635e-20,0.012824165,0.0064120824
2.212,0.9034323,0.0023768935,0.009278163,0.1,0.3083474,2.1245634e-32,0.012824165,0.0064120824
2.214,0.90929085,0.00236733,0.009370203,0.1,0.30772644,1.861143e-20,0.012824165,0.0064120824
2.216,0.9152072,0.0023579712,0.009462237,0.1,0.30711758,1.5506181e-32,0.012824165,0.0064120824
2.218,0.92118144,0.002348807,0.009554265,0.1,0.3065202,1.03558966e-32,0.012824165,0.0064120824
2.22,0.92721343,0.0023398278,0.009646287,0.1,0.30593374,4.2399186e-21,0.012824165,0.0064120824
2.222,0.9333033,0.0023310266,0.009738303,0.1,0.3053578,1.8688557e-32,0.012824165,0.0064120824
2.224,0.9394509,0.0023223965,0.009830312,0.1,0.30479202,5.7608587e-33,0.012824165,0.0064120824
2.226,0.9456564,0.0023139254,0.009922314,0.1,0.30423564,6.196639e-33,0.012824165,0.0064120824
2.228,0.9519197,0.0023056043,0.0100143105,0.1,0.3036881,6.7271437e-21,0.012824165,0.0064120824
2.23,0.95824075,0.002297424,0.0101063,0.1,0.3031489,6.6803564e-33,0.012824165,0.0064120824
2.232,0.96461964,0.002289376,0.010198283,0.1,0.30261746,2.205767e-33,0.012824165,0.0064120824
2.234,0.9710563,0.002281451,0.0102902595,0.1,0.30209324,1.23868875e-20,0.012824165,0.0064120824
2.236,0.97755075,0.0022736406,0.010382229,0.1,0.3015757,9.752366e-33,0.012824165,0.0064120824
2.238,0.98410296,0.00226595,0.010474192,0.1,0.30106524,3.0278445e-22,0.012824165,0.0064120824
2.24,0.990713,0.00225842,0.010566149,0.1,0.30056456,9.294009e-21,0.012824165,0.0064120824
2.242,0.9973808,0.0022510036,0.010658099,0.1,0.30007064,1.2303821e-33,0.012824165,0.0064120824
2.244,1.0041063,0.002243695,0.010750043,0.1,0.29958314,9.2989165e-21,0.012824165,0.0064120824
2.246,1.0108896,0.0022364887,0.01084198,0.1,0.29910165,1.9865686e-32,0.012824165,0.0064120824
2.248,1.0177307,0.0022293788,0.01093391,0.1,0.29862583,2.4059991e-20,0.012824165,0.0064120824
2.25,1.0246296,0.0022223592,0.011025833,0.1,0.2981553,2.926132e-20,0.012824165,0.0064120824
2.252,1.0315862,0.0022154243,0.01111775,0.1,0.29768974,2.3465505e-20,0.012824165,0.0064120824
2.254,1.0386006,0.0022085686,0.011209659,0.1,0.29722878,1.3907982e-32,0.012824165,0.0064120824
2.256,1.0456727,0.0022017865,0.011301562,0.1,0.29677206,2.0230202e-32,0.012824165,0.0064120824
2.258,1.0528026,0.0021950724,0.011393458,0.1,0.29631922,2.5479063e-32,0.012824165,0.0064120824
2.26,1.0599902,0.0021884658,0.011485347,0.1,0.295873,1.1401305e-20,0.012824165,0.0064120824
2.262,1.0672355,0.0021819454,0.011577229,0.1,0.29543188,1.2034801e-32,0.012824165,0.0064120824
2.264,1.0745385,0.0021754948,0.011669105,0.1,0.29499486,1.840503e-32,0.012824165,0.0064120824
2.266,1.0818993,0.00216911,0.011760973,0.1,0.29456165,2.9309015e-32,0.012824165,0.0064120824
2.268,1.0893178,0.0021627876,0.011852835,0.1,0.29413205,1.9533541e-32,0.012824165,0.0064120824
2.27,1.096794,0.0021565235,0.01194469,0.1,0.2937058,8.187754e-33,0.012824165,0.0064120824
2.272,1.1043279,0.002150314,0.012036538,0.1,0.29328263,9.5784415e-33,0.012824165,0.0064120824
2.274,1.1119195,0.002144155,0.012128378,0.1,0.29286233,1.1213761e-32,0.012824165,0.0064120824
2.276,1.1195688,0.0021380435,0.012220212,0.1,0.29244465,1.5259498e-32,0.012824165,0.0064120824
2.278,1.1272758,0.002131975,0.012312039,0.1,0.29202935,2.9919418e-21,0.012824165,0.0064120824
2.28,1.1350406,0.0021259626,0.012403859,0.1,0.29161727,3.92921e-21,0.012824165,0.0064120824
2.282,1.142863,0.0021200338,0.012495672,0.1,0.29121035,2.800609e-32,0.012824165,0.0064120824
2.284,1.1507431,0.002114154,0.012587478,0.1,0.29080623,1.1342756e-32,0.012824165,0.0064120824
2.286,1.1586809,0.0021083204,0.012679277,0.1,0.29040474,8.5277474e-21,0.012824165,0.0064120824
2.288,1.1666764,0.0021025308,0.012771069,0.1,0.29000574,6.7037304e-33,0.012824165,0.0064120824
2.29,1.1747295,0.0020967834,0.012862854,0.1,0.2896091,2.3637277e-20,0.012824165,0.0064120824
2.292,1.1828402,0.0020910758,0.012954632,0.1,0.28921467,1.1540655e-20,0.012824165,0.0064120824
2.294,1.1910088,0.0020854054,0.0130464025,0.1,0.28882226,7.70208e-33,0.012824165,0.0064120824
2.296,1.1992348,0.0020797704,0.013138167,0.1,0.2884318,1.2591762e-32,0.012824165,0.0064120824
2.298,1.2075187,0.0020741685,0.013229923,0.1,0.28804308,3.020847e-32,0.012824165,0.0064120824
2.3,1.2158601,0.0020685976,0.013321673,0.1,0.287656,1.3916042e-33,0.012824165,0.0064120824
2.302,1.2242591,0.0020630856,0.013413415,0.1,0.28727248,5.5926154e-21,0.012824165,0.0064120824
2.304,1.2327158,0.0020576145,0.013505151,0.1,0.28689134,1.4735104e-32,0.012824165,0.0064120824
2.306,1.2412302,0.0020521786,0.013596879,0.1,0.2865121,1.1962203e-20,0.012824165,0.0064120824
2.308,1.2498022,0.0020467762,0.013688601,0.1,0.28613475,2.822048e-32,0.012824165,0.0064120824
2.31,1.2584318,0.0020414065,0.0137803145,0.1,0.28575915,1.8193094e-32,0.012824165,0.0064120824
2.312,1.267119,0.0020360677,0.013872022,0.1,0.28538525,3.2826435e-32,0.012824165,0.0064120824
2.314,1.2758639,0.0020307587,0.013963722,0.1,0.28501296,2.237105e-32,0.012824165,0.0064120824
2.316,1.2846664,0.0020254783,0.014055415,0.1,0.28464216,4.775682e-33,0.012824165,0.0064120824
2.318,1.2935264,0.0020202254,0.014147101,0.1,0.28427282,7.939273e-34,0.012824165,0.0064120824
2.32,1.3024441,0.0020149983,0.014238779,0.1,0.28390482,8.870265e-33,0.012824165,0.0064120824
2.322,1.3114195,0.0020098025,0.014330451,0.1,0.28353855,4.4336517e-21,0.012824165,0.0064120824
2.324,1.3204523,0.0020046444,0.014422116,0.1,0.28317446,1.029493e-32,0.012824165,0.0064120824
2.326,1.3295428,0.0019995135,0.014513773,0.1,0.28281185,2.5130947e-32,0.012824165,0.0064120824
2.328,1.3386909,0.0019944096,0.014605423,0.1,0.28245065,4.5492844e-33,0.012824165,0.0064120824
2.33,1.3478965,0.0019893313,0.0146970665,0.1,0.28209084,4.3395428e-32,0.012824165,0.0064120824
2.332,1.3571597,0.0019842784,0.014788702,0.1,0.28173235,4.4055568e-32,0.012824165,0.0064120824
2.334,1.3664806,0.0019792495,0.014880331,0.1,0.28137514,2.8529543e-20,0.012824165,0.0064120824
2.336,1.3758589,0.0019742444,0.014971953,0.1,0.28101912,2.8372264e-32,0.012824165,0.0064120824
2.338,1.3852948,0.001969262,0.015063567,0.1,0.2806643,3.8859863e-21,0.012824165,0.0064120824
2.34,1.3947884,0.0019643016,0.015155175,0.1,0.2803106,6.24896e-33,0.012824165,0.0064120824
2.342,1.4043394,0.0019593623,0.015246775,0.1,0.27995795,1.6790118e-32,0.012824165,0.0064120824
2.344,1.413948,0.0019544498,0.015338368,0.1,0.27960676,1.10493986e-32,0.012824165,0.0064120824
2.346,1.4236141,0.0019495597,0.015429954,0.1,0.27925676,6.4879346e-33,0.012824165,0.0064120824
2.348,1.4333378,0.0019446913,0.015521533,0.1,0.27890787,6.72658e-32,0.012824165,0.0064120824
2.35,1.443119,0.001939844,0.015613104,0.1,0.27856004,2.3093005e-32,0.012824165,0.0064120824
2.352,1.4529579,0.0019350176,0.015704669,0.1,0.2782133,4.2516147e-33,0.012824165,0.0064120824
2.354,1.4628541,0.0019302117,0.015796226,0.1,0.2778676,2.5879687e-32,0.012824165,0.0064120824
2.356,1.472808,0.0019254258,0.015887776,0.1,0.2775229,1.2331723e-32,0.012824165,0.0064120824
2.358,1.4828193,0.0019206599,0.015979318,0.1,0.2771792,6.0466895e-32,0.012824165,0.0064120824
2.36,1.4928882,0.0019159135,0.016070854,0.1,0.2768365,3.1494856e-32,0.012824165,0.0064120824
2.362,1.5030146,0.0019111865,0.016162382,0.1,0.2764948,3.9491567e-33,0.012824165,0.0064120824
2.364,1.5131984,0.0019064781,0.016253904,0.1,0.27615398,8.7399225e-33,0.012824165,0.0064120824
2.366,1.5234398,0.0019017878,0.016345419,0.1,0.2758141,3.4810473e-32,0.012824165,0.0064120824
2.368,1.5337387,0.0018971158,0.016436925,0.1,0.27547508,4.1186626e-33,0.012824165,0.0064120824
2.37,1.544095,0.0018924619,0.016528426,0.1,0.275137,5.0614154e-32,0.012824165,0.0064120824
2.372,1.5545089,0.0018878259,0.016619917,0.1,0.2747998,4.0716456e-32,0.012824165,0.0064120824
2.374,1.5649803,0.0018832076,0.016711403,0.1,0.27446344,2.317165e-32,0.012824165,0.0064120824
2.376,1.5755091,0.0018786069,0.01680288,0.1,0.274128,4.2172262e-32,0.012824165,0.0064120824
2.378,1.5860953,0.0018740233,0.016894352,0.1,0.27379337,3.4509302e-32,0.012824165,0.0064120824
2.38,1.5967392,0.0018694572,0.016985817,0.1,0.2734596,2.1292981e-32,0.012824165,0.0064120824
2.382,1.6074404,0.0018649081,0.017077273,0.1,0.2731267,5.538296e-33,0.012824165,0.0064120824
