Time(s) " generator.delta" " generator.PELEC" " eSAC2A.EFD" " generator.PMECH" " generator.SPEED" " GEN1.V" " LOAD.V" " GEN2.V" " FAULT.V"
0.13 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.135 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.14 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.145 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.15 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.155 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.16 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.165 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.17 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.175 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.18 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.185 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.19 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.195 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.2 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.205 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.21 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.215 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.22 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.225 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.23 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.235 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.24 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.245 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.25 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.255 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.26 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.265 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.27 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.275 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.28 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.285 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.29 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.295 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.3 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.305 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.31 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.315 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.32 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.325 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.33 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.335 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.34 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.345 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.35 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.355 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.36 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.365 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.37 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.375 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.38 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.385 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.39 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.395 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.4 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.405 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.41 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.415 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.42 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.425 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.43 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.435 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.44 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.445 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.45 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.455 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.46 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.465 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.47 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.475 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.48 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.485 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.49 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.495 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.5 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.505 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.51 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.515 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.52 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.525 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.53 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.535 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.54 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.545 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.55 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.555 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.56 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.565 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.57 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.575 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.58 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.585 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.59 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.595 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.6 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.605 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.61 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.615 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.62 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.625 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.63 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.635 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.64 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.645 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.65 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.655 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.66 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.665 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.67 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.675 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.68 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.685 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.69 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.695 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.7 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.705 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.71 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.714999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.719999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.724999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.729999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.734999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.739999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.744999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.749999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.754999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.759999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.764999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.769999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.774999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.779999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.784999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.789999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.794999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.799999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.804999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.809999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.814999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.819999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.824999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.829999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.834999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.839999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.844999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.849999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.854999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.859999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.864999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.869999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.874999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.879999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.884999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.889999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.894999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.899999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.904999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.909999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.914999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.919999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.924999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.929999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.934999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.939999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.944999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.949999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.954999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.959999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.964999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.969999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.974999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.979999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.984999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.989999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.994999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
0.999999 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
1.005 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
1.01 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
1.015 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
1.02 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
1.025 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
1.03 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
1.035 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
1.04 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
1.045 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
1.05 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
1.055 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
1.06 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
1.065 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
1.07 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
1.075 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
1.08 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
1.085 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
1.09 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
1.095 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
1.1 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
1.105 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
1.11 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
1.115 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
1.12 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
1.125 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
1.13 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
1.135 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
1.14 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
1.145 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
1.15 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
1.155 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
1.16 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
1.165 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
1.17 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
1.175 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
1.18 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
1.185 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
1.19 " 34.3342" " 0.4" " 1.43511" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
