Time(s) " gENSAL.delta" " gENSAL.PELEC" " gENSAL.PMECH" " gENSAL.SPEED" " GEN1.V" " LOAD.V" " GEN2.V" " FAULT.V"
0.35 " 36.6408" " 0.4" " 0.4" " 5.04829e-09" " 1" " 0.991994" " 1" " 0.995984"
0.355 " 36.6408" " 0.4" " 0.4" " 5.11792e-09" " 1" " 0.991994" " 1" " 0.995984"
0.36 " 36.6408" " 0.4" " 0.4" " 5.18755e-09" " 1" " 0.991994" " 1" " 0.995984"
0.365 " 36.6408" " 0.4" " 0.4" " 5.25718e-09" " 1" " 0.991994" " 1" " 0.995984"
0.37 " 36.6408" " 0.4" " 0.4" " 5.32681e-09" " 1" " 0.991994" " 1" " 0.995984"
0.375 " 36.6408" " 0.4" " 0.4" " 5.39645e-09" " 1" " 0.991994" " 1" " 0.995984"
0.38 " 36.6408" " 0.4" " 0.4" " 5.46608e-09" " 1" " 0.991994" " 1" " 0.995984"
0.385 " 36.6408" " 0.4" " 0.4" " 5.53571e-09" " 1" " 0.991994" " 1" " 0.995984"
0.39 " 36.6408" " 0.4" " 0.4" " 5.60534e-09" " 1" " 0.991994" " 1" " 0.995984"
0.395 " 36.6408" " 0.4" " 0.4" " 5.67497e-09" " 1" " 0.991994" " 1" " 0.995984"
0.4 " 36.6408" " 0.4" " 0.4" " 5.7446e-09" " 1" " 0.991994" " 1" " 0.995984"
0.405 " 36.6408" " 0.4" " 0.4" " 5.81423e-09" " 1" " 0.991994" " 1" " 0.995984"
0.41 " 36.6408" " 0.4" " 0.4" " 5.88387e-09" " 1" " 0.991994" " 1" " 0.995984"
0.415 " 36.6408" " 0.4" " 0.4" " 5.9535e-09" " 1" " 0.991994" " 1" " 0.995984"
0.42 " 36.6408" " 0.4" " 0.4" " 6.02313e-09" " 1" " 0.991994" " 1" " 0.995984"
0.425 " 36.6408" " 0.4" " 0.4" " 6.09276e-09" " 1" " 0.991994" " 1" " 0.995984"
0.43 " 36.6408" " 0.4" " 0.4" " 6.16239e-09" " 1" " 0.991994" " 1" " 0.995984"
0.435 " 36.6408" " 0.4" " 0.4" " 6.23202e-09" " 1" " 0.991994" " 1" " 0.995984"
0.44 " 36.6408" " 0.4" " 0.4" " 6.30165e-09" " 1" " 0.991994" " 1" " 0.995984"
0.445 " 36.6408" " 0.4" " 0.4" " 6.37129e-09" " 1" " 0.991994" " 1" " 0.995984"
0.45 " 36.6408" " 0.4" " 0.4" " 6.44092e-09" " 1" " 0.991994" " 1" " 0.995984"
0.455 " 36.6408" " 0.4" " 0.4" " 6.51055e-09" " 1" " 0.991994" " 1" " 0.995984"
0.46 " 36.6408" " 0.4" " 0.4" " 6.58018e-09" " 1" " 0.991994" " 1" " 0.995984"
0.465 " 36.6408" " 0.4" " 0.4" " 6.64981e-09" " 1" " 0.991994" " 1" " 0.995984"
0.47 " 36.6408" " 0.4" " 0.4" " 6.71944e-09" " 1" " 0.991994" " 1" " 0.995984"
0.475 " 36.6408" " 0.4" " 0.4" " 6.78907e-09" " 1" " 0.991994" " 1" " 0.995984"
0.48 " 36.6408" " 0.4" " 0.4" " 6.85871e-09" " 1" " 0.991994" " 1" " 0.995984"
0.485 " 36.6408" " 0.4" " 0.4" " 6.92834e-09" " 1" " 0.991994" " 1" " 0.995984"
0.49 " 36.6408" " 0.4" " 0.4" " 6.99797e-09" " 1" " 0.991994" " 1" " 0.995984"
0.495 " 36.6408" " 0.4" " 0.4" " 7.0676e-09" " 1" " 0.991994" " 1" " 0.995984"
0.5 " 36.6408" " 0.4" " 0.4" " 7.13723e-09" " 1" " 0.991994" " 1" " 0.995984"
0.505 " 36.6408" " 0.4" " 0.4" " 7.20686e-09" " 1" " 0.991994" " 1" " 0.995984"
0.51 " 36.6408" " 0.4" " 0.4" " 7.27649e-09" " 1" " 0.991994" " 1" " 0.995984"
0.515 " 36.6408" " 0.4" " 0.4" " 7.34613e-09" " 1" " 0.991994" " 1" " 0.995984"
0.52 " 36.6408" " 0.4" " 0.4" " 7.41576e-09" " 1" " 0.991994" " 1" " 0.995984"
0.525 " 36.6408" " 0.4" " 0.4" " 7.48539e-09" " 1" " 0.991994" " 1" " 0.995984"
0.53 " 36.6408" " 0.4" " 0.4" " 7.55502e-09" " 1" " 0.991994" " 1" " 0.995984"
0.535 " 36.6408" " 0.4" " 0.4" " 7.62465e-09" " 1" " 0.991994" " 1" " 0.995984"
0.54 " 36.6408" " 0.4" " 0.4" " 7.69428e-09" " 1" " 0.991994" " 1" " 0.995984"
0.545 " 36.6408" " 0.4" " 0.4" " 7.76391e-09" " 1" " 0.991994" " 1" " 0.995984"
0.55 " 36.6408" " 0.4" " 0.4" " 7.83355e-09" " 1" " 0.991994" " 1" " 0.995984"
0.555 " 36.6408" " 0.4" " 0.4" " 7.90318e-09" " 1" " 0.991994" " 1" " 0.995984"
0.56 " 36.6408" " 0.4" " 0.4" " 7.97281e-09" " 1" " 0.991994" " 1" " 0.995984"
0.565 " 36.6408" " 0.4" " 0.4" " 8.04244e-09" " 1" " 0.991994" " 1" " 0.995984"
