Time(s) " gENROE.delta" " gENROE.PELEC" " gENROE.PMECH" " gENROE.SPEED" " GEN1.V" " LOAD.V" " GEN2.V" " FAULT.V"
0.555 " 34.4037" " 0.4" " 0.4" " 1.97579e-09" " 1" " 0.991993" " 1" " 0.995984"
0.56 " 34.4037" " 0.4" " 0.4" " 1.9932e-09" " 1" " 0.991993" " 1" " 0.995984"
0.565 " 34.4037" " 0.4" " 0.4" " 2.01061e-09" " 1" " 0.991993" " 1" " 0.995984"
0.57 " 34.4037" " 0.4" " 0.4" " 2.02802e-09" " 1" " 0.991993" " 1" " 0.995984"
0.575 " 34.4037" " 0.4" " 0.4" " 2.04543e-09" " 1" " 0.991993" " 1" " 0.995984"
0.58 " 34.4037" " 0.4" " 0.4" " 2.06283e-09" " 1" " 0.991993" " 1" " 0.995984"
0.585 " 34.4037" " 0.4" " 0.4" " 2.08024e-09" " 1" " 0.991993" " 1" " 0.995984"
0.59 " 34.4037" " 0.4" " 0.4" " 2.09765e-09" " 1" " 0.991993" " 1" " 0.995984"
0.595 " 34.4037" " 0.4" " 0.4" " 2.11506e-09" " 1" " 0.991993" " 1" " 0.995984"
0.6 " 34.4037" " 0.4" " 0.4" " 2.13246e-09" " 1" " 0.991993" " 1" " 0.995984"
0.605 " 34.4037" " 0.4" " 0.4" " 2.14987e-09" " 1" " 0.991993" " 1" " 0.995984"
0.61 " 34.4037" " 0.4" " 0.4" " 2.16728e-09" " 1" " 0.991993" " 1" " 0.995984"
0.615 " 34.4037" " 0.4" " 0.4" " 2.18469e-09" " 1" " 0.991993" " 1" " 0.995984"
0.62 " 34.4037" " 0.4" " 0.4" " 2.2021e-09" " 1" " 0.991993" " 1" " 0.995984"
0.625 " 34.4037" " 0.4" " 0.4" " 2.2195e-09" " 1" " 0.991993" " 1" " 0.995984"
0.63 " 34.4037" " 0.4" " 0.4" " 2.23691e-09" " 1" " 0.991993" " 1" " 0.995984"
0.635 " 34.4037" " 0.4" " 0.4" " 2.25432e-09" " 1" " 0.991993" " 1" " 0.995984"
0.64 " 34.4037" " 0.4" " 0.4" " 2.27173e-09" " 1" " 0.991993" " 1" " 0.995984"
0.645 " 34.4037" " 0.4" " 0.4" " 2.28914e-09" " 1" " 0.991993" " 1" " 0.995984"
0.65 " 34.4037" " 0.4" " 0.4" " 2.30654e-09" " 1" " 0.991993" " 1" " 0.995984"
0.655 " 34.4037" " 0.4" " 0.4" " 2.32395e-09" " 1" " 0.991993" " 1" " 0.995984"
0.66 " 34.4037" " 0.4" " 0.4" " 2.34136e-09" " 1" " 0.991993" " 1" " 0.995984"
0.665 " 34.4037" " 0.4" " 0.4" " 2.35877e-09" " 1" " 0.991993" " 1" " 0.995984"
0.67 " 34.4037" " 0.4" " 0.4" " 2.37617e-09" " 1" " 0.991993" " 1" " 0.995984"
0.675 " 34.4037" " 0.4" " 0.4" " 2.39358e-09" " 1" " 0.991993" " 1" " 0.995984"
0.68 " 34.4037" " 0.4" " 0.4" " 2.41099e-09" " 1" " 0.991993" " 1" " 0.995984"
0.685 " 34.4037" " 0.4" " 0.4" " 2.4284e-09" " 1" " 0.991993" " 1" " 0.995984"
0.69 " 34.4037" " 0.4" " 0.4" " 2.44581e-09" " 1" " 0.991993" " 1" " 0.995984"
0.695 " 34.4037" " 0.4" " 0.4" " 2.46321e-09" " 1" " 0.991993" " 1" " 0.995984"
0.7 " 34.4037" " 0.4" " 0.4" " 2.48062e-09" " 1" " 0.991993" " 1" " 0.995984"
0.705 " 34.4037" " 0.4" " 0.4" " 2.49803e-09" " 1" " 0.991993" " 1" " 0.995984"
0.71 " 34.4037" " 0.4" " 0.4" " 2.51544e-09" " 1" " 0.991993" " 1" " 0.995984"
0.714999 " 34.4037" " 0.4" " 0.4" " 2.53285e-09" " 1" " 0.991993" " 1" " 0.995984"
0.719999 " 34.4037" " 0.4" " 0.4" " 2.55025e-09" " 1" " 0.991993" " 1" " 0.995984"
0.724999 " 34.4037" " 0.4" " 0.4" " 2.56766e-09" " 1" " 0.991993" " 1" " 0.995984"
0.729999 " 34.4037" " 0.4" " 0.4" " 2.58507e-09" " 1" " 0.991993" " 1" " 0.995984"
0.734999 " 34.4037" " 0.4" " 0.4" " 2.60248e-09" " 1" " 0.991993" " 1" " 0.995984"
0.739999 " 34.4037" " 0.4" " 0.4" " 2.61988e-09" " 1" " 0.991993" " 1" " 0.995984"
0.744999 " 34.4037" " 0.4" " 0.4" " 2.63729e-09" " 1" " 0.991993" " 1" " 0.995984"
0.749999 " 34.4037" " 0.4" " 0.4" " 2.6547e-09" " 1" " 0.991993" " 1" " 0.995984"
0.754999 " 34.4037" " 0.4" " 0.4" " 2.67211e-09" " 1" " 0.991993" " 1" " 0.995984"
0.759999 " 34.4037" " 0.4" " 0.4" " 2.68952e-09" " 1" " 0.991993" " 1" " 0.995984"
0.764999 " 34.4037" " 0.4" " 0.4" " 2.70692e-09" " 1" " 0.991993" " 1" " 0.995984"
