Time,gENSAE.delta,gENSAE.PELEC,gENSAE.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.26,0.63950247,0.40000004,-1.1955131e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.262,0.63950247,0.40000004,-1.2039143e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.264,0.63950247,0.40000004,-1.212015e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.266,0.63950247,0.40000004,-1.2200718e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.268,0.63950247,0.40000004,-1.2281063e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.27,0.63950247,0.40000004,-1.2361185e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.272,0.63950247,0.40000004,-1.2441084e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.274,0.63950247,0.40000004,-1.252076e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.276,0.63950247,0.40000004,-1.2600212e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.278,0.63950247,0.40000004,-1.2679442e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.28,0.63950247,0.40000004,-1.2758449e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.282,0.63950247,0.40000004,-1.2837232e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.284,0.63950247,0.40000004,-1.2915792e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.286,0.63950247,0.40000004,-1.2994129e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.288,0.63950247,0.40000004,-1.3072243e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.29,0.63950247,0.40000004,-1.3150134e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.292,0.63950247,0.40000004,-1.3227802e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.294,0.63950247,0.40000004,-1.3305248e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.296,0.63950247,0.40000004,-1.338247e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.298,0.63950247,0.40000004,-1.3459468e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.3,0.63950247,0.40000004,-1.3536243e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.302,0.63950247,0.40000004,-1.3612796e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.304,0.63950247,0.40000004,-1.3689125e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.306,0.63950247,0.40000004,-1.3765232e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.308,0.63950247,0.40000004,-1.3841115e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.31,0.63950247,0.40000004,-1.3916776e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.312,0.63950247,0.40000004,-1.3992213e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.314,0.63950247,0.40000004,-1.4067427e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.316,0.63950247,0.40000004,-1.4142417e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.318,0.63950247,0.40000004,-1.4217185e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.32,0.63950247,0.40000004,-1.429173e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.322,0.63950247,0.40000004,-1.4366052e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.324,0.63950247,0.40000004,-1.4440151e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.326,0.63950247,0.40000004,-1.4514027e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.328,0.63950247,0.40000004,-1.4587679e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.33,0.63950247,0.40000004,-1.4661108e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.332,0.63950247,0.40000004,-1.4734314e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.334,0.63950247,0.40000004,-1.4807298e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.336,0.63950247,0.40000004,-1.4880057e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.338,0.63950247,0.40000004,-1.4952595e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.34,0.63950247,0.40000004,-1.5024908e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.342,0.63950247,0.40000004,-1.5096999e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.344,0.63950247,0.40000004,-1.5168867e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.346,0.63950247,0.40000004,-1.5240512e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.348,0.63950247,0.40000004,-1.5311933e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.35,0.63950247,0.40000004,-1.5383131e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.352,0.63950247,0.40000004,-1.5454107e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.354,0.63950247,0.40000004,-1.5524859e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.356,0.63950247,0.40000004,-1.5595388e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.358,0.63950247,0.40000004,-1.5665695e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.36,0.63950247,0.40000004,-1.5735778e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.362,0.6395024,0.40000004,-1.5805638e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.364,0.6395024,0.40000004,-1.5875274e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.366,0.6395024,0.40000004,-1.5944689e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.368,0.6395024,0.40000004,-1.6013879e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.37,0.6395024,0.40000004,-1.6082847e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.372,0.6395024,0.40000004,-1.6151591e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.374,0.6395024,0.40000004,-1.6220113e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.376,0.6395024,0.40000004,-1.6288412e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.378,0.6395024,0.40000004,-1.6356486e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.38,0.6395024,0.40000004,-1.6424339e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.382,0.6395024,0.40000004,-1.6491968e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.384,0.6395024,0.40000004,-1.6559374e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.386,0.6395024,0.40000004,-1.6626557e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.388,0.6395024,0.40000004,-1.6693517e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.39,0.6395024,0.40000004,-1.6760253e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.392,0.6395024,0.40000004,-1.6826767e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.394,0.6395024,0.40000004,-1.6893058e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.396,0.6395024,0.40000004,-1.6959125e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.398,0.6395024,0.40000004,-1.7024969e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.4,0.6395024,0.40000004,-1.7090591e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.402,0.6395024,0.40000004,-1.7155989e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.404,0.6395024,0.40000004,-1.7221164e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.406,0.6395024,0.40000004,-1.7286117e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.408,0.6395024,0.40000004,-1.7350845e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.41,0.6395024,0.40000004,-1.7415351e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.412,0.6395024,0.40000004,-1.7479634e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.414,0.6395024,0.40000004,-1.7543694e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.416,0.6395024,0.40000004,-1.7607531e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.418,0.6395024,0.40000004,-1.7671145e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.42,0.6395024,0.40000004,-1.7734535e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.422,0.6395024,0.40000004,-1.7797702e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.424,0.6395024,0.40000004,-1.7860646e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.426,0.6395024,0.40000004,-1.7923367e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.428,0.6395024,0.40000004,-1.7985866e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.43,0.6395024,0.40000004,-1.8048141e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.432,0.6395024,0.40000004,-1.8110192e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.434,0.6395024,0.40000004,-1.8172022e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.436,0.6395024,0.40000004,-1.8233627e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.438,0.6395024,0.40000004,-1.829501e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.44,0.6395024,0.40000004,-1.835617e-09,0.99999994,0.9919935,0.99999994,0.9959841
