Time,gENROU.delta,gENROU.PELEC,gENROU.PMECH,gENROU.SPEED,eSST4B.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.168,34.611546,0.34796005,0.3999995291233063,0.003150334,1.1143355,0.9377863,0.955212,0.9754027,0.9652829
0.17,34.72519,0.35028195,0.3999995291233063,0.0031627389,1.111402,0.93776906,0.95519,0.9753938,0.96526825
0.172,34.839264,0.3525992,0.3999995291233063,0.0031745625,1.1084796,0.93775135,0.95516735,0.97538424,0.965253
0.174,34.95376,0.3549116,0.3999995291233063,0.003185806,1.1055683,0.9377331,0.9551441,0.9753742,0.9652372
0.176,35.068645,0.357219,0.3999995291233063,0.0031964711,1.1026682,0.93771446,0.9551202,0.9753636,0.96522075
0.178,35.183903,0.3595212,0.3999995291233063,0.0032065592,1.0997789,0.9376953,0.9550957,0.9753525,0.96520376
0.18,35.299515,0.36181802,0.3999995291233063,0.0032160713,1.0969008,0.9376757,0.9550706,0.9753409,0.9651862
0.182,35.41546,0.36410928,0.3999995291233063,0.0032250087,1.0940336,0.9376557,0.955045,0.97532874,0.965168
0.184,35.531715,0.3663948,0.3999995291233063,0.0032333734,1.0911773,0.9376352,0.9550187,0.97531605,0.9651493
0.186,35.648262,0.3686743,0.3999995291233063,0.0032411667,1.0883322,0.9376142,0.9549918,0.9753029,0.96513
0.188,35.76508,0.3709477,0.3999995291233063,0.0032483898,1.0854977,0.9375928,0.9549644,0.97528917,0.9651101
0.19,35.882145,0.3732147,0.3999995291233063,0.003255045,1.0826743,0.937571,0.95493644,0.975275,0.9650897
0.192,35.999443,0.3754751,0.3999995291233063,0.0032611336,1.0798616,0.9375487,0.9549079,0.9752603,0.96506876
0.194,36.116947,0.3777288,0.3999995291233063,0.003266657,1.0770597,0.937526,0.95487875,0.9752451,0.96504724
0.196,36.234642,0.37997544,0.3999995291233063,0.0032716177,1.0742687,0.93750286,0.95484906,0.9752295,0.96502525
0.198,36.352505,0.3822149,0.3999995291233063,0.003276017,1.0714884,0.9374793,0.9548189,0.97521335,0.96500266
0.2,36.470516,0.38444695,0.3999995291233063,0.0032798569,1.0687188,0.9374553,0.95478815,0.9751967,0.9649796
0.202,36.588654,0.38667136,0.3999995291233063,0.0032831396,1.0659599,0.9374309,0.95475686,0.9751796,0.964956
0.204,36.7069,0.38888794,0.3999995291233063,0.0032858667,1.0632117,0.93740606,0.9547251,0.975162,0.9649319
0.206,36.825233,0.3910964,0.3999995291233063,0.0032880404,1.0604742,0.93738085,0.9546928,0.975144,0.9649073
0.208,36.94364,0.3932966,0.3999995291233063,0.0032896628,1.0577471,0.9373552,0.95465994,0.97512555,0.9648822
0.21,37.06209,0.3954883,0.3999995291233063,0.0032907361,1.0550307,0.9373292,0.9546266,0.9751066,0.96485656
0.212,37.180573,0.39767122,0.3999995291233063,0.0032912623,1.0523248,0.9373027,0.95459276,0.9750872,0.96483046
0.214,37.29906,0.39984518,0.3999995291233063,0.0032912442,1.0496294,0.9372758,0.9545585,0.97506744,0.96480393
0.216,37.41754,0.40200996,0.3999995291233063,0.0032906835,1.0469445,0.9372486,0.9545237,0.9750472,0.9647769
0.218,37.53599,0.40416533,0.3999995291233063,0.003289583,1.04427,0.93722093,0.95448846,0.9750265,0.9647494
0.22,37.654392,0.40631106,0.3999995291233063,0.003287945,1.041606,0.9371929,0.9544527,0.9750054,0.96472144
0.222,37.772724,0.4084469,0.3999995291233063,0.0032857717,1.0389522,0.9371645,0.9544165,0.9749839,0.964693
0.224,37.89097,0.41057268,0.3999995291233063,0.0032830662,1.0363089,0.9371357,0.9543799,0.974962,0.96466416
0.226,38.009106,0.4126881,0.3999995291233063,0.0032798308,1.0336759,0.93710655,0.95434284,0.97493964,0.9646349
0.228,38.127117,0.41479298,0.3999995291233063,0.0032760683,1.0310532,0.937077,0.95430535,0.97491693,0.9646052
0.23,38.244984,0.41688707,0.3999995291233063,0.0032717811,1.0284407,0.93704706,0.95426744,0.97489387,0.96457505
