Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,eXST1.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.15,39.49274,0.30936173,0.4000000059604645,0.0032277366,0.9885791,0.92901766,0.95013946,0.9719157,0.9609875
0.152,39.609318,0.31174496,0.4000000059604645,0.0032483332,0.98531127,0.9290149,0.9501314,0.97191805,0.9609858
0.154,39.72662,0.3141229,0.4000000059604645,0.003268372,0.9821013,0.92900854,0.9501208,0.9719186,0.96098185
0.156,39.844635,0.31649554,0.4000000059604645,0.003287854,0.97894794,0.9289987,0.95010775,0.97191733,0.9609758
0.158,39.963345,0.31886283,0.4000000059604645,0.0033067802,0.97585,0.9289855,0.9500923,0.9719144,0.9609677
0.16,40.082726,0.32122475,0.4000000059604645,0.0033251524,0.9728061,0.9289689,0.95007455,0.97190976,0.9609576
0.162,40.20276,0.3235813,0.4000000059604645,0.0033429717,0.9698153,0.9289491,0.9500545,0.97190344,0.9609454
0.164,40.323418,0.3259324,0.4000000059604645,0.0033602393,0.9668763,0.92892617,0.95003223,0.9718955,0.96093136
0.166,40.44469,0.328278,0.4000000059604645,0.0033769568,0.9639881,0.9289001,0.9500078,0.97188604,0.9609153
0.168,40.56656,0.33061805,0.4000000059604645,0.0033931253,0.96114963,0.9288711,0.94998115,0.97187495,0.9608975
0.17,40.689,0.3329525,0.4000000059604645,0.003408746,0.95835984,0.92883915,0.9499524,0.9718624,0.9608778
0.172,40.81199,0.33528122,0.4000000059604645,0.003423821,0.9556177,0.9288043,0.94992167,0.97184825,0.9608563
0.174,40.935513,0.33760414,0.4000000059604645,0.0034383507,0.95292234,0.92876667,0.94988894,0.9718327,0.9608331
0.176,41.05955,0.3399212,0.4000000059604645,0.0034523373,0.9502727,0.9287263,0.9498542,0.9718157,0.9608081
0.178,41.184082,0.34223232,0.4000000059604645,0.003465782,0.9476679,0.92868334,0.94981754,0.9717973,0.96078146
0.18,41.309086,0.34453735,0.4000000059604645,0.003478686,0.9451071,0.92863774,0.949779,0.97177744,0.9607532
0.182,41.434547,0.3468362,0.4000000059604645,0.003491051,0.9425894,0.92858964,0.9497386,0.9717563,0.9607233
0.184,41.560444,0.3491288,0.4000000059604645,0.0035028788,0.940114,0.92853904,0.9496964,0.9717338,0.96069175
0.186,41.686756,0.351415,0.4000000059604645,0.0035141704,0.93768007,0.928486,0.94965243,0.97171,0.9606587
0.188,41.81346,0.35369468,0.4000000059604645,0.0035249274,0.93528676,0.9284306,0.9496068,0.97168493,0.96062416
0.19,41.940548,0.3559677,0.4000000059604645,0.0035351517,0.93293345,0.9283729,0.9495594,0.9716586,0.9605881
0.192,42.067993,0.358234,0.4000000059604645,0.003544845,0.93061924,0.928313,0.94951034,0.97163105,0.96055055
0.194,42.195778,0.36049333,0.4000000059604645,0.0035540084,0.92834353,0.9282509,0.9494597,0.97160226,0.9605116
0.196,42.323883,0.36274567,0.4000000059604645,0.0035626441,0.92610556,0.9281866,0.9494074,0.97157234,0.9604713
0.198,42.45229,0.36499083,0.4000000059604645,0.0035707534,0.9239046,0.92812026,0.94935364,0.9715412,0.9604295
0.2,42.58098,0.3672287,0.4000000059604645,0.0035783385,0.9217401,0.9280518,0.94929826,0.971509,0.9603864
0.202,42.709927,0.36945906,0.4000000059604645,0.0035854008,0.9196114,0.92798144,0.94924146,0.9714756,0.960342
0.204,42.839123,0.37168184,0.4000000059604645,0.0035919421,0.9175178,0.9279091,0.94918317,0.9714411,0.96029633
0.206,42.96855,0.37389687,0.4000000059604645,0.0035979645,0.91545874,0.9278348,0.94912344,0.97140557,0.96024936
0.208,43.09818,0.37610397,0.4000000059604645,0.0036034698,0.9134336,0.9277587,0.94906235,0.97136897,0.96020114
0.21,43.227997,0.378303,0.4000000059604645,0.0036084598,0.91144186,0.9276808,0.9489998,0.97133136,0.96015173
0.212,43.35799,0.38049382,0.4000000059604645,0.0036129367,0.90948296,0.9276011,0.94893605,0.97129273,0.9601011
0.214,43.48813,0.38267624,0.4000000059604645,0.003616902,0.90755624,0.9275196,0.9488709,0.9712531,0.96004933
0.216,43.618404,0.38485014,0.4000000059604645,0.0036203582,0.9056613,0.92743653,0.9488045,0.9712125,0.9599964
0.218,43.7488,0.3870153,0.4000000059604645,0.0036233072,0.9037975,0.9273518,0.94873685,0.97117096,0.9599424
0.22,43.879284,0.38917163,0.4000000059604645,0.0036257512,0.9019644,0.92726535,0.94866794,0.9711285,0.95988727
0.222,44.00985,0.39131892,0.4000000059604645,0.0036276921,0.9001616,0.9271774,0.94859785,0.97108513,0.95983106
0.224,44.140476,0.393457,0.4000000059604645,0.0036291322,0.89838845,0.92708796,0.9485266,0.97104084,0.95977384
0.226,44.27115,0.39558572,0.4000000059604645,0.0036300737,0.8966446,0.92699695,0.94845426,0.9709957,0.95971555
0.228,44.401844,0.3977049,0.4000000059604645,0.003630519,0.8949295,0.92690456,0.94838077,0.9709497,0.9596563
0.23,44.532547,0.39981437,0.4000000059604645,0.00363047,0.89324284,0.9268107,0.9483062,0.97090286,0.9595961
0.232,44.663235,0.401914,0.4000000059604645,0.0036299296,0.89158404,0.9267155,0.94823056,0.97085524,0.95953494
0.234,44.7939,0.40400356,0.4000000059604645,0.0036288998,0.8899527,0.92661893,0.9481539,0.9708068,0.95947284
0.236,44.92452,0.4060829,0.4000000059604645,0.003627383,0.88834846,0.926521,0.9480763,0.9707576,0.95940983
0.238,45.055073,0.4081519,0.4000000059604645,0.0036253817,0.8867709,0.9264219,0.9479976,0.9707076,0.95934594
0.24,45.185543,0.4102103,0.4000000059604645,0.0036228986,0.8852196,0.9263215,0.94791806,0.97065693,0.9592812
0.242,45.31592,0.412258,0.4000000059604645,0.0036199358,0.8836941,0.9262199,0.9478376,0.9706055,0.95921564
0.244,45.446182,0.4142948,0.4000000059604645,0.0036164965,0.88219416,0.9261171,0.9477562,0.97055334,0.95914924
0.246,45.57631,0.41632056,0.4000000059604645,0.0036125826,0.8807193,0.92601323,0.9476739,0.9705005,0.95908207
0.248,45.706287,0.41833508,0.4000000059604645,0.0036081972,0.8792692,0.9259082,0.94759077,0.97044706,0.9590141
0.25,45.836098,0.42033818,0.4000000059604645,0.003603343,0.8778435,0.9258021,0.94750684,0.97039294,0.9589454
0.252,45.96573,0.42232972,0.4000000059604645,0.0035980223,0.8764418,0.925695,0.94742215,0.9703382,0.95887595
0.254,46.095158,0.42430952,0.4000000059604645,0.0035922383,0.8750638,0.9255869,0.9473366,0.97028285,0.95880586
0.256,46.22437,0.42627743,0.4000000059604645,0.0035859938,0.8737091,0.9254778,0.94725037,0.9702269,0.95873505
0.258,46.353348,0.42823324,0.4000000059604645,0.0035792913,0.87237746,0.9253678,0.9471634,0.9701704,0.9586636
0.26,46.48208,0.43017682,0.4000000059604645,0.003572134,0.8710684,0.9252568,0.9470758,0.9701133,0.95859146
0.262,46.61054,0.432108,0.4000000059604645,0.0035645247,0.8697818,0.925145,0.94698745,0.9700557,0.95851874
0.264,46.738724,0.43402663,0.4000000059604645,0.0035564664,0.86851716,0.92503226,0.94689846,0.9699975,0.9584455
0.266,46.866608,0.43593252,0.4000000059604645,0.003547962,0.8672743,0.9249188,0.9468089,0.96993893,0.9583716
0.268,46.99418,0.4378255,0.4000000059604645,0.0035390148,0.8660528,0.9248045,0.9467187,0.9698798,0.95829713
0.27,47.121418,0.43970543,0.4000000059604645,0.0035296276,0.8648524,0.9246894,0.946628,0.9698202,0.9582222
0.272,47.24831,0.44157213,0.4000000059604645,0.0035198035,0.86367285,0.92457366,0.9465367,0.9697602,0.95814675
0.274,47.37484,0.44342548,0.4000000059604645,0.0035095457,0.8625138,0.9244572,0.9464449,0.96969974,0.9580708
0.276,47.501,0.4452653,0.4000000059604645,0.0034988576,0.8613749,0.92434007,0.9463526,0.9696389,0.9579944
0.278,47.62676,0.4470914,0.4000000059604645,0.003487742,0.86025596,0.9242223,0.94625986,0.9695776,0.9579176
0.28,47.752113,0.44890368,0.4000000059604645,0.0034762027,0.85915667,0.9241039,0.94616663,0.96951604,0.95784026
0.282,47.877045,0.45070198,0.4000000059604645,0.0034642424,0.85807675,0.923985,0.94607306,0.96945405,0.9577626
0.284,48.001537,0.4524861,0.4000000059604645,0.003451865,0.8570159,0.9238655,0.945979,0.9693917,0.9576846
0.286,48.125584,0.45425594,0.4000000059604645,0.0034390732,0.8559739,0.92374545,0.94588464,0.96932906,0.9576062
0.288,48.249153,0.45601135,0.4000000059604645,0.003425871,0.85495037,0.923625,0.94578993,0.9692661,0.95752746
0.29,48.372242,0.45775214,0.4000000059604645,0.0034122616,0.85394514,0.923504,0.94569486,0.96920294,0.9574484
0.292,48.494835,0.4594782,0.4000000059604645,0.0033982485,0.8529579,0.92338264,0.94559956,0.9691394,0.9573691
0.294,48.616917,0.4611894,0.4000000059604645,0.003383835,0.8519884,0.92326087,0.9455039,0.9690757,0.9572895
0.296,48.738472,0.46288556,0.4000000059604645,0.003369025,0.8510363,0.9231387,0.94540805,0.9690117,0.95720965
0.298,48.85949,0.46456656,0.4000000059604645,0.0033538218,0.85010153,0.9230162,0.945312,0.9689475,0.9571296
0.3,48.979946,0.46623224,0.4000000059604645,0.0033382291,0.8491836,0.9228934,0.9452157,0.9688832,0.9570493
0.302,49.09984,0.4678825,0.4000000059604645,0.0033222504,0.84828246,0.92277026,0.94511926,0.96881866,0.9569689
0.304,49.21915,0.4695172,0.4000000059604645,0.0033058894,0.84739774,0.92264694,0.9450227,0.96875393,0.95688826
0.306,49.337864,0.47113618,0.4000000059604645,0.0032891498,0.84652925,0.9225234,0.94492596,0.96868914,0.95680755
