Time,gENROU.delta,gENROU.PELEC,gENROU.PMECH,gENROU.SPEED,gAST.PMECH,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.322,28.84687,0.39998478,0.4000034,-5.528425e-07,0.4000034,0.9999947,0.9919905,0.9999979,0.99598163
0.324,28.846853,0.39998448,0.40000343,-5.4808635e-07,0.40000343,0.9999947,0.9919905,0.9999979,0.99598163
0.326,28.846832,0.39998418,0.4000035,-5.4324715e-07,0.4000035,0.9999947,0.9919905,0.9999979,0.99598163
0.328,28.846813,0.39998388,0.40000352,-5.38326e-07,0.40000352,0.9999947,0.9919905,0.9999979,0.99598163
0.33,28.846796,0.3999836,0.40000355,-5.33324e-07,0.40000355,0.9999947,0.9919905,0.9999979,0.99598163
0.332,28.846775,0.39998332,0.40000358,-5.2824225e-07,0.40000358,0.9999947,0.9919905,0.9999979,0.99598163
0.334,28.846754,0.39998305,0.40000364,-5.230819e-07,0.40000364,0.9999947,0.9919905,0.9999979,0.99598163
0.336,28.846737,0.39998278,0.40000367,-5.178441e-07,0.40000367,0.9999947,0.9919905,0.9999979,0.99598163
0.338,28.846718,0.39998248,0.4000037,-5.125301e-07,0.4000037,0.9999947,0.9919905,0.9999979,0.99598163
0.34,28.8467,0.39998224,0.40000373,-5.071409e-07,0.40000373,0.9999947,0.9919905,0.9999979,0.99598163
0.342,28.846684,0.39998198,0.40000376,-5.016778e-07,0.40000376,0.9999947,0.9919905,0.9999979,0.99598163
0.344,28.846666,0.3999817,0.4000038,-4.961419e-07,0.4000038,0.9999947,0.9919905,0.9999979,0.99598163
0.346,28.846645,0.39998147,0.40000385,-4.9053455e-07,0.40000385,0.99999464,0.9919905,0.9999979,0.99598163
0.348,28.846628,0.3999812,0.40000388,-4.8485686e-07,0.40000388,0.99999464,0.9919905,0.9999979,0.99598163
0.35,28.846611,0.39998096,0.4000039,-4.7911004e-07,0.4000039,0.99999464,0.9919905,0.9999979,0.99598163
0.352,28.846594,0.39998072,0.40000394,-4.7329542e-07,0.40000394,0.99999464,0.9919905,0.9999979,0.99598163
0.354,28.846577,0.39998052,0.40000397,-4.674142e-07,0.40000397,0.99999464,0.9919905,0.9999979,0.9959816
0.356,28.84656,0.39998028,0.400004,-4.614676e-07,0.400004,0.99999464,0.9919905,0.9999979,0.9959816
0.358,28.846542,0.39998004,0.40000403,-4.5545696e-07,0.40000403,0.99999464,0.99199045,0.9999979,0.9959816
0.36,28.846529,0.39997983,0.40000406,-4.493835e-07,0.40000406,0.99999464,0.99199045,0.9999979,0.9959816
0.362,28.846512,0.39997962,0.4000041,-4.4324852e-07,0.4000041,0.99999464,0.99199045,0.9999979,0.9959816
0.364,28.846495,0.3999794,0.40000412,-4.3705333e-07,0.40000412,0.99999464,0.99199045,0.9999979,0.9959816
0.366,28.846481,0.3999792,0.40000415,-4.3079922e-07,0.40000415,0.99999464,0.99199045,0.9999979,0.9959816
0.368,28.846464,0.399979,0.40000418,-4.2448752e-07,0.40000418,0.99999464,0.99199045,0.9999979,0.9959816
0.37,28.84645,0.39997882,0.4000042,-4.1811955e-07,0.4000042,0.99999464,0.99199045,0.9999979,0.9959816
0.372,28.846434,0.3999786,0.40000424,-4.1169665e-07,0.40000424,0.99999464,0.99199045,0.9999979,0.9959816
0.374,28.84642,0.39997843,0.40000427,-4.052201e-07,0.40000427,0.9999946,0.99199045,0.9999979,0.9959816
0.376,28.846407,0.39997825,0.4000043,-3.986913e-07,0.4000043,0.9999946,0.99199045,0.9999979,0.9959816
0.378,28.846392,0.39997807,0.40000433,-3.9211156e-07,0.40000433,0.9999946,0.99199045,0.9999979,0.9959816
0.38,28.846378,0.3999779,0.40000436,-3.8548228e-07,0.40000436,0.9999946,0.99199045,0.9999979,0.9959816
0.382,28.846365,0.39997774,0.4000044,-3.788048e-07,0.4000044,0.9999946,0.99199045,0.9999979,0.9959816
0.384,28.846352,0.3999776,0.40000442,-3.720805e-07,0.40000442,0.9999946,0.99199045,0.9999979,0.9959816
0.386,28.846338,0.39997742,0.40000445,-3.6531074e-07,0.40000445,0.9999946,0.99199045,0.9999979,0.9959816
0.388,28.846325,0.39997727,0.40000448,-3.5849692e-07,0.40000448,0.9999946,0.99199045,0.9999979,0.9959816
0.39,28.84631,0.39997712,0.4000045,-3.516404e-07,0.4000045,0.9999946,0.99199045,0.9999979,0.9959816
0.392,28.846296,0.399977,0.40000454,-3.447426e-07,0.40000454,0.9999946,0.99199045,0.9999979,0.9959816
0.394,28.846287,0.39997685,0.40000454,-3.378049e-07,0.40000454,0.9999946,0.99199045,0.9999979,0.9959816
0.396,28.846273,0.39997673,0.40000457,-3.3082873e-07,0.40000457,0.9999945,0.99199045,0.9999979,0.9959816
0.398,28.846262,0.3999766,0.4000046,-3.2381544e-07,0.4000046,0.9999945,0.99199045,0.9999979,0.9959816
0.4,28.846252,0.3999765,0.40000463,-3.167665e-07,0.40000463,0.9999945,0.99199045,0.9999979,0.9959816
0.402,28.84624,0.39997637,0.40000466,-3.096833e-07,0.40000466,0.9999945,0.99199045,0.9999979,0.9959816
0.404,28.846228,0.39997625,0.40000466,-3.0256723e-07,0.40000466,0.9999945,0.99199045,0.9999979,0.9959816
0.406,28.846218,0.39997616,0.40000468,-2.9541974e-07,0.40000468,0.9999945,0.99199045,0.99999785,0.9959816
0.408,28.846209,0.39997607,0.4000047,-2.8824226e-07,0.4000047,0.9999945,0.99199045,0.99999785,0.9959816
0.41,28.846197,0.39997596,0.40000474,-2.810362e-07,0.40000474,0.9999945,0.99199045,0.99999785,0.9959816
0.412,28.846188,0.39997587,0.40000474,-2.73803e-07,0.40000474,0.9999945,0.9919904,0.99999785,0.9959816
0.414,28.846178,0.3999758,0.40000477,-2.6654408e-07,0.40000477,0.9999945,0.9919904,0.99999785,0.9959816
0.416,28.846167,0.39997572,0.4000048,-2.5926084e-07,0.4000048,0.99999446,0.9919904,0.99999785,0.9959815
0.418,28.84616,0.39997566,0.4000048,-2.519548e-07,0.4000048,0.99999446,0.9919904,0.99999785,0.9959815
0.42,28.84615,0.39997557,0.40000483,-2.446273e-07,0.40000483,0.99999446,0.9919904,0.99999785,0.9959815
0.422,28.84614,0.3999755,0.40000486,-2.3727983e-07,0.40000486,0.99999446,0.9919904,0.99999785,0.9959815
0.424,28.846132,0.39997545,0.40000486,-2.2991381e-07,0.40000486,0.99999446,0.9919904,0.99999785,0.9959815
0.426,28.846127,0.39997542,0.4000049,-2.2253067e-07,0.4000049,0.99999446,0.9919904,0.99999785,0.9959815
0.428,28.846115,0.39997536,0.4000049,-2.1513188e-07,0.4000049,0.99999446,0.9919904,0.99999785,0.9959815
0.43,28.84611,0.39997533,0.40000492,-2.0771883e-07,0.40000492,0.99999446,0.9919904,0.99999785,0.9959815
0.432,28.846102,0.3999753,0.40000492,-2.0029297e-07,0.40000492,0.99999446,0.9919904,0.99999785,0.9959815
0.434,28.846096,0.39997527,0.40000495,-1.9285577e-07,0.40000495,0.9999944,0.9919904,0.99999785,0.9959815
0.436,28.846088,0.39997524,0.40000495,-1.8540861e-07,0.40000495,0.9999944,0.9919904,0.99999785,0.9959815
0.438,28.84608,0.3999752,0.40000498,-1.7795296e-07,0.40000498,0.9999944,0.9919904,0.99999785,0.9959815
0.44,28.846075,0.3999752,0.40000498,-1.7049024e-07,0.40000498,0.9999944,0.9919904,0.99999785,0.9959815
0.442,28.846067,0.39997518,0.400005,-1.6302187e-07,0.400005,0.9999944,0.9919904,0.99999785,0.9959815
0.444,28.846066,0.39997518,0.400005,-1.555493e-07,0.400005,0.9999944,0.9919904,0.99999785,0.9959815
0.446,28.846058,0.39997518,0.40000504,-1.4807392e-07,0.40000504,0.9999944,0.9919903,0.99999785,0.9959815
0.448,28.84605,0.39997518,0.40000504,-1.405972e-07,0.40000504,0.9999944,0.9919903,0.99999785,0.9959815
0.45,28.846048,0.3999752,0.40000504,-1.3312052e-07,0.40000504,0.9999944,0.9919903,0.99999785,0.9959815
0.452,28.846045,0.3999752,0.40000507,-1.2564531e-07,0.40000507,0.99999434,0.9919903,0.99999785,0.99598145
0.454,28.846037,0.39997524,0.40000507,-1.1817299e-07,0.40000507,0.99999434,0.9919903,0.9999978,0.99598145
