Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,tGOV1.PMECH,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.156,34.4037,0.4,0.4,-3.767028e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.158,34.4037,0.4,0.4,-3.7962333e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.16,34.4037,0.4,0.4,-3.8248077e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.162,34.4037,0.4,0.4,-3.852748e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.164,34.4037,0.4,0.4,-3.8800516e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.166,34.4037,0.4,0.4,-3.9067152e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.168,34.4037,0.4,0.4,-3.9327364e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.17,34.4037,0.4,0.4,-3.9581124e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.172,34.4037,0.4,0.4,-3.982841e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.174,34.4037,0.4,0.4,-4.0069198e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.176,34.4037,0.4,0.4,-4.030346e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.178,34.4037,0.4,0.4,-4.053118e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.18,34.4037,0.4,0.4,-4.075234e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.182,34.4037,0.4,0.4,-4.0966916e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.184,34.4037,0.4,0.4,-4.117489e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.186,34.4037,0.4,0.4,-4.1376252e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.188,34.4037,0.4,0.4,-4.1570983e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.19,34.4037,0.4,0.4,-4.1759066e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.192,34.4037,0.4,0.4,-4.1940493e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.194,34.4037,0.4,0.4,-4.2115247e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.196,34.4037,0.4,0.4,-4.2283324e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.198,34.4037,0.4,0.4,-4.2444712e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.2,34.4037,0.4,0.4,-4.25994e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.202,34.4037,0.4,0.4,-4.2747383e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.204,34.4037,0.4,0.4,-4.288866e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.206,34.4037,0.4,0.4,-4.3023218e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.208,34.4037,0.4,0.4,-4.3151058e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.21,34.4037,0.4,0.4,-4.3272178e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.212,34.4037,0.4,0.4,-4.3386575e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.214,34.4037,0.4,0.4,-4.349425e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.216,34.4037,0.4,0.4,-4.3595205e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.218,34.4037,0.4,0.4,-4.3689444e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.22,34.4037,0.4,0.4,-4.3776963e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.222,34.4037,0.4,0.4,-4.3857776e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.224,34.4037,0.4,0.4,-4.393188e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.226,34.4037,0.4,0.4,-4.3999288e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.228,34.4037,0.4,0.4,-4.4060006e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.23,34.4037,0.4,0.4,-4.411404e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.232,34.4037,0.4,0.4,-4.4161405e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.234,34.4037,0.4,0.4,-4.4202111e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.236,34.4037,0.4,0.4,-4.4236168e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.238,34.403698,0.4,0.4,-4.426359e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.24,34.403698,0.4,0.4,-4.4284396e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.242,34.403698,0.4,0.4,-4.4298593e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.244,34.403698,0.4,0.4,-4.4306203e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.246,34.403698,0.4,0.4,-4.4307247e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.248,34.403698,0.4,0.4,-4.4301735e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.25,34.403698,0.4,0.4,-4.4289694e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.252,34.403698,0.4,0.4,-4.427114e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.254,34.403698,0.4,0.4,-4.4246098e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.256,34.403698,0.4,0.4,-4.421459e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.258,34.403698,0.4,0.4,-4.417664e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.26,34.403698,0.4,0.4,-4.4132273e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.262,34.403698,0.4,0.4,-4.4081513e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.264,34.403698,0.4,0.4,-4.402439e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.266,34.403698,0.4,0.4,-4.396093e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.268,34.403698,0.4,0.4,-4.389116e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.27,34.403698,0.4,0.4,-4.3815113e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.272,34.403698,0.4,0.4,-4.3732817e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.274,34.403698,0.4,0.4,-4.3644308e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.276,34.403698,0.4,0.4,-4.3549614e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.278,34.403698,0.4,0.4,-4.3448772e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.28,34.403698,0.4,0.4,-4.3341813e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.282,34.403698,0.4,0.4,-4.3228776e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.284,34.403698,0.4,0.4,-4.3109694e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.286,34.403698,0.4,0.4,-4.2984608e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.288,34.403698,0.4,0.4,-4.2853554e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.29,34.403698,0.4,0.4,-4.271657e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.292,34.403698,0.4,0.4,-4.2573697e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.294,34.403698,0.4,0.4,-4.2424977e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.296,34.403698,0.4,0.4,-4.2270448e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.298,34.403698,0.4,0.4,-4.2110157e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.3,34.403698,0.4,0.4,-4.1944145e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.302,34.403698,0.4,0.4,-4.1772455e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.304,34.403698,0.4,0.4,-4.1595133e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.306,34.403698,0.4,0.4,-4.1412226e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.308,34.403698,0.4,0.4,-4.122378e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.31,34.403698,0.4,0.4,-4.1029838e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.312,34.403698,0.4,0.4,-4.0830456e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.314,34.403698,0.4,0.4,-4.0625675e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.316,34.403698,0.4,0.4,-4.041555e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.318,34.403698,0.4,0.4,-4.0200127e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.32,34.403698,0.4,0.4,-3.9979461e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.322,34.403698,0.4,0.4,-3.97536e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.324,34.403698,0.4,0.4,-3.95226e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.326,34.403698,0.4,0.4,-3.9286513e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.328,34.403698,0.4,0.4,-3.9045392e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.33,34.403698,0.4,0.4,-3.8799292e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.332,34.403698,0.39999998,0.4,-3.8548267e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.334,34.403698,0.39999998,0.4,-3.8292375e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.336,34.403698,0.39999998,0.4,-3.803167e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.338,34.403698,0.39999998,0.4,-3.7766212e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.34,34.403698,0.39999998,0.4,-3.7496056e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.342,34.403698,0.39999998,0.4,-3.7221262e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.344,34.403698,0.39999998,0.4,-3.6941888e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.346,34.403698,0.39999998,0.4,-3.6657993e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.348,34.403698,0.39999998,0.4,-3.6369638e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.35,34.403698,0.39999998,0.4,-3.6076883e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.352,34.403698,0.39999998,0.4,-3.577979e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.354,34.403698,0.39999998,0.4,-3.547842e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.356,34.403698,0.39999998,0.4,-3.5172834e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.358,34.403698,0.39999998,0.4,-3.4863099e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.36,34.403698,0.39999998,0.4,-3.4549272e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.362,34.403698,0.39999998,0.4,-3.423142e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.364,34.403698,0.39999998,0.4,-3.3909608e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.366,34.403698,0.39999998,0.4,-3.35839e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.368,34.403698,0.39999998,0.4,-3.325436e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.37,34.403698,0.39999998,0.4,-3.2921055e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.372,34.403698,0.39999998,0.4,-3.258405e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.374,34.403698,0.39999998,0.4,-3.224341e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.376,34.403698,0.39999998,0.4,-3.1899203e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.378,34.403698,0.39999998,0.4,-3.1551498e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.38,34.403698,0.39999998,0.4,-3.120036e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.382,34.403698,0.39999998,0.4,-3.0845856e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.384,34.403698,0.39999998,0.4,-3.0488057e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.386,34.403698,0.39999998,0.4,-3.012703e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.388,34.403698,0.39999998,0.4,-2.9762842e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.39,34.403698,0.39999998,0.4,-2.9395567e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.392,34.403698,0.39999998,0.4,-2.9025268e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.394,34.403698,0.39999998,0.4,-2.8652022e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.396,34.403698,0.39999998,0.4,-2.8275896e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.398,34.403698,0.39999998,0.4,-2.7896957e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.4,34.403698,0.39999998,0.4,-2.751528e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.402,34.403698,0.39999998,0.4,-2.713093e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.404,34.403698,0.39999998,0.4,-2.6743985e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.406,34.403698,0.39999998,0.4,-2.6354513e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.408,34.403698,0.39999998,0.4,-2.5962585e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.41,34.403698,0.39999998,0.4,-2.5568275e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.412,34.403698,0.39999998,0.4,-2.517165e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.414,34.403698,0.39999998,0.4,-2.4772787e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.416,34.403698,0.39999998,0.4,-2.4371755e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.418,34.403698,0.39999998,0.4,-2.3968627e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.42,34.403698,0.39999998,0.4,-2.3563476e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.422,34.403698,0.39999998,0.4,-2.3156371e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.424,34.403698,0.39999998,0.4,-2.274739e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.426,34.403698,0.39999998,0.4,-2.2336602e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.428,34.403698,0.39999998,0.4,-2.192408e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.43,34.403698,0.39999998,0.4,-2.1509898e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.432,34.403698,0.39999998,0.4,-2.1094129e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.434,34.403698,0.39999998,0.4,-2.0676844e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.436,34.403698,0.39999998,0.4,-2.0258116e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.438,34.403698,0.39999998,0.4,-1.983802e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.44,34.403698,0.39999998,0.4,-1.9416627e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.442,34.403698,0.39999998,0.4,-1.899401e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.444,34.403698,0.39999998,0.4,-1.8570243e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.446,34.403698,0.39999998,0.4,-1.8145398e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.448,34.403698,0.39999998,0.4,-1.7719547e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.45,34.403698,0.39999998,0.4,-1.7292763e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.452,34.403698,0.39999998,0.4,-1.686512e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.454,34.403698,0.39999998,0.4,-1.643669e-10,0.4,1.0,0.99199355,1.0,0.9959842
