Time,gENCLS2.delta,gENCLS2.P,gENCLS2.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.226,8.571381,0.4,-1.0697511e-09,1.0,0.99199355,1.0,0.9959842
0.228,8.571381,0.4,-1.0722444e-09,1.0,0.99199355,1.0,0.9959842
0.23,8.571381,0.4,-1.0745788e-09,1.0,0.99199355,1.0,0.9959842
0.232,8.571381,0.4,-1.0767539e-09,1.0,0.99199355,1.0,0.9959842
0.234,8.571381,0.4,-1.0787694e-09,1.0,0.99199355,1.0,0.9959842
0.236,8.571381,0.4,-1.0806249e-09,1.0,0.99199355,1.0,0.9959842
0.238,8.571381,0.4,-1.0823203e-09,1.0,0.99199355,1.0,0.9959842
0.24,8.571381,0.4,-1.0838552e-09,1.0,0.99199355,1.0,0.9959842
0.242,8.571381,0.4,-1.0852296e-09,1.0,0.99199355,1.0,0.9959842
0.244,8.571381,0.4,-1.086443e-09,1.0,0.99199355,1.0,0.9959842
0.246,8.571381,0.4,-1.0874954e-09,1.0,0.99199355,1.0,0.9959842
0.248,8.571381,0.4,-1.0883866e-09,1.0,0.99199355,1.0,0.9959842
0.25,8.571381,0.4,-1.0891165e-09,1.0,0.99199355,1.0,0.9959842
0.252,8.57138,0.4,-1.0896849e-09,1.0,0.99199355,1.0,0.9959842
0.254,8.57138,0.4,-1.0900918e-09,1.0,0.99199355,1.0,0.9959842
0.256,8.57138,0.4,-1.0903372e-09,1.0,0.99199355,1.0,0.9959842
0.258,8.57138,0.4,-1.0904208e-09,1.0,0.99199355,1.0,0.9959842
0.26,8.57138,0.4,-1.0903428e-09,1.0,0.99199355,1.0,0.9959842
0.262,8.57138,0.4,-1.0901033e-09,1.0,0.99199355,1.0,0.9959842
0.264,8.57138,0.4,-1.0897021e-09,1.0,0.99199355,1.0,0.9959842
0.266,8.57138,0.4,-1.0891394e-09,1.0,0.99199355,1.0,0.9959842
0.268,8.57138,0.4,-1.0884154e-09,1.0,0.99199355,1.0,0.9959842
0.27,8.57138,0.4,-1.08753e-09,1.0,0.99199355,1.0,0.9959842
0.272,8.57138,0.4,-1.0864832e-09,1.0,0.99199355,1.0,0.9959842
0.274,8.57138,0.4,-1.0852755e-09,1.0,0.99199355,1.0,0.9959842
0.276,8.57138,0.4,-1.083907e-09,1.0,0.99199355,1.0,0.9959842
0.278,8.57138,0.39999998,-1.0823777e-09,1.0,0.99199355,1.0,0.9959842
0.28,8.57138,0.39999998,-1.0806881e-09,1.0,0.99199355,1.0,0.9959842
0.282,8.57138,0.39999998,-1.0788382e-09,1.0,0.99199355,1.0,0.9959842
0.284,8.57138,0.39999998,-1.0768284e-09,1.0,0.99199355,1.0,0.9959842
0.286,8.57138,0.39999998,-1.074659e-09,1.0,0.99199355,1.0,0.9959842
0.288,8.57138,0.39999998,-1.0723303e-09,1.0,0.99199355,1.0,0.9959842
0.29,8.57138,0.39999998,-1.0698427e-09,1.0,0.99199355,1.0,0.9959842
0.292,8.57138,0.39999998,-1.0671964e-09,1.0,0.99199355,1.0,0.9959842
0.294,8.57138,0.39999998,-1.064392e-09,1.0,0.99199355,1.0,0.9959842
0.296,8.571379,0.39999998,-1.0614298e-09,1.0,0.99199355,1.0,0.9959842
0.298,8.571379,0.39999998,-1.0583103e-09,1.0,0.99199355,1.0,0.9959842
0.3,8.571379,0.39999998,-1.0550338e-09,1.0,0.99199355,1.0,0.9959842
0.302,8.571379,0.39999998,-1.0516011e-09,1.0,0.99199355,1.0,0.9959842
0.304,8.571379,0.39999998,-1.0480125e-09,1.0,0.99199355,1.0,0.9959842
