Time,cSVGN1.Q,GEN1.V,LOAD.V,GEN2.V,SHUNT.V,FAULT.V
2.7,0.104359634,0.9824863,0.98821145,0.99752915,0.9980735,0.9928455
2.72,0.1041216,0.98096764,0.987356,0.9969084,0.997321,0.99210095
2.74,0.10388861,0.97947586,0.9864966,0.996284,0.99656487,0.9913525
2.76,0.103666045,0.97805053,0.98566103,0.99567604,0.99582934,0.9906243
2.78,0.103458546,0.97672653,0.98487395,0.99510264,0.99513614,0.98993796
2.8,0.1032681,0.97552,0.9841486,0.994574,0.99449724,0.98930526
2.82,0.1030992,0.97446764,0.9835101,0.9941079,0.9939343,0.9887479
2.84,0.10295511,0.97359896,0.98297864,0.99371856,0.9934647,0.9882831
2.86,0.10283332,0.97289354,0.9825443,0.9934002,0.9930807,0.9879032
2.88,0.102736354,0.9723785,0.9822248,0.993165,0.99279714,0.9876231
2.9,0.1026648,0.9720656,0.9820283,0.9930184,0.992621,0.98744965
2.92,0.1026159,0.9719321,0.98194194,0.9929521,0.9925416,0.9873723
2.94,0.10258965,0.97198826,0.9819719,0.99297005,0.992564,0.9873961
2.96,0.1025848,0.97223103,0.9821164,0.99307066,0.9926864,0.9875193
2.98,0.102599494,0.9726474,0.9823672,0.99324816,0.99290156,0.9877349
3.0,0.10263226,0.9732353,0.9827223,0.9935007,0.99320763,0.9880409
3.02,0.10268126,0.973986,0.98317546,0.99382365,0.99359894,0.9884318
3.04,0.10274431,0.97488606,0.9837177,0.99421024,0.99406743,0.9888996
3.06,0.10281945,0.97592705,0.9843426,0.9946556,0.99460745,0.98943865
3.08,0.10290446,0.9770963,0.9850413,0.9951531,0.995211,0.990041
3.1,0.10299693,0.9783787,0.98580337,0.9956951,0.99586886,0.9906976
3.12,0.10309425,0.97975796,0.9866176,0.99627334,0.9965711,0.9913987
3.14,0.10319424,0.9812202,0.98747444,0.9968806,0.99730927,0.99213564
3.16,0.10329428,0.9827471,0.9883616,0.997508,0.9980725,0.9928978
3.18,0.10339122,0.9843145,0.9892635,0.9981444,0.99884737,0.99367183
3.2,0.10348316,0.9859086,0.99017096,0.9987829,0.9996256,0.99444956
3.22,0.1035674,0.987507,0.99106985,0.9994135,1.000395,0.9952188
3.24,0.10364136,0.9890869,0.99194634,1.0000263,1.0011438,0.9959676
3.26,0.10370326,0.9906316,0.9927904,1.0006144,1.001863,0.9966874
3.28,0.1037512,0.9921212,0.99359065,1.0011696,1.0025429,0.9973685
3.3,0.103783764,0.99353874,0.99433786,1.0016854,1.0031757,0.998003
3.32,0.103799514,0.9948662,0.9950226,1.0021558,1.0037535,0.99858296
3.34,0.10379797,0.9960918,0.99563986,1.0025772,1.0042721,0.99910426
3.36,0.10377889,0.9972049,0.9961854,1.0029471,1.0047281,0.9995636
3.38,0.10374197,0.9981942,0.9966552,1.003263,1.0051183,0.99995756
3.4,0.10368809,0.9990571,0.99705064,1.0035266,1.0054442,1.0002878
3.42,0.10361807,0.999791,0.99737316,1.003739,1.0057073,1.0005558
3.44,0.10353288,1.0003943,0.997625,1.0039026,1.0059099,1.0007637
3.46,0.10343433,1.0008737,0.99781317,1.0040224,1.0060583,1.0009178
3.48,0.10332386,1.0012326,0.99794245,1.0041025,1.0061569,1.0010223
